Relative Pressure (P/Po)	Absolute Pressure (mmHg)	Quantity Adsorbed (cm³/g STP)
		
0,067232816	47,77626419	6,913159522
0,079644336	56,5971756	7,086492171
0,119959168	85,24674225	7,544269853
0,139802975	99,35042572	7,782015093
0,159949425	113,6685944	7,983689051
0,199989994	142,1264954	8,419583039
0,299247312	212,6698914	9,500707019
0,35058039	249,1565704	10,10521378
0,450403029	320,1068726	11,22978526
0,549429777	390,4944458	12,59685737
0,736129984	523,2034912	17,3392764
0,837448009	595,2397461	23,29514678
0,901919369	641,0910645	31,99627267
0,93831114	666,999939	42,68713973
0,961841472	683,7759399	56,70673108
0,975549868	693,5714111	72,97763771
0,982567449	698,611084	86,61061184
0,98621319	701,2539063	96,88173785
0,972535037	691,5493774	92,50413119
0,962671812	684,5782471	83,25024365
0,939648787	668,2888184	60,5515165
0,895791754	637,1629639	38,26893077
0,834124929	593,3370361	26,19586131
0,734734443	522,6593018	18,59498511
0,534088793	379,940155	12,80732448
0,331911203	236,122345	10,03577201
		
0,119953648	85,33880615	7,687819845
