Relative Pressure (P/Po)	Absolute Pressure (mmHg)	Quantity Adsorbed (cm³/g STP)
		
0,064960694	46,19178772	9,562061765
0,07955981	56,57282257	9,925096164
0,11987045	85,23662567	10,70278904
0,139892189	99,47354126	11,03871805
0,159907877	113,7061539	11,38146423
0,199530301	141,8805847	12,04282214
0,298885566	212,5294189	13,74109254
0,350722986	249,3896027	14,6505954
0,449964885	319,9578247	16,5077026
0,549463967	390,7089233	18,90264493
0,73615601	523,4605713	26,74692439
0,839571071	596,9962158	34,77005844
0,905795153	644,0863647	43,11644709
0,940813897	668,9872437	50,28606012
0,964166507	685,5926514	57,75118849
0,977064635	694,7641602	64,60065126
0,984579173	700,1075439	70,75465401
0,9867666	701,6629639	73,6627659
0,970603211	690,1696167	70,11544012
0,955259378	679,2590332	64,01050765
0,933592745	663,852478	56,55389416
0,903793045	642,6627197	49,00714664
0,83909211	596,6556396	39,2473934
0,745568538	530,1535645	31,27381864
0,538646873	383,0171814	21,95900255
0,337712414	240,1381378	14,61095624
0,146734572	104,338974	11,20600568
