Relative Pressure (P/Po)	Absolute Pressure (mmHg)	Quantity Adsorbed (cm³/g STP)
		
0,058601099	41,63503265	22,30341683
0,077477307	55,04505157	23,51055895
0,119013052	84,55177307	25,79534564
0,139836991	99,34381104	26,85328399
0,159816017	113,5341568	27,84138031
0,199155893	141,4773407	29,74082867
0,294146539	208,9497375	34,3253798
0,351228913	249,4915466	37,24254511
0,449654652	319,3933716	42,79458681
0,548977774	389,9237366	49,37646027
0,74966952	532,4196777	68,4846704
0,83850217	595,4662476	81,48537443
0,902511393	640,8765259	95,4181063
0,939088285	666,7970581	108,8051251
0,962620574	683,4568481	122,7602866
0,9751654	692,3187256	134,4695762
		
0,981812905	697,0280762	143,9531075
0,985764019	699,8331299	151,0358646
0,973315403	690,9953613	148,3650552
0,963214174	683,8240967	142,815916
0,941631001	668,5013428	128,6785094
0,906866814	643,8208618	111,1583867
0,829922125	589,1947632	90,45463296
0,743542664	527,8705444	78,42064794
0,542654897	385,2523193	61,97842396
0,337938805	239,916214	37,69076884
0,137551568	97,65333557	27,55589279
