Relative Pressure (P/Po)	Absolute Pressure (mmHg)	Quantity Adsorbed (cm³/g STP)
		
0,067190372	47,71054459	1,524519192
0,079987781	56,79772949	1,577664869
0,119893717	85,13414001	1,742561275
0,139973083	99,39209747	1,78870135
0,159976141	113,595871	1,835454142
0,199793458	141,8693542	1,920161113
0,30021359	213,1756897	2,055641991
0,350361726	248,7848816	2,118542306
0,450137107	319,6333923	2,271121191
0,550088697	390,6070251	2,479124584
0,74053546	525,8394775	3,458847042
0,839722134	596,2699585	4,907172895
0,904650973	642,3746338	7,146968419
0,940036799	667,5014038	9,762002728
0,963684224	684,2929688	13,29818844
0,977066091	693,795166	17,18671678
0,984524433	699,0911865	20,85676266
0,986742768	700,6663818	22,63262996
0,96872387	687,871521	18,89071538
0,950198866	674,7172852	13,97171818
0,924963589	656,7982178	10,0582301
0,906885554	643,9613647	8,347711688
0,84091846	597,1194458	5,479369556
0,721947452	512,6405029	3,646092805
0,548573434	389,5310669	2,744390734
0,329555769	234,0109863	2,272721374
0,141034341	100,1456757	1,953887933
