Relative Pressure (P/Po)	Absolute Pressure (mmHg)	Quantity Adsorbed (cm³/g STP)
		
0,067213998	47,94326782	1,410796952
0,080002356	57,06511307	1,451956694
0,119959982	85,56660461	1,490068664
0,139959752	99,83229828	1,518360833
0,159944761	114,0874634	1,519978463
0,199797486	142,5141296	1,516493516
0,300212547	214,1394806	1,441781838
0,370774078	264,47052	1,384716371
0,47074181	335,7767944	1,339729894
0,570447404	406,8960876	1,326537263
0,74482901	531,28125	1,658763201
0,839665049	598,927124	2,51473567
0,90469385	645,3117065	4,10912441
0,940114444	670,5769653	6,088772606
0,963867821	687,5200806	8,774268369
0,977062259	696,9315796	11,69276302
0,984529706	702,2580566	14,41070847
0,986478435	703,6480713	15,74787045
0,967462453	690,0841064	13,24869697
0,948879104	676,8287354	9,719474831
0,924258922	659,267334	6,685109803
0,906119843	646,3288574	5,237647368
0,839978228	599,1505127	2,95441283
0,721551135	514,6773071	1,790443622
0,548392598	391,1645508	1,549349809
0,329432488	234,9818573	1,596701613
0,141295845	100,7853241	1,652749849
