Size (d.nm) - SiO2-SH_NP_24H [Steady state]	Intensity (Percent) - SiO2-SH_NP_24H [Steady state]	Size (d.nm) - SiO2-SH_NP_24H [Steady state]	Intensity (Percent) - SiO2-SH_NP_24H [Steady state]	Size (d.nm) - SiO2-SH_NP_24H [Steady state]	Intensity (Percent) - SiO2-SH_NP_24H [Steady state]
0.3	0	0.3	0	0.3	0
0.3489	0	0.3489	0	0.3489	0
0.4057	0	0.4057	0	0.4057	0
0.4718	0	0.4718	0	0.4718	0
0.5487	0	0.5487	0	0.5487	0
0.6381	0	0.6381	0	0.6381	0
0.742	0	0.742	0	0.742	0
0.8629	0	0.8629	0	0.8629	0
1.003	0	1.003	0	1.003	0
1.167	0	1.167	0	1.167	0
1.357	0	1.357	0	1.357	0
1.578	0	1.578	0	1.578	0
1.835	0	1.835	0	1.835	0
2.134	0	2.134	0	2.134	0
2.482	0	2.482	0	2.482	0
2.886	0	2.886	0	2.886	0
3.357	0	3.357	0	3.357	0
3.903	0	3.903	0	3.903	0
4.539	0	4.539	0	4.539	0
5.279	0	5.279	0	5.279	0
6.139	0	6.139	0	6.139	0
7.139	0	7.139	0	7.139	0
8.302	0	8.302	0	8.302	0
9.655	0	9.655	0	9.655	0
11.23	0	11.23	0	11.23	0
13.06	0	13.06	0	13.06	0
15.18	0	15.18	0	15.18	0
17.66	0	17.66	0	17.66	0
20.53	0	20.53	0	20.53	0
23.88	0	23.88	0	23.88	0
27.77	0	27.77	0	27.77	0
32.3	0	32.3	0	32.3	0
37.56	0	37.56	0	37.56	0
43.68	0	43.68	0	43.68	0
50.79	0	50.79	0	50.79	0
59.07	0	59.07	0	59.07	0
68.69	0	68.69	0	68.69	0
79.88	0	79.88	0	79.88	0
92.89	0	92.89	0	92.89	0
108	0	108	0	108	0
125.6	0	125.6	0	125.6	0
146.1	0	146.1	0	146.1	0
169.9	0	169.9	0	169.9	0
197.6	0	197.6	0	197.6	0
229.8	0	229.8	0	229.8	0
267.2	0	267.2	0	267.2	0
310.7	0	310.7	0	310.7	0
361.3	0	361.3	0	361.3	0
420.2	0	420.2	0	420.2	0
488.7	0	488.7	0	488.7	0
568.3	0	568.3	0	568.3	0
660.9	1.248	660.9	0	660.9	0
768.5	4.012	768.5	0	768.5	0
893.8	7.243	893.8	1.114	893.8	1.111
1039	9.898	1039	5.556	1039	5.93
1209	11.4	1209	11.66	1209	12.53
1406	11.64	1406	16.86	1406	17.97
1635	10.88	1635	19.21	1635	20.12
1901	9.505	1901	18.07	1901	18.36
2211	7.915	2211	14.09	2211	13.58
2571	6.425	2571	8.749	2571	7.641
2990	5.22	2990	3.861	2990	2.651
3477	4.357	3477	0.8321	3477	0.1041
4043	3.79	4043	0	4043	0
4702	3.405	4702	0	4702	0
5468	3.061	5468	0	5468	0
6358	0	6358	0	6358	0
7394	0	7394	0	7394	0
8599	0	8599	0	8599	0
1E+04	0	1E+04	0	1E+04	0
