Size (d.nm) - SiO2_NP_S7_PDA_Filtro_1.00 [Steady state]	Intensity (Percent) - SiO2_NP_S7_PDA_Filtro_1.00 [Steady state]	Size (d.nm) - SiO2_NP_S7_PDA_Filtro_1.00 [Steady state]	Intensity (Percent) - SiO2_NP_S7_PDA_Filtro_1.00 [Steady state]	Size (d.nm) - SiO2_NP_S7_PDA_Filtro_1.00 [Steady state]	Intensity (Percent) - SiO2_NP_S7_PDA_Filtro_1.00 [Steady state]
0.3	0	0.3	0	0.3	0
0.3489	0	0.3489	0	0.3489	0
0.4057	0	0.4057	0	0.4057	0
0.4718	0	0.4718	0	0.4718	0
0.5487	0	0.5487	0	0.5487	0
0.6381	0	0.6381	0	0.6381	0
0.742	0	0.742	0	0.742	0
0.8629	0	0.8629	0	0.8629	0
1.003	0	1.003	0	1.003	0
1.167	0	1.167	0	1.167	0
1.357	0	1.357	0	1.357	0
1.578	0	1.578	0	1.578	0
1.835	0	1.835	0	1.835	0
2.134	0	2.134	0	2.134	0
2.482	0	2.482	0	2.482	0
2.886	0	2.886	0	2.886	0
3.357	0	3.357	0	3.357	0
3.903	0	3.903	0	3.903	0
4.539	0	4.539	0	4.539	0
5.279	0	5.279	0	5.279	0
6.139	0	6.139	0	6.139	0
7.139	0	7.139	0	7.139	0
8.302	0	8.302	0	8.302	0
9.655	0	9.655	0	9.655	0
11.23	0	11.23	0	11.23	0
13.06	0	13.06	0	13.06	0
15.18	0	15.18	0	15.18	0
17.66	0	17.66	0	17.66	0
20.53	0	20.53	0	20.53	0
23.88	0	23.88	0	23.88	0
27.77	0	27.77	0	27.77	0
32.3	0	32.3	0	32.3	0
37.56	0	37.56	0	37.56	0
43.68	0	43.68	0	43.68	0
50.79	0	50.79	0	50.79	0
59.07	0	59.07	0	59.07	0
68.69	0	68.69	0	68.69	0
79.88	0	79.88	0	79.88	0
92.89	0	92.89	0	92.89	0
108	0	108	0	108	0
125.6	0	125.6	0	125.6	0
146.1	0	146.1	0	146.1	0
169.9	0	169.9	0	169.9	0
197.6	0	197.6	0	197.6	0
229.8	0	229.8	0	229.8	0
267.2	0.4094	267.2	0.4369	267.2	0
310.7	4.602	310.7	4.993	310.7	2.419
361.3	11.19	361.3	11.94	361.3	10.72
420.2	17.25	420.2	18.03	420.2	20.08
488.7	20.31	488.7	20.75	488.7	24.84
568.3	19.31	568.3	19.2	568.3	22.4
660.9	14.83	660.9	14.22	660.9	14.32
768.5	8.678	768.5	7.87	768.5	5.215
893.8	3.195	893.8	2.565	893.8	0
1039	0.2231	1039	0	1039	0
1209	0	1209	0	1209	0
1406	0	1406	0	1406	0
1635	0	1635	0	1635	0
1901	0	1901	0	1901	0
2211	0	2211	0	2211	0
2571	0	2571	0	2571	0
2990	0	2990	0	2990	0
3477	0	3477	0	3477	0
4043	0	4043	0	4043	0
4702	0	4702	0	4702	0
5468	0	5468	0	5468	0
6358	0	6358	0	6358	0
7394	0	7394	0	7394	0
8599	0	8599	0	8599	0
1E+04	0	1E+04	0	1E+04	0
