'y-axis saved as y
'x,MoS2_Up.raw
10,768
10.039976,777
10.079952,701
10.119928,758
10.159904,762
10.19988,736
10.239856,731
10.279832,706
10.319808,670
10.359784,750
10.39976,693
10.439736,666
10.479712,623
10.519688,649
10.559664,694
10.59964,648
10.639616,598
10.679592,623
10.719568,656
10.759544,683
10.79952,631
10.839496,633
10.879472,672
10.919448,684
10.959424,624
10.9994,566
11.039376,643
11.079352,575
11.119328,626
11.159304,578
11.19928,563
11.239256,590
11.279232,581
11.319208,628
11.359184,552
11.39916,603
11.439136,612
11.479112,603
11.519088,612
11.559064,615
11.59904,603
11.639016,538
11.678992,597
11.718968,572
11.758944,573
11.79892,579
11.838896,528
11.878872,562
11.918848,536
11.958824,596
11.9988,568
12.038776,566
12.078752,585
12.118728,533
12.158704,548
12.19868,529
12.238656,559
12.278632,536
12.318608,528
12.358584,546
12.39856,576
12.438536,569
12.478512,566
12.518488,483
12.558464,538
12.59844,513
12.638416,539
12.678392,528
12.718368,524
12.758344,562
12.79832,542
12.838296,546
12.878272,563
12.918248,519
12.958224,546
12.9982,500
13.038176,578
13.078152,572
13.118128,555
13.158104,563
13.19808,524
13.238056,529
13.278032,531
13.318008,548
13.357984,568
13.39796,551
13.437936,579
13.477912,547
13.517888,600
13.557864,615
13.59784,592
13.637816,572
13.677792,661
13.717768,640
13.757744,656
13.79772,736
13.837696,747
13.877672,843
13.917648,963
13.957624,946
13.9976,1037
14.037576,1180
14.077552,1390
14.117528,1697
14.157504,2252
14.19748,3302
14.237456,4925
14.277432,7763
14.317408,11072
14.357384,11163
14.39736,7627
14.437336,4511
14.477312,2814
14.517288,1946
14.557264,1479
14.59724,1268
14.637216,1044
14.6771921,943
14.7171681,873
14.7571441,771
14.7971201,713
14.8370961,696
14.8770721,652
14.9170481,664
14.9570241,590
14.9970001,609
15.0369761,587
15.0769521,573
15.1169281,531
15.1569041,542
15.1968801,525
15.2368561,522
15.2768321,535
15.3168081,478
15.3567841,503
15.3967601,500
15.4367361,465
15.4767121,483
15.5166881,451
15.5566641,469
15.5966401,512
15.6366161,451
15.6765921,461
15.7165681,408
15.7565441,445
15.7965201,488
15.8364961,453
15.8764721,429
15.9164481,433
15.9564241,436
15.9964001,426
16.0363761,424
16.0763521,455
16.1163281,436
16.1563041,396
16.1962801,405
16.2362561,436
16.2762321,413
16.3162081,413
16.3561841,410
16.3961601,403
16.4361361,370
16.4761121,417
16.5160881,379
16.5560641,438
16.5960401,430
16.6360161,395
16.6759921,400
16.7159681,376
16.7559441,373
16.7959201,409
16.8358961,364
16.8758721,375
16.9158481,375
16.9558241,404
16.9958001,384
17.0357761,350
17.0757521,385
17.1157281,353
17.1557041,372
17.1956801,418
17.2356561,383
17.2756321,367
17.3156081,350
17.3555841,386
17.3955601,329
17.4355361,380
17.4755121,385
17.5154881,356
17.5554641,363
17.5954401,393
17.6354161,353
17.6753921,375
17.7153681,366
17.7553441,364
17.7953201,334
17.8352961,324
17.8752721,347
17.9152481,365
17.9552241,392
17.9952001,346
18.0351761,319
18.0751521,352
18.1151281,310
18.1551041,316
18.1950801,352
18.2350561,328
18.2750321,316
18.3150081,322
18.3549841,307
18.3949601,346
18.4349361,313
18.4749121,333
18.5148881,336
18.5548641,344
18.5948401,335
18.6348161,356
18.6747921,295
18.7147681,323
18.7547441,340
18.7947201,323
18.8346961,324
18.8746721,300
18.9146481,315
18.9546241,351
18.9946001,322
19.0345761,322
19.0745521,351
19.1145281,341
19.1545041,295
19.1944801,316
19.2344561,310
19.2744321,303
19.3144081,295
19.3543841,313
19.3943601,308
19.4343361,295
19.4743121,315
19.5142881,287
19.5542641,311
19.5942401,310
19.6342161,300
19.6741921,306
19.7141681,331
19.7541441,312
19.7941201,318
19.8340961,306
19.8740721,277
19.9140481,311
19.9540241,302
19.9940001,300
20.0339761,276
20.0739521,293
20.1139281,305
20.1539041,311
20.1938801,302
20.2338561,284
20.2738321,322
20.3138081,280
20.3537841,300
20.3937601,277
20.4337361,310
