'y-axis saved as y
'x,MoS2_amonio.raw
10,1454
10.039976,1451
10.079952,1469
10.119928,1371
10.159904,1479
10.19988,1470
10.239856,1479
10.279832,1398
10.319808,1374
10.359784,1365
10.39976,1405
10.439736,1350
10.479712,1340
10.519688,1312
10.559664,1381
10.59964,1287
10.639616,1335
10.679592,1307
10.719568,1288
10.759544,1171
10.79952,1234
10.839496,1260
10.879472,1245
10.919448,1228
10.959424,1270
10.9994,1251
11.039376,1282
11.079352,1285
11.119328,1256
11.159304,1207
11.19928,1166
11.239256,1226
11.279232,1249
11.319208,1202
11.359184,1097
11.39916,1106
11.439136,1161
11.479112,1125
11.519088,1193
11.559064,1217
11.59904,1166
11.639016,1153
11.678992,1072
11.718968,1082
11.758944,1119
11.79892,1137
11.838896,1092
11.878872,1057
11.918848,1088
11.958824,1046
11.9988,1051
12.038776,1089
12.078752,1062
12.118728,1053
12.158704,1035
12.19868,1058
12.238656,1036
12.278632,1060
12.318608,1022
12.358584,1021
12.39856,1061
12.438536,964
12.478512,1017
12.518488,1002
12.558464,1019
12.59844,994
12.638416,989
12.678392,974
12.718368,977
12.758344,949
12.79832,932
12.838296,999
12.878272,936
12.918248,926
12.958224,889
12.9982,943
13.038176,858
13.078152,962
13.118128,912
13.158104,921
13.19808,847
13.238056,919
13.278032,930
13.318008,855
13.357984,917
13.39796,886
13.437936,872
13.477912,853
13.517888,863
13.557864,906
13.59784,895
13.637816,856
13.677792,853
13.717768,859
13.757744,837
13.79772,863
13.837696,892
13.877672,810
13.917648,857
13.957624,794
13.9976,832
14.037576,826
14.077552,854
14.117528,820
14.157504,834
14.19748,824
14.237456,871
14.277432,831
14.317408,782
14.357384,781
14.39736,793
14.437336,774
14.477312,759
14.517288,817
14.557264,766
14.59724,783
14.637216,770
14.6771921,785
14.7171681,739
14.7571441,770
14.7971201,801
14.8370961,752
14.8770721,763
14.9170481,778
14.9570241,774
14.9970001,741
15.0369761,721
15.0769521,748
15.1169281,783
15.1569041,759
15.1968801,695
15.2368561,707
15.2768321,665
15.3168081,742
15.3567841,727
15.3967601,703
15.4367361,717
15.4767121,713
15.5166881,707
15.5566641,741
15.5966401,725
15.6366161,700
15.6765921,723
15.7165681,760
15.7565441,719
15.7965201,702
15.8364961,757
15.8764721,678
15.9164481,665
15.9564241,701
15.9964001,679
16.0363761,700
16.0763521,652
16.1163281,714
16.1563041,684
16.1962801,753
16.2362561,656
16.2762321,698
16.3162081,653
16.3561841,595
16.3961601,700
16.4361361,695
16.4761121,663
16.5160881,658
16.5560641,690
16.5960401,644
16.6360161,634
16.6759921,653
16.7159681,669
16.7559441,649
16.7959201,651
16.8358961,661
16.8758721,648
16.9158481,622
16.9558241,617
16.9958001,612
17.0357761,617
17.0757521,645
17.1157281,624
17.1557041,638
17.1956801,665
17.2356561,620
17.2756321,643
17.3156081,649
17.3555841,607
17.3955601,621
17.4355361,597
17.4755121,661
17.5154881,646
17.5554641,625
17.5954401,605
17.6354161,596
17.6753921,619
17.7153681,555
17.7553441,581
17.7953201,574
17.8352961,601
17.8752721,575
17.9152481,533
17.9552241,602
17.9952001,555
18.0351761,569
18.0751521,574
18.1151281,524
18.1551041,526
18.1950801,557
18.2350561,595
18.2750321,526
18.3150081,541
18.3549841,512
18.3949601,531
18.4349361,569
18.4749121,571
18.5148881,566
18.5548641,552
18.5948401,506
18.6348161,549
18.6747921,539
18.7147681,533
18.7547441,491
18.7947201,557
18.8346961,527
18.8746721,434
18.9146481,490
18.9546241,525
18.9946001,510
19.0345761,516
19.0745521,512
19.1145281,487
19.1545041,466
19.1944801,498
19.2344561,477
19.2744321,501
19.3144081,485
19.3543841,462
19.3943601,475
19.4343361,468
19.4743121,507
19.5142881,469
19.5542641,502
19.5942401,481
19.6342161,444
19.6741921,465
19.7141681,446
19.7541441,483
19.7941201,462
19.8340961,504
19.8740721,438
19.9140481,490
19.9540241,478
19.9940001,475
20.0339761,422
20.0739521,394
20.1139281,459
20.1539041,457
20.1938801,432
20.2338561,477
20.2738321,435
20.3138081,454
20.3537841,458
20.3937601,420
20.4337361,428
20.4737121,463
20.5136881,457
20.5536641,421
20.5936401,439
20.6336161,438
20.6735921,402
20.7135681,390
20.7535441,442
20.7935201,400
20.8334961,401
20.8734721,440
20.9134481,445
20.9534241,385
20.9934001,408
21.0333761,397
21.0733521,396
21.1133281,400
21.1533041,411
21.1932801,384
21.2332561,442
21.2732321,424
21.3132081,426
21.3531841,414
21.3931601,411
21.4331361,396
21.4731121,400
21.5130881,374
21.5530641,402
21.5930401,438
21.6330161,401
21.6729921,411
21.7129681,420
21.7529441,387
21.7929201,393
21.8328961,387
21.8728721,401
21.9128481,417
21.9528241,355
21.9928001,391
22.0327761,425
22.0727521,399
22.1127281,406
22.1527041,394
22.1926801,437
22.2326561,376
22.2726321,400
22.3126081,380
22.3525841,366
22.3925601,399
22.4325361,384
22.4725121,367
22.5124881,377
22.5524641,385
22.5924401,395
22.6324161,387
22.6723921,378
22.7123681,379
22.7523441,392
22.7923201,373
22.8322961,395
22.8722721,370
22.9122481,356
22.9522241,359
22.9922001,372
23.0321761,360
23.0721521,356
23.1121281,395
23.1521041,363
23.1920801,360
23.2320561,365
23.2720321,393
23.3120081,375
23.3519841,368
23.3919601,338
23.4319361,378
23.4719121,359
23.5118881,383
23.5518641,378
23.5918401,374
23.6318161,330
23.6717921,350
23.7117681,356
23.7517441,377
23.7917201,369
23.8316961,356
23.8716721,367
23.9116481,388
23.9516241,391
23.9916001,365
24.0315762,357
24.0715522,392
24.1115282,351
24.1515042,375
24.1914802,368
24.2314562,351
24.2714322,360
24.3114082,357
24.3513842,321
24.3913602,329
24.4313362,354
24.4713122,351
24.5112882,342
24.5512642,350
24.5912402,354
24.6312162,352
24.6711922,334
24.7111682,348
24.7511442,341
24.7911202,362
24.8310962,347
24.8710722,376
24.9110482,353
24.9510242,331
24.9910002,373
25.0309762,360
25.0709522,348
25.1109282,353
25.1509042,377
25.1908802,372
25.2308562,327
25.2708322,370
25.3108082,344
25.3507842,364
25.3907602,403
25.4307362,330
25.4707122,382
25.5106882,381
25.5506642,352
25.5906402,345
25.6306162,393
25.6705922,392
25.7105682,376
25.7505442,371
25.7905202,315
25.8304962,329
25.8704722,352
25.9104482,369
25.9504242,369
25.9904002,331
26.0303762,320
26.0703522,365
26.1103282,334
26.1503042,361
26.1902802,358
26.2302562,333
26.2702322,342
26.3102082,331
26.3501842,359
26.3901602,375
26.4301362,343
26.4701122,362
26.5100882,344
26.5500642,358
26.5900402,367
26.6300162,373
26.6699922,329
26.7099682,356
26.7499442,367
26.7899202,351
26.8298962,374
26.8698722,328
26.9098482,338
26.9498242,340
26.9898002,343
27.0297762,363
27.0697522,332
27.1097282,329
27.1497042,373
27.1896802,347
27.2296562,357
27.2696322,359
27.3096082,362
27.3495842,369
27.3895602,305
27.4295362,364
27.4695122,335
27.5094882,332
27.5494642,328
27.5894402,340
27.6294162,327
27.6693922,334
27.7093682,355
27.7493442,343
27.7893202,317
27.8292962,318
27.8692722,329
27.9092482,329
27.9492242,336
27.9892002,342
28.0291762,333
28.0691522,325
28.1091282,337
