'y-axis saved as y
'x,MoS2_sodio.raw
10,1317
10.039976,1288
10.079952,1307
10.119928,1313
10.159904,1312
10.19988,1215
10.239856,1229
10.279832,1285
10.319808,1212
10.359784,1279
10.39976,1242
10.439736,1122
10.479712,1129
10.519688,1122
10.559664,1168
10.59964,1106
10.639616,1179
10.679592,1136
10.719568,1118
10.759544,1238
10.79952,1120
10.839496,1137
10.879472,1136
10.919448,1084
10.959424,1064
10.9994,1069
11.039376,1034
11.079352,998
11.119328,1028
11.159304,1027
11.19928,1047
11.239256,936
11.279232,1054
11.319208,969
11.359184,1006
11.39916,988
11.439136,912
11.479112,944
11.519088,954
11.559064,932
11.59904,918
11.639016,959
11.678992,1012
11.718968,858
11.758944,898
11.79892,885
11.838896,898
11.878872,885
11.918848,858
11.958824,834
11.9988,870
12.038776,824
12.078752,869
12.118728,836
12.158704,852
12.19868,827
12.238656,774
12.278632,816
12.318608,794
12.358584,780
12.39856,778
12.438536,767
12.478512,761
12.518488,734
12.558464,776
12.59844,783
12.638416,709
12.678392,712
12.718368,758
12.758344,703
12.79832,714
12.838296,666
12.878272,740
12.918248,737
12.958224,698
12.9982,673
13.038176,714
13.078152,660
13.118128,631
13.158104,661
13.19808,670
13.238056,662
13.278032,684
13.318008,670
13.357984,722
13.39796,644
13.437936,630
13.477912,702
13.517888,648
13.557864,634
13.59784,645
13.637816,588
13.677792,588
13.717768,597
13.757744,614
13.79772,620
13.837696,661
13.877672,592
13.917648,578
13.957624,656
13.9976,606
14.037576,613
14.077552,632
14.117528,602
14.157504,621
14.19748,551
14.237456,592
14.277432,650
14.317408,591
14.357384,580
14.39736,600
14.437336,567
14.477312,615
14.517288,600
14.557264,564
14.59724,541
14.637216,561
14.6771921,574
14.7171681,607
14.7571441,587
14.7971201,556
14.8370961,562
14.8770721,534
14.9170481,578
14.9570241,572
14.9970001,576
15.0369761,579
15.0769521,561
15.1169281,600
15.1569041,538
15.1968801,546
15.2368561,523
15.2768321,564
15.3168081,566
15.3567841,512
15.3967601,497
15.4367361,528
15.4767121,567
15.5166881,575
15.5566641,526
15.5966401,568
15.6366161,552
15.6765921,522
15.7165681,531
15.7565441,533
15.7965201,536
15.8364961,553
15.8764721,521
15.9164481,571
15.9564241,557
15.9964001,547
16.0363761,537
16.0763521,536
16.1163281,523
16.1563041,512
16.1962801,534
16.2362561,509
16.2762321,537
16.3162081,523
16.3561841,497
16.3961601,512
16.4361361,527
16.4761121,553
16.5160881,488
16.5560641,519
16.5960401,510
16.6360161,528
16.6759921,520
16.7159681,491
16.7559441,466
16.7959201,491
16.8358961,482
16.8758721,512
16.9158481,462
16.9558241,476
16.9958001,475
17.0357761,461
17.0757521,480
17.1157281,464
17.1557041,471
17.1956801,478
17.2356561,503
17.2756321,439
17.3156081,463
17.3555841,474
17.3955601,476
17.4355361,489
17.4755121,493
17.5154881,468
17.5554641,450
17.5954401,471
17.6354161,470
17.6753921,465
17.7153681,429
17.7553441,424
17.7953201,450
17.8352961,458
17.8752721,469
17.9152481,404
17.9552241,426
17.9952001,440
18.0351761,411
18.0751521,493
18.1151281,440
18.1551041,460
18.1950801,419
18.2350561,466
18.2750321,455
18.3150081,414
18.3549841,409
18.3949601,439
18.4349361,417
18.4749121,419
18.5148881,419
18.5548641,412
18.5948401,396
18.6348161,404
18.6747921,441
18.7147681,416
18.7547441,380
18.7947201,390
18.8346961,430
18.8746721,390
18.9146481,369
18.9546241,387
18.9946001,388
19.0345761,380
19.0745521,414
19.1145281,401
19.1545041,374
19.1944801,393
19.2344561,359
19.2744321,396
19.3144081,391
19.3543841,432
19.3943601,403
19.4343361,374
19.4743121,361
19.5142881,386
19.5542641,393
19.5942401,386
19.6342161,350
19.6741921,395
19.7141681,391
19.7541441,395
19.7941201,345
19.8340961,358
19.8740721,383
19.9140481,375
19.9540241,347
19.9940001,356
20.0339761,337
20.0739521,354
20.1139281,336
20.1539041,365
20.1938801,341
20.2338561,384
20.2738321,351
20.3138081,344
20.3537841,341
20.3937601,332
20.4337361,337
20.4737121,365
20.5136881,371
20.5536641,328
20.5936401,390
20.6336161,329
20.6735921,367
20.7135681,300
20.7535441,350
20.7935201,357
20.8334961,353
20.8734721,322
20.9134481,346
20.9534241,332
20.9934001,337
21.0333761,326
21.0733521,317
21.1133281,348
21.1533041,314
21.1932801,348
21.2332561,318
21.2732321,317
21.3132081,312
21.3531841,315
21.3931601,311
21.4331361,350
21.4731121,305
21.5130881,309
21.5530641,315
21.5930401,338
21.6330161,335
21.6729921,324
21.7129681,316
21.7529441,311
21.7929201,307
21.8328961,314
21.8728721,321
21.9128481,288
21.9528241,320
21.9928001,303
22.0327761,296
22.0727521,339
22.1127281,312
22.1527041,316
22.1926801,332
22.2326561,310
22.2726321,294
22.3126081,291
22.3525841,329
22.3925601,298
22.4325361,327
22.4725121,305
22.5124881,315
22.5524641,300
22.5924401,321
22.6324161,314
22.6723921,269
22.7123681,303
22.7523441,296
22.7923201,295
22.8322961,296
22.8722721,276
22.9122481,297
22.9522241,299
22.9922001,313
23.0321761,287
23.0721521,305
23.1121281,317
23.1521041,319
23.1920801,300
23.2320561,290
23.2720321,304
23.3120081,308
23.3519841,251
23.3919601,304
23.4319361,281
23.4719121,325
23.5118881,331
23.5518641,316
23.5918401,288
23.6318161,288
23.6717921,277
23.7117681,283
23.7517441,287
23.7917201,294
23.8316961,286
23.8716721,294
23.9116481,279
23.9516241,284
23.9916001,310
24.0315762,291
24.0715522,277
24.1115282,285
24.1515042,303
24.1914802,292
24.2314562,305
24.2714322,286
24.3114082,288
24.3513842,303
24.3913602,263
24.4313362,288
24.4713122,267
24.5112882,282
24.5512642,289
24.5912402,282
24.6312162,281
24.6711922,279
24.7111682,285
24.7511442,294
24.7911202,302
24.8310962,295
24.8710722,288
24.9110482,294
24.9510242,296
24.9910002,315
25.0309762,313
25.0709522,278
25.1109282,296
25.1509042,266
25.1908802,249
25.2308562,283
25.2708322,290
25.3108082,299
25.3507842,271
25.3907602,250
25.4307362,273
25.4707122,280
25.5106882,270
25.5506642,278
25.5906402,263
25.6306162,292
25.6705922,293
25.7105682,276
25.7505442,261
25.7905202,254
25.8304962,283
25.8704722,259
25.9104482,260
25.9504242,234
25.9904002,277
26.0303762,280
26.0703522,242
26.1103282,277
26.1503042,237
26.1902802,243
26.2302562,261
26.2702322,229
26.3102082,236
26.3501842,265
26.3901602,271
26.4301362,283
26.4701122,242
26.5100882,275
26.5500642,252
26.5900402,262
26.6300162,257
26.6699922,292
26.7099682,260
26.7499442,266
26.7899202,255
26.8298962,283
26.8698722,263
26.9098482,255
26.9498242,297
26.9898002,266
27.0297762,285
27.0697522,284
27.1097282,280
27.1497042,247
27.1896802,256
27.2296562,280
27.2696322,246
27.3096082,280
27.3495842,247
27.3895602,264
27.4295362,259
27.4695122,271
