Criado como novo conjunto de dados;Amostra 000 por Analyst data segunda-feira, outubro 28 2024
cm-1;%T
4000,00;14,53
3999,00;14,53
3998,00;14,53
3997,00;14,53
3996,00;14,53
3995,00;14,53
3994,00;14,52
3993,00;14,52
3992,00;14,52
3991,00;14,52
3990,00;14,52
3989,00;14,51
3988,00;14,51
3987,00;14,51
3986,00;14,51
3985,00;14,52
3984,00;14,52
3983,00;14,52
3982,00;14,52
3981,00;14,52
3980,00;14,52
3979,00;14,52
3978,00;14,52
3977,00;14,52
3976,00;14,52
3975,00;14,51
3974,00;14,51
3973,00;14,51
3972,00;14,51
3971,00;14,51
3970,00;14,50
3969,00;14,50
3968,00;14,50
3967,00;14,50
3966,00;14,51
3965,00;14,51
3964,00;14,51
3963,00;14,51
3962,00;14,51
3961,00;14,50
3960,00;14,50
3959,00;14,50
3958,00;14,50
3957,00;14,50
3956,00;14,50
3955,00;14,50
3954,00;14,50
3953,00;14,51
3952,00;14,51
3951,00;14,51
3950,00;14,51
3949,00;14,49
3948,00;14,48
3947,00;14,47
3946,00;14,47
3945,00;14,47
3944,00;14,46
3943,00;14,45
3942,00;14,45
3941,00;14,45
3940,00;14,46
3939,00;14,47
3938,00;14,47
3937,00;14,48
3936,00;14,50
3935,00;14,51
3934,00;14,51
3933,00;14,49
3932,00;14,48
3931,00;14,46
3930,00;14,45
3929,00;14,45
3928,00;14,45
3927,00;14,46
3926,00;14,46
3925,00;14,46
3924,00;14,46
3923,00;14,46
3922,00;14,46
3921,00;14,45
3920,00;14,44
3919,00;14,44
3918,00;14,44
3917,00;14,43
3916,00;14,42
3915,00;14,42
3914,00;14,43
3913,00;14,44
3912,00;14,45
3911,00;14,47
3910,00;14,49
3909,00;14,50
3908,00;14,51
3907,00;14,50
3906,00;14,48
3905,00;14,46
3904,00;14,43
3903,00;14,41
3902,00;14,38
3901,00;14,34
3900,00;14,30
3899,00;14,28
3898,00;14,30
3897,00;14,35
3896,00;14,39
3895,00;14,41
3894,00;14,42
3893,00;14,42
3892,00;14,41
3891,00;14,40
3890,00;14,42
3889,00;14,45
3888,00;14,45
3887,00;14,42
3886,00;14,39
3885,00;14,41
3884,00;14,46
3883,00;14,47
3882,00;14,42
3881,00;14,36
3880,00;14,32
3879,00;14,34
3878,00;14,39
3877,00;14,42
3876,00;14,42
3875,00;14,41
3874,00;14,42
3873,00;14,44
3872,00;14,44
3871,00;14,41
3870,00;14,36
3869,00;14,36
3868,00;14,39
3867,00;14,41
3866,00;14,39
3865,00;14,36
3864,00;14,36
3863,00;14,38
3862,00;14,38
3861,00;14,38
3860,00;14,39
3859,00;14,40
3858,00;14,40
3857,00;14,37
3856,00;14,35
3855,00;14,34
3854,00;14,38
3853,00;14,46
3852,00;14,51
3851,00;14,51
3850,00;14,46
3849,00;14,39
3848,00;14,36
3847,00;14,37
3846,00;14,40
3845,00;14,43
3844,00;14,45
3843,00;14,46
3842,00;14,47
3841,00;14,46
3840,00;14,43
3839,00;14,39
3838,00;14,38
3837,00;14,38
3836,00;14,40
3835,00;14,40
3834,00;14,38
3833,00;14,35
3832,00;14,34
3831,00;14,36
3830,00;14,40
3829,00;14,43
3828,00;14,44
3827,00;14,43
3826,00;14,43
3825,00;14,45
3824,00;14,45
3823,00;14,43
3822,00;14,40
3821,00;14,39
3820,00;14,40
3819,00;14,42
3818,00;14,40
3817,00;14,35
3816,00;14,33
3815,00;14,38
3814,00;14,46
3813,00;14,48
3812,00;14,46
3811,00;14,43
3810,00;14,44
3809,00;14,45
3808,00;14,46
3807,00;14,47
3806,00;14,50
3805,00;14,53
3804,00;14,52
3803,00;14,46
3802,00;14,41
3801,00;14,41
3800,00;14,46
3799,00;14,49
3798,00;14,45
3797,00;14,38
3796,00;14,35
3795,00;14,37
3794,00;14,41
3793,00;14,43
3792,00;14,44
3791,00;14,46
3790,00;14,48
3789,00;14,50
3788,00;14,51
3787,00;14,52
3786,00;14,52
3785,00;14,51
3784,00;14,50
3783,00;14,49
3782,00;14,49
3781,00;14,47
3780,00;14,46
3779,00;14,45
3778,00;14,45
3777,00;14,46
3776,00;14,46
3775,00;14,46
3774,00;14,47
3773,00;14,49
3772,00;14,50
3771,00;14,49
3770,00;14,48
3769,00;14,47
3768,00;14,47
3767,00;14,46
3766,00;14,43
3765,00;14,41
3764,00;14,43
3763,00;14,45
3762,00;14,47
3761,00;14,46
3760,00;14,46
3759,00;14,47
3758,00;14,46
3757,00;14,45
3756,00;14,43
3755,00;14,42
3754,00;14,42
3753,00;14,43
3752,00;14,46
3751,00;14,49
3750,00;14,47
3749,00;14,44
3748,00;14,41
3747,00;14,36
3746,00;14,28
3745,00;14,22
3744,00;14,25
3743,00;14,38
3742,00;14,48
3741,00;14,48
3740,00;14,42
3739,00;14,40
3738,00;14,41
3737,00;14,44
3736,00;14,44
3735,00;14,41
3734,00;14,35
3733,00;14,30
3732,00;14,29
3731,00;14,33
3730,00;14,41
3729,00;14,46
3728,00;14,48
3727,00;14,47
3726,00;14,47
3725,00;14,48
3724,00;14,48
3723,00;14,45
3722,00;14,42
3721,00;14,42
3720,00;14,42
3719,00;14,42
3718,00;14,43
3717,00;14,44
3716,00;14,46
3715,00;14,48
3714,00;14,49
3713,00;14,50
3712,00;14,51
3711,00;14,51
3710,00;14,47
3709,00;14,43
3708,00;14,41
3707,00;14,42
3706,00;14,45
3705,00;14,48
3704,00;14,49
3703,00;14,49
3702,00;14,49
3701,00;14,49
3700,00;14,49
3699,00;14,50
3698,00;14,50
3697,00;14,50
3696,00;14,51
3695,00;14,53
3694,00;14,53
3693,00;14,52
3692,00;14,51
3691,00;14,50
3690,00;14,48
3689,00;14,44
3688,00;14,42
3687,00;14,43
3686,00;14,45
3685,00;14,44
3684,00;14,42
3683,00;14,42
3682,00;14,44
3681,00;14,47
3680,00;14,47
3679,00;14,47
3678,00;14,46
3677,00;14,43
3676,00;14,38
3675,00;14,33
3674,00;14,32
3673,00;14,33
3672,00;14,30
3671,00;14,26
3670,00;14,25
3669,00;14,27
3668,00;14,30
3667,00;14,30
3666,00;14,30
3665,00;14,31
3664,00;14,33
3663,00;14,36
3662,00;14,38
3661,00;14,40
3660,00;14,40
3659,00;14,39
3658,00;14,37
3657,00;14,33
3656,00;14,31
3655,00;14,32
3654,00;14,32
3653,00;14,30
3652,00;14,27
3651,00;14,25
3650,00;14,25
3649,00;14,21
3648,00;14,13
3647,00;14,04
3646,00;14,01
3645,00;14,03
3644,00;14,06
3643,00;14,10
3642,00;14,12
3641,00;14,15
3640,00;14,17
3639,00;14,18
3638,00;14,18
3637,00;14,18
3636,00;14,18
3635,00;14,17
3634,00;14,15
3633,00;14,13
3632,00;14,11
3631,00;14,07
3630,00;14,02
3629,00;13,98
3628,00;13,95
3627,00;13,96
3626,00;13,96
3625,00;13,95
3624,00;13,94
3623,00;13,95
3622,00;13,96
3621,00;13,95
3620,00;13,93
3619,00;13,90
3618,00;13,87
3617,00;13,85
3616,00;13,83
3615,00;13,81
3614,00;13,77
3613,00;13,74
3612,00;13,73
3611,00;13,73
3610,00;13,73
3609,00;13,73
3608,00;13,72
3607,00;13,72
3606,00;13,72
3605,00;13,72
3604,00;13,73
3603,00;13,75
3602,00;13,76
3601,00;13,76
3600,00;13,75
3599,00;13,73
3598,00;13,71
3597,00;13,68
3596,00;13,65
3595,00;13,63
3594,00;13,60
3593,00;13,59
3592,00;13,58
3591,00;13,57
3590,00;13,57
3589,00;13,55
3588,00;13,53
3587,00;13,49
3586,00;13,45
3585,00;13,43
3584,00;13,43
3583,00;13,44
3582,00;13,45
3581,00;13,46
3580,00;13,46
3579,00;13,46
3578,00;13,46
3577,00;13,45
3576,00;13,44
3575,00;13,43
3574,00;13,42
3573,00;13,41
3572,00;13,40
3571,00;13,40
3570,00;13,40
3569,00;13,38
3568,00;13,35
3567,00;13,29
3566,00;13,22
3565,00;13,17
3564,00;13,16
3563,00;13,17
3562,00;13,19
3561,00;13,21
3560,00;13,22
3559,00;13,22
3558,00;13,22
