Criado como novo conjunto de dados;Amostra 021 por Analyst data segunda-feira, outubro 28 2024
cm-1;%T
4000,00;100,67
3999,00;100,67
3998,00;100,67
3997,00;100,67
3996,00;100,67
3995,00;100,67
3994,00;100,67
3993,00;100,67
3992,00;100,67
3991,00;100,67
3990,00;100,67
3989,00;100,68
3988,00;100,68
3987,00;100,68
3986,00;100,68
3985,00;100,67
3984,00;100,67
3983,00;100,67
3982,00;100,68
3981,00;100,68
3980,00;100,68
3979,00;100,68
3978,00;100,68
3977,00;100,68
3976,00;100,68
3975,00;100,68
3974,00;100,68
3973,00;100,68
3972,00;100,68
3971,00;100,68
3970,00;100,68
3969,00;100,68
3968,00;100,68
3967,00;100,68
3966,00;100,68
3965,00;100,68
3964,00;100,68
3963,00;100,68
3962,00;100,68
3961,00;100,69
3960,00;100,69
3959,00;100,69
3958,00;100,69
3957,00;100,69
3956,00;100,69
3955,00;100,69
3954,00;100,69
3953,00;100,69
3952,00;100,69
3951,00;100,69
3950,00;100,69
3949,00;100,70
3948,00;100,70
3947,00;100,70
3946,00;100,70
3945,00;100,70
3944,00;100,70
3943,00;100,70
3942,00;100,71
3941,00;100,71
3940,00;100,71
3939,00;100,71
3938,00;100,71
3937,00;100,70
3936,00;100,70
3935,00;100,70
3934,00;100,70
3933,00;100,70
3932,00;100,71
3931,00;100,72
3930,00;100,72
3929,00;100,72
3928,00;100,72
3927,00;100,72
3926,00;100,72
3925,00;100,72
3924,00;100,72
3923,00;100,72
3922,00;100,72
3921,00;100,72
3920,00;100,72
3919,00;100,72
3918,00;100,73
3917,00;100,73
3916,00;100,74
3915,00;100,74
3914,00;100,74
3913,00;100,74
3912,00;100,74
3911,00;100,73
3910,00;100,73
3909,00;100,72
3908,00;100,72
3907,00;100,73
3906,00;100,73
3905,00;100,74
3904,00;100,74
3903,00;100,75
3902,00;100,76
3901,00;100,78
3900,00;100,79
3899,00;100,79
3898,00;100,78
3897,00;100,78
3896,00;100,77
3895,00;100,76
3894,00;100,75
3893,00;100,76
3892,00;100,76
3891,00;100,76
3890,00;100,76
3889,00;100,75
3888,00;100,76
3887,00;100,77
3886,00;100,77
3885,00;100,77
3884,00;100,77
3883,00;100,78
3882,00;100,79
3881,00;100,80
3880,00;100,80
3879,00;100,80
3878,00;100,79
3877,00;100,79
3876,00;100,79
3875,00;100,78
3874,00;100,78
3873,00;100,77
3872,00;100,78
3871,00;100,79
3870,00;100,80
3869,00;100,80
3868,00;100,80
3867,00;100,80
3866,00;100,81
3865,00;100,81
3864,00;100,80
3863,00;100,81
3862,00;100,82
3861,00;100,82
3860,00;100,81
3859,00;100,80
3858,00;100,79
3857,00;100,80
3856,00;100,81
3855,00;100,81
3854,00;100,80
3853,00;100,80
3852,00;100,82
3851,00;100,84
3850,00;100,85
3849,00;100,84
3848,00;100,83
3847,00;100,81
3846,00;100,81
3845,00;100,80
3844,00;100,80
3843,00;100,80
3842,00;100,80
3841,00;100,81
3840,00;100,82
3839,00;100,83
3838,00;100,83
3837,00;100,84
3836,00;100,84
3835,00;100,85
3834,00;100,85
3833,00;100,85
3832,00;100,85
3831,00;100,84
3830,00;100,83
3829,00;100,82
3828,00;100,82
3827,00;100,82
3826,00;100,82
3825,00;100,82
3824,00;100,82
3823,00;100,83
3822,00;100,84
3821,00;100,84
3820,00;100,84
3819,00;100,84
3818,00;100,85
3817,00;100,85
3816,00;100,85
3815,00;100,84
3814,00;100,83
3813,00;100,84
3812,00;100,84
3811,00;100,83
3810,00;100,82
3809,00;100,82
3808,00;100,82
3807,00;100,82
3806,00;100,82
3805,00;100,82
3804,00;100,83
3803,00;100,84
3802,00;100,85
3801,00;100,85
3800,00;100,85
3799,00;100,85
3798,00;100,86
3797,00;100,87
3796,00;100,87
3795,00;100,86
3794,00;100,86
3793,00;100,85
3792,00;100,84
3791,00;100,83
3790,00;100,83
3789,00;100,83
3788,00;100,82
3787,00;100,82
3786,00;100,83
3785,00;100,83
3784,00;100,83
3783,00;100,83
3782,00;100,83
3781,00;100,84
3780,00;100,84
3779,00;100,84
3778,00;100,84
3777,00;100,85
3776,00;100,85
3775,00;100,84
3774,00;100,83
3773,00;100,83
3772,00;100,83
3771,00;100,84
3770,00;100,84
3769,00;100,84
3768,00;100,85
3767,00;100,85
3766,00;100,86
3765,00;100,86
3764,00;100,85
3763,00;100,84
3762,00;100,84
3761,00;100,84
3760,00;100,84
3759,00;100,85
3758,00;100,86
3757,00;100,86
3756,00;100,86
3755,00;100,86
3754,00;100,86
3753,00;100,85
3752,00;100,84
3751,00;100,85
3750,00;100,88
3749,00;100,89
3748,00;100,88
3747,00;100,89
3746,00;100,90
3745,00;100,90
3744,00;100,89
3743,00;100,88
3742,00;100,88
3741,00;100,88
3740,00;100,87
3739,00;100,86
3738,00;100,85
3737,00;100,85
3736,00;100,85
3735,00;100,87
3734,00;100,89
3733,00;100,92
3732,00;100,92
3731,00;100,90
3730,00;100,87
3729,00;100,86
3728,00;100,85
3727,00;100,85
3726,00;100,85
3725,00;100,85
3724,00;100,86
3723,00;100,87
3722,00;100,87
3721,00;100,87
3720,00;100,87
3719,00;100,86
3718,00;100,86
3717,00;100,85
3716,00;100,83
3715,00;100,83
3714,00;100,83
3713,00;100,82
3712,00;100,82
3711,00;100,84
3710,00;100,85
3709,00;100,86
3708,00;100,85
3707,00;100,84
3706,00;100,82
3705,00;100,81
3704,00;100,80
3703,00;100,80
3702,00;100,80
3701,00;100,79
3700,00;100,79
3699,00;100,79
3698,00;100,78
3697,00;100,77
3696,00;100,76
3695,00;100,76
3694,00;100,76
3693,00;100,76
3692,00;100,76
3691,00;100,76
3690,00;100,76
3689,00;100,76
3688,00;100,76
3687,00;100,74
3686,00;100,73
3685,00;100,72
3684,00;100,70
3683,00;100,69
3682,00;100,67
3681,00;100,65
3680,00;100,64
3679,00;100,63
3678,00;100,62
3677,00;100,62
3676,00;100,61
3675,00;100,59
3674,00;100,57
3673,00;100,55
3672,00;100,53
3671,00;100,51
3670,00;100,48
3669,00;100,44
3668,00;100,41
3667,00;100,37
3666,00;100,33
3665,00;100,29
3664,00;100,25
3663,00;100,21
3662,00;100,17
3661,00;100,13
3660,00;100,09
