Criado como novo conjunto de dados;Amostra 001 por Analyst data segunda-feira, outubro 28 2024
cm-1;%T
4000,00;25,19
3999,00;25,01
3998,00;24,83
3997,00;24,65
3996,00;24,47
3995,00;24,34
3994,00;24,27
3993,00;24,27
3992,00;24,32
3991,00;24,43
3990,00;24,59
3989,00;24,80
3988,00;25,05
3987,00;25,32
3986,00;25,61
3985,00;25,90
3984,00;26,19
3983,00;26,46
3982,00;26,69
3981,00;26,90
3980,00;27,06
3979,00;27,17
3978,00;27,22
3977,00;27,22
3976,00;27,16
3975,00;27,05
3974,00;26,89
3973,00;26,69
3972,00;26,45
3971,00;26,17
3970,00;25,88
3969,00;25,58
3968,00;25,29
3967,00;25,02
3966,00;24,79
3965,00;24,61
3964,00;24,47
3963,00;24,38
3962,00;24,35
3961,00;24,39
3960,00;24,49
3959,00;24,63
3958,00;24,82
3957,00;25,06
3956,00;25,33
3955,00;25,62
3954,00;25,93
3953,00;26,25
3952,00;26,55
3951,00;26,83
3950,00;27,07
3949,00;27,24
3948,00;27,36
3947,00;27,44
3946,00;27,46
3945,00;27,41
3944,00;27,28
3943,00;27,10
3942,00;26,90
3941,00;26,66
3940,00;26,38
3939,00;26,06
3938,00;25,75
3937,00;25,48
3936,00;25,26
3935,00;25,07
3934,00;24,89
3933,00;24,73
3932,00;24,62
3931,00;24,56
3930,00;24,57
3929,00;24,65
3928,00;24,80
3927,00;24,98
3926,00;25,19
3925,00;25,45
3924,00;25,78
3923,00;26,12
3922,00;26,43
3921,00;26,69
3920,00;26,92
3919,00;27,13
3918,00;27,27
3917,00;27,35
3916,00;27,40
3915,00;27,41
3914,00;27,36
3913,00;27,25
3912,00;27,09
3911,00;26,91
3910,00;26,75
3909,00;26,59
3908,00;26,44
3907,00;26,27
3906,00;26,08
3905,00;25,86
3904,00;25,64
3903,00;25,43
3902,00;25,21
3901,00;24,97
3900,00;24,74
3899,00;24,63
3898,00;24,68
3897,00;24,83
3896,00;25,03
3895,00;25,25
3894,00;25,51
3893,00;25,76
3892,00;26,00
3891,00;26,30
3890,00;26,72
3889,00;27,11
3888,00;27,32
3887,00;27,36
3886,00;27,42
3885,00;27,60
3884,00;27,85
3883,00;27,97
3882,00;27,83
3881,00;27,54
3880,00;27,25
3879,00;27,06
3878,00;26,90
3877,00;26,65
3876,00;26,34
3875,00;26,06
3874,00;25,91
3873,00;25,81
3872,00;25,64
3871,00;25,33
3870,00;25,05
3869,00;24,98
3868,00;25,09
3867,00;25,13
3866,00;25,10
3865,00;25,16
3864,00;25,37
3863,00;25,65
3862,00;25,92
3861,00;26,17
3860,00;26,45
3859,00;26,78
3858,00;27,16
3857,00;27,53
3856,00;27,85
3855,00;28,06
3854,00;28,10
3853,00;28,05
3852,00;28,18
3851,00;28,32
3850,00;28,11
3849,00;27,70
3848,00;27,32
3847,00;27,02
3846,00;26,78
3845,00;26,56
3844,00;26,35
3843,00;26,18
3842,00;26,05
3841,00;25,90
3840,00;25,69
3839,00;25,47
3838,00;25,30
3837,00;25,26
3836,00;25,31
3835,00;25,38
3834,00;25,40
3833,00;25,42
3832,00;25,53
3831,00;25,77
3830,00;26,10
3829,00;26,42
3828,00;26,68
3827,00;26,93
3826,00;27,28
3825,00;27,69
3824,00;28,01
3823,00;28,13
3822,00;28,11
3821,00;28,08
3820,00;28,20
3819,00;28,29
3818,00;28,07
3817,00;27,60
3816,00;27,16
3815,00;26,89
3814,00;26,70
3813,00;26,40
3812,00;26,02
3811,00;25,73
3810,00;25,55
3809,00;25,37
3808,00;25,15
3807,00;25,01
3806,00;25,08
3805,00;25,31
3804,00;25,43
3803,00;25,42
3802,00;25,45
3801,00;25,71
3800,00;26,19
3799,00;26,60
3798,00;26,75
3797,00;26,79
3796,00;26,91
3795,00;27,13
3794,00;27,34
3793,00;27,47
3792,00;27,55
3791,00;27,63
3790,00;27,70
3789,00;27,73
3788,00;27,72
3787,00;27,65
3786,00;27,50
3785,00;27,29
3784,00;27,08
3783,00;26,87
3782,00;26,62
3781,00;26,29
3780,00;25,94
3779,00;25,61
3778,00;25,36
3777,00;25,16
3776,00;24,98
3775,00;24,87
3774,00;24,89
3773,00;25,01
3772,00;25,13
3771,00;25,27
3770,00;25,48
3769,00;25,79
3768,00;26,13
3767,00;26,39
3766,00;26,60
3765,00;26,86
3764,00;27,20
3763,00;27,53
3762,00;27,75
3761,00;27,90
3760,00;28,04
3759,00;28,15
3758,00;28,20
3757,00;28,22
3756,00;28,21
3755,00;28,16
3754,00;28,06
3753,00;27,96
3752,00;27,80
3751,00;27,48
3750,00;27,07
3749,00;26,81
3748,00;26,65
3747,00;26,38
3746,00;25,92
3745,00;25,42
3744,00;25,15
3743,00;25,27
3742,00;25,52
3741,00;25,58
3740,00;25,61
3739,00;25,77
3738,00;26,04
3737,00;26,36
3736,00;26,69
3735,00;27,02
3734,00;27,25
3733,00;27,35
3732,00;27,40
3731,00;27,53
3730,00;27,73
3729,00;27,85
3728,00;27,87
3727,00;27,87
3726,00;27,90
3725,00;27,91
3724,00;27,80
3723,00;27,59
3722,00;27,31
3721,00;27,02
3720,00;26,71
3719,00;26,37
3718,00;26,06
3717,00;25,84
3716,00;25,72
3715,00;25,65
3714,00;25,61
3713,00;25,58
3712,00;25,54
3711,00;25,49
3710,00;25,46
3709,00;25,47
3708,00;25,52
3707,00;25,63
3706,00;25,82
3705,00;26,07
3704,00;26,34
3703,00;26,60
3702,00;26,85
3701,00;27,12
3700,00;27,39
3699,00;27,60
3698,00;27,71
3697,00;27,77
3696,00;27,85
3695,00;27,94
3694,00;27,99
3693,00;28,00
3692,00;27,98
3691,00;27,86
3690,00;27,57
3689,00;27,14
3688,00;26,72
3687,00;26,41
3686,00;26,11
3685,00;25,76
3684,00;25,44
3683,00;25,24
3682,00;25,15
3681,00;25,14
3680,00;25,25
3679,00;25,48
3678,00;25,74
3677,00;25,92
3676,00;26,04
3675,00;26,28
3674,00;26,76
3673,00;27,17
3672,00;27,29
3671,00;27,33
3670,00;27,48
3669,00;27,75
3668,00;28,00
3667,00;28,09
3666,00;28,02
3665,00;27,94
3664,00;27,89
3663,00;27,84
3662,00;27,75
3661,00;27,66
3660,00;27,55
3659,00;27,40
3658,00;27,13
3657,00;26,78
3656,00;26,44
3655,00;26,25
3654,00;26,16
3653,00;26,06
3652,00;25,95
3651,00;25,91
3650,00;25,87
3649,00;25,78
3648,00;25,70
3647,00;25,69
3646,00;25,74
3645,00;25,78
3644,00;25,85
3643,00;25,97
3642,00;26,18
3641,00;26,45
3640,00;26,73
3639,00;26,99
3638,00;27,24
3637,00;27,47
3636,00;27,66
3635,00;27,78
3634,00;27,90
3633,00;28,05
3632,00;28,16
3631,00;28,13
3630,00;27,89
3629,00;27,50
3628,00;27,12
3627,00;26,86
3626,00;26,57
3625,00;26,21
3624,00;25,90
3623,00;25,71
3622,00;25,56
3621,00;25,41
3620,00;25,25
3619,00;25,12
3618,00;25,10
3617,00;25,18
3616,00;25,27
3615,00;25,36
3614,00;25,49
3613,00;25,72
3612,00;26,02
3611,00;26,30
3610,00;26,51
3609,00;26,68
3608,00;26,87
3607,00;27,09
3606,00;27,30
3605,00;27,44
3604,00;27,54
3603,00;27,61
3602,00;27,66
3601,00;27,67
3600,00;27,62
3599,00;27,53
3598,00;27,37
3597,00;27,15
3596,00;26,87
3595,00;26,55
3594,00;26,22
3593,00;25,91
3592,00;25,65
3591,00;25,44
3590,00;25,25
3589,00;25,09
3588,00;24,93
3587,00;24,80
3586,00;24,76
3585,00;24,77
3584,00;24,81
3583,00;24,90
3582,00;25,06
3581,00;25,29
3580,00;25,56
3579,00;25,85
3578,00;26,15
3577,00;26,43
3576,00;26,69
3575,00;26,92
3574,00;27,11
3573,00;27,29
3572,00;27,46
3571,00;27,62
3570,00;27,74
3569,00;27,79
3568,00;27,73
3567,00;27,55
3566,00;27,27
3565,00;26,96
3564,00;26,61
3563,00;26,25
3562,00;25,89
3561,00;25,55
3560,00;25,25
3559,00;24,98
3558,00;24,76
3557,00;24,61
3556,00;24,53
3555,00;24,51
3554,00;24,55
3553,00;24,64
3552,00;24,79
3551,00;24,99
3550,00;25,24
3549,00;25,51
3548,00;25,80
3547,00;26,09
3546,00;26,38
3545,00;26,63
3544,00;26,84
3543,00;26,99
3542,00;27,10
3541,00;27,17
3540,00;27,22
3539,00;27,23
3538,00;27,21
3537,00;27,12
3536,00;26,97
3535,00;26,77
3534,00;26,54
3533,00;26,29
3532,00;26,04
3531,00;25,79
3530,00;25,54
3529,00;25,30
3528,00;25,07
3527,00;24,87
3526,00;24,71
3525,00;24,57
3524,00;24,48
3523,00;24,43
3522,00;24,46
3521,00;24,54
3520,00;24,68
3519,00;24,87
3518,00;25,09
3517,00;25,36
3516,00;25,64
3515,00;25,92
3514,00;26,20
3513,00;26,46
3512,00;26,70
3511,00;26,89
3510,00;27,03
3509,00;27,11
3508,00;27,15
3507,00;27,14
3506,00;27,08
3505,00;26,97
3504,00;26,81
3503,00;26,60
3502,00;26,32
3501,00;26,02
3500,00;25,70
3499,00;25,40
3498,00;25,11
3497,00;24,85
3496,00;24,62
3495,00;24,42
3494,00;24,27
3493,00;24,19
3492,00;24,17
3491,00;24,21
3490,00;24,32
3489,00;24,48
3488,00;24,68
3487,00;24,91
3486,00;25,18
3485,00;25,46
3484,00;25,75
3483,00;26,03
3482,00;26,29
3481,00;26,52
3480,00;26,70
3479,00;26,82
3478,00;26,89
3477,00;26,92
3476,00;26,91
3475,00;26,85
3474,00;26,74
3473,00;26,58
3472,00;26,39
3471,00;26,15
3470,00;25,90
3469,00;25,62
3468,00;25,33
3467,00;25,04
3466,00;24,77
3465,00;24,54
3464,00;24,34
3463,00;24,20
3462,00;24,12
3461,00;24,08
3460,00;24,09
3459,00;24,16
3458,00;24,27
3457,00;24,45
3456,00;24,66
3455,00;24,92
3454,00;25,19
3453,00;25,46
3452,00;25,74
3451,00;26,02
3450,00;26,28
3449,00;26,50
3448,00;26,68
3447,00;26,80
3446,00;26,86
3445,00;26,87
3444,00;26,81
3443,00;26,69
3442,00;26,53
3441,00;26,34
3440,00;26,12
3439,00;25,86
3438,00;25,59
3437,00;25,30
3436,00;25,02
3435,00;24,75
3434,00;24,50
3433,00;24,29
3432,00;24,13
3431,00;24,02
3430,00;23,97
3429,00;23,97
3428,00;24,02
3427,00;24,13
3426,00;24,30
3425,00;24,51
3424,00;24,77
3423,00;25,05
3422,00;25,34
3421,00;25,62
3420,00;25,88
3419,00;26,11
3418,00;26,31
3417,00;26,47
3416,00;26,59
3415,00;26,67
3414,00;26,70
3413,00;26,68
3412,00;26,60
3411,00;26,47
3410,00;26,29
3409,00;26,08
3408,00;25,83
3407,00;25,57
3406,00;25,30
3405,00;25,03
3404,00;24,77
3403,00;24,53
3402,00;24,32
3401,00;24,14
3400,00;24,01
3399,00;23,92
3398,00;23,90
3397,00;23,94
3396,00;24,05
3395,00;24,21
3394,00;24,42
3393,00;24,66
3392,00;24,91
3391,00;25,17
3390,00;25,43
3389,00;25,69
3388,00;25,93
3387,00;26,16
3386,00;26,35
3385,00;26,49
3384,00;26,59
3383,00;26,64
3382,00;26,63
3381,00;26,57
3380,00;26,45
3379,00;26,30
3378,00;26,10
3377,00;25,86
3376,00;25,60
3375,00;25,33
3374,00;25,05
3373,00;24,79
3372,00;24,55
3371,00;24,34
3370,00;24,15
3369,00;24,01
3368,00;23,92
3367,00;23,87
3366,00;23,89
3365,00;23,97
3364,00;24,10
3363,00;24,29
3362,00;24,51
3361,00;24,77
3360,00;25,03
3359,00;25,30
3358,00;25,56
3357,00;25,82
3356,00;26,05
3355,00;26,25
3354,00;26,42
3353,00;26,53
3352,00;26,60
3351,00;26,60
3350,00;26,54
3349,00;26,44
3348,00;26,29
3347,00;26,10
3346,00;25,89
3345,00;25,65
3344,00;25,38
3343,00;25,11
3342,00;24,84
3341,00;24,58
3340,00;24,36
3339,00;24,16
3338,00;24,00
3337,00;23,89
3336,00;23,82
3335,00;23,82
3334,00;23,88
3333,00;24,00
3332,00;24,17
3331,00;24,39
3330,00;24,63
3329,00;24,90
3328,00;25,18
3327,00;25,46
3326,00;25,72
3325,00;25,95
3324,00;26,15
3323,00;26,31
3322,00;26,43
3321,00;26,51
3320,00;26,54
3319,00;26,52
3318,00;26,44
3317,00;26,32
3316,00;26,15
3315,00;25,94
3314,00;25,71
3313,00;25,45
3312,00;25,19
3311,00;24,92
3310,00;24,67
3309,00;24,42
3308,00;24,21
3307,00;24,03
3306,00;23,89
3305,00;23,81
3304,00;23,78
3303,00;23,82
3302,00;23,92
3301,00;24,08
3300,00;24,28
3299,00;24,52
3298,00;24,79
3297,00;25,06
3296,00;25,34
3295,00;25,61
3294,00;25,86
3293,00;26,08
3292,00;26,26
3291,00;26,39
3290,00;26,47
3289,00;26,50
3288,00;26,49
3287,00;26,43
3286,00;26,32
3285,00;26,17
3284,00;25,97
3283,00;25,74
3282,00;25,48
3281,00;25,21
3280,00;24,94
3279,00;24,68
3278,00;24,44
3277,00;24,23
3276,00;24,05
3275,00;23,91
3274,00;23,82
3273,00;23,79
3272,00;23,81
3271,00;23,89
3270,00;24,01
3269,00;24,18
3268,00;24,39
3267,00;24,64
3266,00;24,91
3265,00;25,19
3264,00;25,46
3263,00;25,72
3262,00;25,95
3261,00;26,14
3260,00;26,30
3259,00;26,41
3258,00;26,48
3257,00;26,49
3256,00;26,45
3255,00;26,35
3254,00;26,19
3253,00;26,00
3252,00;25,78
3251,00;25,53
3250,00;25,27
3249,00;25,00
3248,00;24,74
3247,00;24,49
3246,00;24,25
3245,00;24,05
3244,00;23,89
3243,00;23,78
3242,00;23,73
3241,00;23,74
3240,00;23,80
3239,00;23,93
3238,00;24,10
3237,00;24,31
3236,00;24,56
3235,00;24,83
3234,00;25,10
3233,00;25,37
3232,00;25,62
3231,00;25,85
3230,00;26,05
3229,00;26,22
3228,00;26,35
3227,00;26,43
3226,00;26,45
3225,00;26,42
3224,00;26,34
3223,00;26,22
3222,00;26,05
3221,00;25,85
3220,00;25,61
3219,00;25,35
3218,00;25,07
3217,00;24,80
3216,00;24,54
3215,00;24,30
3214,00;24,09
3213,00;23,92
3212,00;23,80
3211,00;23,73
3210,00;23,72
3209,00;23,77
3208,00;23,87
3207,00;24,02
3206,00;24,21
3205,00;24,44
3204,00;24,70
3203,00;24,97
3202,00;25,25
3201,00;25,52
3200,00;25,78
3199,00;26,00
3198,00;26,19
3197,00;26,33
3196,00;26,42
3195,00;26,45
3194,00;26,43
3193,00;26,37
3192,00;26,25
3191,00;26,09
3190,00;25,90
3189,00;25,67
3188,00;25,43
3187,00;25,16
3186,00;24,89
3185,00;24,63
3184,00;24,38
3183,00;24,16
3182,00;23,98
3181,00;23,85
3180,00;23,77
3179,00;23,74
3178,00;23,78
3177,00;23,86
3176,00;24,00
3175,00;24,19
3174,00;24,41
3173,00;24,66
3172,00;24,92
3171,00;25,20
3170,00;25,47
3169,00;25,72
3168,00;25,95
3167,00;26,15
3166,00;26,30
3165,00;26,41
3164,00;26,47
3163,00;26,47
3162,00;26,42
3161,00;26,33
3160,00;26,19
3159,00;26,01
3158,00;25,79
3157,00;25,55
3156,00;25,29
3155,00;25,03
3154,00;24,77
3153,00;24,51
3152,00;24,28
3151,00;24,07
3150,00;23,92
3149,00;23,82
3148,00;23,77
3147,00;23,79
3146,00;23,86
3145,00;23,99
3144,00;24,16
3143,00;24,38
3142,00;24,63
3141,00;24,90
3140,00;25,18
3139,00;25,44
3138,00;25,69
3137,00;25,92
3136,00;26,13
3135,00;26,31
3134,00;26,44
3133,00;26,52
3132,00;26,55
3131,00;26,52
3130,00;26,44
3129,00;26,31
3128,00;26,13
3127,00;25,92
3126,00;25,69
3125,00;25,44
3124,00;25,18
3123,00;24,92
3122,00;24,66
3121,00;24,43
3120,00;24,22
3119,00;24,06
3118,00;23,94
3117,00;23,87
3116,00;23,86
3115,00;23,90
3114,00;24,00
3113,00;24,16
3112,00;24,36
3111,00;24,60
3110,00;24,87
3109,00;25,14
3108,00;25,41
3107,00;25,66
3106,00;25,90
3105,00;26,12
3104,00;26,31
3103,00;26,45
3102,00;26,55
3101,00;26,60
3100,00;26,58
3099,00;26,51
3098,00;26,39
3097,00;26,23
3096,00;26,03
3095,00;25,80
3094,00;25,55
3093,00;25,28
3092,00;25,01
3091,00;24,75
3090,00;24,50
3089,00;24,28
3088,00;24,10
3087,00;23,97
3086,00;23,89
3085,00;23,87
3084,00;23,91
3083,00;24,01
3082,00;24,16
3081,00;24,35
3080,00;24,58
3079,00;24,83
3078,00;25,09
3077,00;25,35
3076,00;25,60
3075,00;25,85
3074,00;26,07
3073,00;26,26
3072,00;26,42
3071,00;26,53
3070,00;26,60
3069,00;26,62
3068,00;26,58
3067,00;26,49
3066,00;26,33
3065,00;26,14
3064,00;25,90
3063,00;25,64
3062,00;25,37
3061,00;25,10
3060,00;24,84
3059,00;24,59
3058,00;24,37
3057,00;24,18
3056,00;24,03
3055,00;23,93
3054,00;23,89
3053,00;23,91
3052,00;23,98
3051,00;24,11
3050,00;24,28
3049,00;24,50
3048,00;24,74
3047,00;25,01
3046,00;25,28
3045,00;25,56
3044,00;25,82
3043,00;26,05
3042,00;26,26
3041,00;26,42
3040,00;26,53
3039,00;26,60
3038,00;26,62
3037,00;26,60
3036,00;26,54
3035,00;26,42
3034,00;26,25
3033,00;26,04
3032,00;25,79
3031,00;25,52
3030,00;25,24
3029,00;24,96
3028,00;24,70
3027,00;24,47
3026,00;24,27
3025,00;24,11
3024,00;23,99
3023,00;23,93
3022,00;23,93
3021,00;23,99
3020,00;24,11
3019,00;24,28
3018,00;24,49
3017,00;24,73
3016,00;24,99
3015,00;25,27
3014,00;25,54
3013,00;25,80
3012,00;26,04
3011,00;26,25
3010,00;26,42
3009,00;26,54
3008,00;26,63
3007,00;26,67
3006,00;26,65
3005,00;26,59
3004,00;26,48
3003,00;26,32
3002,00;26,12
3001,00;25,89
3000,00;25,64
2999,00;25,38
2998,00;25,11
2997,00;24,85
2996,00;24,60
2995,00;24,39
2994,00;24,22
2993,00;24,09
2992,00;24,01
2991,00;23,98
2990,00;24,02
2989,00;24,11
2988,00;24,26
2987,00;24,45
2986,00;24,68
2985,00;24,94
2984,00;25,22
2983,00;25,49
2982,00;25,77
2981,00;26,02
2980,00;26,24
2979,00;26,43
2978,00;26,58
2977,00;26,68
2976,00;26,74
2975,00;26,74
2974,00;26,69
2973,00;26,59
2972,00;26,44
2971,00;26,25
2970,00;26,02
2969,00;25,78
2968,00;25,51
2967,00;25,24
2966,00;24,98
2965,00;24,72
2964,00;24,49
2963,00;24,30
2962,00;24,14
2961,00;24,04
2960,00;23,99
2959,00;24,01
2958,00;24,08
2957,00;24,21
2956,00;24,39
2955,00;24,61
2954,00;24,86
2953,00;25,13
2952,00;25,40
2951,00;25,67
2950,00;25,92
2949,00;26,16
2948,00;26,37
2947,00;26,54
2946,00;26,66
2945,00;26,73
2944,00;26,75
2943,00;26,71
2942,00;26,62
2941,00;26,49
2940,00;26,32
2939,00;26,12
2938,00;25,88
2937,00;25,62
2936,00;25,35
2935,00;25,08
2934,00;24,83
2933,00;24,59
2932,00;24,39
2931,00;24,23
2930,00;24,12
2929,00;24,05
2928,00;24,04
2927,00;24,10
2926,00;24,20
2925,00;24,36
2924,00;24,56
2923,00;24,78
2922,00;25,04
2921,00;25,30
2920,00;25,57
2919,00;25,82
2918,00;26,06
2917,00;26,27
