Criado como novo conjunto de dados;Amostra 001 por Analyst data segunda-feira, outubro 28 2024
cm-1;%T
4000,00;33,35
3999,00;33,36
3998,00;33,36
3997,00;33,36
3996,00;33,36
3995,00;33,36
3994,00;33,37
3993,00;33,37
3992,00;33,37
3991,00;33,36
3990,00;33,35
3989,00;33,35
3988,00;33,34
3987,00;33,34
3986,00;33,34
3985,00;33,34
3984,00;33,34
3983,00;33,35
3982,00;33,35
3981,00;33,35
3980,00;33,35
3979,00;33,36
3978,00;33,36
3977,00;33,37
3976,00;33,37
3975,00;33,37
3974,00;33,37
3973,00;33,38
3972,00;33,38
3971,00;33,37
3970,00;33,36
3969,00;33,35
3968,00;33,34
3967,00;33,34
3966,00;33,35
3965,00;33,36
3964,00;33,37
3963,00;33,37
3962,00;33,37
3961,00;33,37
3960,00;33,37
3959,00;33,37
3958,00;33,36
3957,00;33,35
3956,00;33,36
3955,00;33,37
3954,00;33,39
3953,00;33,42
3952,00;33,46
3951,00;33,49
3950,00;33,51
3949,00;33,50
3948,00;33,49
3947,00;33,50
3946,00;33,51
3945,00;33,50
3944,00;33,46
3943,00;33,43
3942,00;33,43
3941,00;33,43
3940,00;33,42
3939,00;33,37
3938,00;33,34
3937,00;33,36
3936,00;33,43
3935,00;33,48
3934,00;33,51
3933,00;33,52
3932,00;33,52
3931,00;33,51
3930,00;33,50
3929,00;33,51
3928,00;33,52
3927,00;33,53
3926,00;33,52
3925,00;33,52
3924,00;33,55
3923,00;33,60
3922,00;33,61
3921,00;33,59
3920,00;33,57
3919,00;33,56
3918,00;33,52
3917,00;33,45
3916,00;33,40
3915,00;33,38
3914,00;33,35
3913,00;33,30
3912,00;33,27
3911,00;33,28
3910,00;33,34
3909,00;33,44
3908,00;33,58
3907,00;33,71
3906,00;33,82
3905,00;33,90
3904,00;33,97
3903,00;34,03
3902,00;34,02
3901,00;33,87
3900,00;33,67
3899,00;33,53
3898,00;33,51
3897,00;33,54
3896,00;33,56
3895,00;33,58
3894,00;33,61
3893,00;33,59
3892,00;33,53
3891,00;33,51
3890,00;33,64
3889,00;33,79
3888,00;33,77
3887,00;33,60
3886,00;33,49
3885,00;33,58
3884,00;33,80
3883,00;33,91
3882,00;33,81
3881,00;33,62
3880,00;33,52
3879,00;33,58
3878,00;33,69
3877,00;33,70
3876,00;33,62
3875,00;33,61
3874,00;33,77
3873,00;34,01
3872,00;34,09
3871,00;33,94
3870,00;33,76
3869,00;33,80
3868,00;33,98
3867,00;34,00
3866,00;33,83
3865,00;33,71
3864,00;33,72
3863,00;33,75
3862,00;33,71
3861,00;33,65
3860,00;33,64
3859,00;33,71
3858,00;33,86
3857,00;34,03
3856,00;34,18
3855,00;34,23
3854,00;34,10
3853,00;33,94
3852,00;34,04
3851,00;34,21
3850,00;34,06
3849,00;33,75
3848,00;33,56
3847,00;33,51
3846,00;33,54
3845,00;33,62
3844,00;33,72
3843,00;33,88
3842,00;34,08
3841,00;34,21
3840,00;34,22
3839,00;34,13
3838,00;34,04
3837,00;34,02
3836,00;34,04
3835,00;34,02
3834,00;33,90
3833,00;33,72
3832,00;33,59
3831,00;33,57
3830,00;33,62
3829,00;33,65
3828,00;33,61
3827,00;33,57
3826,00;33,67
3825,00;33,89
3824,00;34,05
3823,00;34,05
3822,00;33,94
3821,00;33,90
3820,00;34,08
3819,00;34,27
3818,00;34,13
3817,00;33,75
3816,00;33,49
3815,00;33,50
3814,00;33,64
3813,00;33,62
3812,00;33,50
3811,00;33,47
3810,00;33,55
3809,00;33,61
3808,00;33,57
3807,00;33,56
3806,00;33,76
3805,00;34,06
3804,00;34,15
3803,00;33,98
3802,00;33,78
3801,00;33,77
3800,00;33,98
3799,00;34,10
3798,00;33,92
3797,00;33,64
3796,00;33,48
3795,00;33,46
3794,00;33,44
3793,00;33,37
3792,00;33,29
3791,00;33,26
3790,00;33,29
3789,00;33,34
3788,00;33,39
3787,00;33,44
3786,00;33,46
3785,00;33,47
3784,00;33,51
3783,00;33,59
3782,00;33,62
3781,00;33,59
3780,00;33,52
3779,00;33,47
3778,00;33,48
3777,00;33,47
3776,00;33,41
3775,00;33,36
3774,00;33,41
3773,00;33,51
3772,00;33,58
3771,00;33,57
3770,00;33,57
3769,00;33,64
3768,00;33,71
3767,00;33,66
3766,00;33,53
3765,00;33,48
3764,00;33,55
3763,00;33,64
3762,00;33,67
3761,00;33,66
3760,00;33,69
3759,00;33,75
3758,00;33,80
3757,00;33,87
3756,00;33,96
3755,00;34,05
3754,00;34,14
3753,00;34,26
3752,00;34,37
3751,00;34,35
3750,00;34,28
3749,00;34,37
3748,00;34,54
3747,00;34,50
3746,00;34,18
3745,00;33,78
3744,00;33,62
3743,00;33,88
3742,00;34,16
3741,00;34,13
3740,00;34,03
3739,00;34,08
3738,00;34,24
3737,00;34,37
3736,00;34,43
3735,00;34,43
3734,00;34,33
3733,00;34,09
3732,00;33,86
3731,00;33,78
3730,00;33,82
3729,00;33,81
3728,00;33,74
3727,00;33,71
3726,00;33,77
3725,00;33,86
3724,00;33,88
3723,00;33,82
3722,00;33,76
3721,00;33,72
3720,00;33,68
3719,00;33,62
3718,00;33,57
3717,00;33,61
3716,00;33,72
3715,00;33,84
3714,00;33,93
3713,00;33,99
3712,00;34,01
3711,00;33,95
3710,00;33,87
3709,00;33,77
3708,00;33,66
3707,00;33,58
3706,00;33,55
3705,00;33,56
3704,00;33,57
3703,00;33,56
3702,00;33,53
3701,00;33,52
3700,00;33,55
3699,00;33,55
3698,00;33,48
3697,00;33,43
3696,00;33,47
3695,00;33,58
3694,00;33,70
3693,00;33,85
3692,00;34,00
3691,00;34,11
3690,00;34,08
3689,00;33,92
3688,00;33,78
3687,00;33,77
3686,00;33,72
3685,00;33,57
3684,00;33,43
3683,00;33,40
3682,00;33,46
3681,00;33,56
3680,00;33,73
3679,00;33,98
3678,00;34,20
3677,00;34,23
3676,00;34,09
3675,00;34,01
3674,00;34,17
3673,00;34,29
3672,00;34,09
3671,00;33,80
3670,00;33,63
3669,00;33,61
3668,00;33,64
3667,00;33,55
3666,00;33,37
3665,00;33,23
3664,00;33,18
3663,00;33,18
3662,00;33,20
3661,00;33,27
3660,00;33,37
3659,00;33,45
3658,00;33,45
3657,00;33,38
3656,00;33,36
3655,00;33,51
3654,00;33,73
3653,00;33,87
3652,00;33,98
3651,00;34,13
3650,00;34,25
3649,00;34,20
3648,00;34,03
3647,00;33,85
3646,00;33,69
3645,00;33,52
3644,00;33,34
3643,00;33,19
3642,00;33,13
3641,00;33,13
3640,00;33,14
3639,00;33,14
3638,00;33,16
3637,00;33,20
3636,00;33,24
3635,00;33,25
3634,00;33,31
3633,00;33,48
3632,00;33,65
