Criado como novo conjunto de dados;Amostra 003 por Analyst data segunda-feira, outubro 28 2024
cm-1;%T
4000,00;25,79
3999,00;25,79
3998,00;25,79
3997,00;25,79
3996,00;25,79
3995,00;25,79
3994,00;25,80
3993,00;25,81
3992,00;25,80
3991,00;25,80
3990,00;25,79
3989,00;25,79
3988,00;25,79
3987,00;25,79
3986,00;25,78
3985,00;25,79
3984,00;25,79
3983,00;25,79
3982,00;25,79
3981,00;25,79
3980,00;25,80
3979,00;25,80
3978,00;25,81
3977,00;25,81
3976,00;25,82
3975,00;25,82
3974,00;25,82
3973,00;25,82
3972,00;25,82
3971,00;25,82
3970,00;25,81
3969,00;25,80
3968,00;25,79
3967,00;25,79
3966,00;25,80
3965,00;25,81
3964,00;25,82
3963,00;25,82
3962,00;25,82
3961,00;25,82
3960,00;25,83
3959,00;25,83
3958,00;25,82
3957,00;25,81
3956,00;25,82
3955,00;25,83
3954,00;25,85
3953,00;25,88
3952,00;25,91
3951,00;25,93
3950,00;25,94
3949,00;25,94
3948,00;25,93
3947,00;25,94
3946,00;25,96
3945,00;25,96
3944,00;25,93
3943,00;25,89
3942,00;25,88
3941,00;25,89
3940,00;25,89
3939,00;25,86
3938,00;25,82
3937,00;25,84
3936,00;25,89
3935,00;25,95
3934,00;25,98
3933,00;25,98
3932,00;25,97
3931,00;25,96
3930,00;25,96
3929,00;25,97
3928,00;25,99
3927,00;25,99
3926,00;25,97
3925,00;25,96
3924,00;25,99
3923,00;26,04
3922,00;26,06
3921,00;26,05
3920,00;26,04
3919,00;26,03
3918,00;25,99
3917,00;25,93
3916,00;25,89
3915,00;25,88
3914,00;25,86
3913,00;25,81
3912,00;25,78
3911,00;25,78
3910,00;25,83
3909,00;25,92
3908,00;26,04
3907,00;26,17
3906,00;26,26
3905,00;26,34
3904,00;26,40
3903,00;26,47
3902,00;26,47
3901,00;26,37
3900,00;26,18
3899,00;26,04
3898,00;26,01
3897,00;26,03
3896,00;26,05
3895,00;26,06
3894,00;26,08
3893,00;26,06
3892,00;26,01
3891,00;25,99
3890,00;26,11
3889,00;26,27
3888,00;26,28
3887,00;26,13
3886,00;26,00
3885,00;26,04
3884,00;26,25
3883,00;26,38
3882,00;26,29
3881,00;26,11
3880,00;26,00
3879,00;26,06
3878,00;26,19
3877,00;26,22
3876,00;26,13
3875,00;26,10
3874,00;26,21
3873,00;26,43
3872,00;26,54
3871,00;26,43
3870,00;26,25
3869,00;26,25
3868,00;26,43
3867,00;26,48
3866,00;26,34
3865,00;26,19
3864,00;26,17
3863,00;26,21
3862,00;26,20
3861,00;26,15
3860,00;26,14
3859,00;26,20
3858,00;26,34
3857,00;26,51
3856,00;26,67
3855,00;26,71
3854,00;26,58
3853,00;26,39
3852,00;26,44
3851,00;26,59
3850,00;26,46
3849,00;26,18
3848,00;26,01
3847,00;25,99
3846,00;26,03
3845,00;26,11
3844,00;26,20
3843,00;26,34
3842,00;26,53
3841,00;26,66
3840,00;26,68
3839,00;26,59
3838,00;26,50
3837,00;26,46
3836,00;26,48
3835,00;26,47
3834,00;26,38
3833,00;26,22
3832,00;26,11
3831,00;26,09
3830,00;26,14
3829,00;26,17
3828,00;26,13
3827,00;26,08
3826,00;26,16
3825,00;26,36
3824,00;26,53
3823,00;26,55
3822,00;26,44
3821,00;26,37
3820,00;26,52
3819,00;26,74
3818,00;26,66
3817,00;26,31
3816,00;26,01
3815,00;25,99
3814,00;26,11
3813,00;26,12
3812,00;26,01
3811,00;25,98
3810,00;26,06
3809,00;26,13
3808,00;26,11
3807,00;26,08
3806,00;26,24
3805,00;26,52
3804,00;26,63
3803,00;26,48
3802,00;26,27
3801,00;26,22
3800,00;26,40
3799,00;26,55
3798,00;26,41
3797,00;26,15
3796,00;26,00
3795,00;25,99
3794,00;26,00
3793,00;25,95
3792,00;25,87
3791,00;25,83
3790,00;25,85
3789,00;25,89
3788,00;25,94
3787,00;25,98
3786,00;26,00
3785,00;26,00
3784,00;26,04
3783,00;26,11
3782,00;26,16
3781,00;26,14
3780,00;26,07
3779,00;26,02
3778,00;26,03
3777,00;26,04
3776,00;25,99
3775,00;25,94
3774,00;25,97
3773,00;26,06
3772,00;26,12
3771,00;26,12
3770,00;26,11
3769,00;26,18
3768,00;26,25
3767,00;26,23
3766,00;26,11
3765,00;26,03
3764,00;26,09
3763,00;26,19
3762,00;26,22
3761,00;26,20
3760,00;26,21
3759,00;26,26
3758,00;26,32
3757,00;26,39
3756,00;26,48
3755,00;26,58
3754,00;26,66
3753,00;26,75
3752,00;26,82
3751,00;26,79
3750,00;26,72
3749,00;26,80
3748,00;26,97
3747,00;26,98
3746,00;26,71
3745,00;26,34
3744,00;26,16
3743,00;26,36
3742,00;26,64
3741,00;26,61
3740,00;26,50
3739,00;26,54
3738,00;26,68
3737,00;26,80
3736,00;26,85
3735,00;26,85
3734,00;26,78
3733,00;26,60
3732,00;26,40
3731,00;26,31
3730,00;26,33
3729,00;26,32
3728,00;26,25
3727,00;26,19
3726,00;26,23
3725,00;26,31
3724,00;26,34
3723,00;26,30
3722,00;26,24
3721,00;26,21
3720,00;26,18
3719,00;26,13
3718,00;26,09
3717,00;26,12
3716,00;26,22
3715,00;26,34
3714,00;26,42
3713,00;26,47
3712,00;26,48
3711,00;26,44
3710,00;26,38
3709,00;26,32
3708,00;26,22
3707,00;26,14
3706,00;26,10
3705,00;26,09
3704,00;26,09
3703,00;26,08
3702,00;26,04
3701,00;26,04
3700,00;26,07
3699,00;26,07
3698,00;26,02
3697,00;25,96
3696,00;25,98
3695,00;26,07
3694,00;26,20
3693,00;26,33
3692,00;26,47
3691,00;26,58
3690,00;26,55
3689,00;26,41
3688,00;26,28
3687,00;26,25
3686,00;26,22
3685,00;26,08
3684,00;25,95
3683,00;25,92
3682,00;25,98
3681,00;26,08
3680,00;26,23
3679,00;26,45
3678,00;26,67
3677,00;26,72
3676,00;26,58
3675,00;26,48
3674,00;26,64
3673,00;26,80
3672,00;26,64
3671,00;26,34
3670,00;26,13
3669,00;26,10
3668,00;26,15
3667,00;26,11
3666,00;25,95
3665,00;25,81
3664,00;25,76
3663,00;25,75
3662,00;25,78
3661,00;25,83
3660,00;25,93
3659,00;26,02
3658,00;26,02
3657,00;25,96
3656,00;25,94
3655,00;26,07
3654,00;26,28
3653,00;26,42
3652,00;26,52
3651,00;26,63
3650,00;26,72
3649,00;26,68
3648,00;26,54
3647,00;26,39
3646,00;26,26
3645,00;26,11
3644,00;25,94
3643,00;25,80
3642,00;25,74
3641,00;25,73
3640,00;25,75
3639,00;25,76
3638,00;25,77
3637,00;25,81
3636,00;25,84
3635,00;25,85
3634,00;25,90
3633,00;26,05
3632,00;26,22
3631,00;26,30
3630,00;26,22
3629,00;26,03
3628,00;25,93
3627,00;25,99
3626,00;25,98
3625,00;25,83
3624,00;25,73
3623,00;25,78
3622,00;25,89
3621,00;25,96
3620,00;25,98
3619,00;25,97
3618,00;26,01
3617,00;26,08
3616,00;26,09
3615,00;26,02
3614,00;25,93
3613,00;25,90
3612,00;25,91
3611,00;25,91
3610,00;25,85
3609,00;25,73
3608,00;25,63
3607,00;25,59
3606,00;25,59
3605,00;25,58
3604,00;25,56
3603,00;25,56
3602,00;25,58
3601,00;25,60
3600,00;25,63
3599,00;25,66
3598,00;25,68
3597,00;25,67
3596,00;25,64
3595,00;25,59
3594,00;25,56
3593,00;25,56
3592,00;25,59
3591,00;25,64
3590,00;25,67
3589,00;25,68
3588,00;25,65
3587,00;25,59
3586,00;25,56
3585,00;25,52
3584,00;25,45
3583,00;25,35
3582,00;25,29
3581,00;25,27
3580,00;25,26
3579,00;25,26
3578,00;25,26
3577,00;25,25
3576,00;25,24
3575,00;25,22
3574,00;25,21
3573,00;25,23
3572,00;25,29
3571,00;25,40
3570,00;25,51
3569,00;25,60
3568,00;25,63
3567,00;25,59
3566,00;25,52
3565,00;25,47
3564,00;25,40
3563,00;25,31
3562,00;25,22
3561,00;25,16
3560,00;25,12
3559,00;25,10
3558,00;25,08
3557,00;25,07
3556,00;25,09
3555,00;25,10
3554,00;25,12
3553,00;25,12
3552,00;25,11
3551,00;25,13
3550,00;25,16
3549,00;25,18
3548,00;25,19
3547,00;25,19
3546,00;25,17
3545,00;25,14
3544,00;25,09
3543,00;25,04
3542,00;24,98
3541,00;24,95
3540,00;24,93
3539,00;24,93
3538,00;24,93
3537,00;24,93
3536,00;24,91
3535,00;24,90
3534,00;24,89
3533,00;24,89
3532,00;24,90
3531,00;24,92
3530,00;24,95
3529,00;24,97
3528,00;24,99
3527,00;25,00
3526,00;25,01
3525,00;24,99
3524,00;24,95
3523,00;24,90
3522,00;24,86
3521,00;24,84
3520,00;24,81
3519,00;24,78
3518,00;24,76
3517,00;24,75
3516,00;24,75
3515,00;24,76
3514,00;24,76
3513,00;24,78
3512,00;24,79
3511,00;24,79
3510,00;24,78
3509,00;24,76
3508,00;24,76
3507,00;24,78
3506,00;24,79
3505,00;24,81
3504,00;24,81
3503,00;24,80
3502,00;24,78
3501,00;24,76
3500,00;24,73
3499,00;24,71
3498,00;24,69
3497,00;24,68
3496,00;24,66
3495,00;24,65
3494,00;24,64
3493,00;24,63
3492,00;24,62
3491,00;24,62
3490,00;24,62
3489,00;24,63
3488,00;24,63
3487,00;24,62
3486,00;24,62
3485,00;24,62
3484,00;24,62
3483,00;24,62
3482,00;24,62
3481,00;24,61
3480,00;24,60
3479,00;24,58
3478,00;24,56
3477,00;24,54
3476,00;24,52
3475,00;24,52
3474,00;24,51
3473,00;24,51
3472,00;24,52
3471,00;24,53
3470,00;24,53
3469,00;24,54
3468,00;24,53
3467,00;24,52
3466,00;24,51
3465,00;24,50
3464,00;24,49
3463,00;24,48
3462,00;24,48
3461,00;24,47
3460,00;24,47
3459,00;24,45
3458,00;24,43
3457,00;24,42
3456,00;24,41
3455,00;24,40
3454,00;24,39
3453,00;24,39
3452,00;24,39
3451,00;24,41
3450,00;24,43
3449,00;24,45
3448,00;24,46
3447,00;24,45
3446,00;24,44
3445,00;24,43
3444,00;24,41
