Criado como novo conjunto de dados;Amostra 006 por Analyst data segunda-feira, outubro 28 2024
cm-1;%T
4000,00;27,79
3999,00;27,79
3998,00;27,79
3997,00;27,79
3996,00;27,79
3995,00;27,78
3994,00;27,78
3993,00;27,78
3992,00;27,78
3991,00;27,78
3990,00;27,77
3989,00;27,77
3988,00;27,77
3987,00;27,77
3986,00;27,78
3985,00;27,78
3984,00;27,78
3983,00;27,78
3982,00;27,78
3981,00;27,78
3980,00;27,78
3979,00;27,78
3978,00;27,78
3977,00;27,78
3976,00;27,77
3975,00;27,77
3974,00;27,77
3973,00;27,76
3972,00;27,76
3971,00;27,76
3970,00;27,76
3969,00;27,76
3968,00;27,76
3967,00;27,76
3966,00;27,76
3965,00;27,77
3964,00;27,77
3963,00;27,77
3962,00;27,77
3961,00;27,76
3960,00;27,76
3959,00;27,76
3958,00;27,76
3957,00;27,76
3956,00;27,76
3955,00;27,76
3954,00;27,76
3953,00;27,76
3952,00;27,77
3951,00;27,76
3950,00;27,76
3949,00;27,75
3948,00;27,74
3947,00;27,73
3946,00;27,73
3945,00;27,73
3944,00;27,72
3943,00;27,72
3942,00;27,71
3941,00;27,72
3940,00;27,72
3939,00;27,73
3938,00;27,73
3937,00;27,74
3936,00;27,75
3935,00;27,76
3934,00;27,76
3933,00;27,75
3932,00;27,74
3931,00;27,72
3930,00;27,71
3929,00;27,71
3928,00;27,71
3927,00;27,71
3926,00;27,72
3925,00;27,72
3924,00;27,72
3923,00;27,72
3922,00;27,71
3921,00;27,71
3920,00;27,70
3919,00;27,70
3918,00;27,70
3917,00;27,69
3916,00;27,68
3915,00;27,69
3914,00;27,69
3913,00;27,70
3912,00;27,71
3911,00;27,73
3910,00;27,74
3909,00;27,76
3908,00;27,76
3907,00;27,76
3906,00;27,74
3905,00;27,72
3904,00;27,69
3903,00;27,67
3902,00;27,64
3901,00;27,61
3900,00;27,57
3899,00;27,56
3898,00;27,58
3897,00;27,61
3896,00;27,65
3895,00;27,67
3894,00;27,68
3893,00;27,68
3892,00;27,67
3891,00;27,67
3890,00;27,68
3889,00;27,70
3888,00;27,69
3887,00;27,67
3886,00;27,65
3885,00;27,66
3884,00;27,70
3883,00;27,70
3882,00;27,67
3881,00;27,62
3880,00;27,59
3879,00;27,61
3878,00;27,65
3877,00;27,67
3876,00;27,67
3875,00;27,67
3874,00;27,68
3873,00;27,70
3872,00;27,69
3871,00;27,66
3870,00;27,62
3869,00;27,61
3868,00;27,64
3867,00;27,65
3866,00;27,63
3865,00;27,61
3864,00;27,62
3863,00;27,63
3862,00;27,64
3861,00;27,64
3860,00;27,65
3859,00;27,66
3858,00;27,67
3857,00;27,66
3856,00;27,64
3855,00;27,63
3854,00;27,65
3853,00;27,67
3852,00;27,69
3851,00;27,69
3850,00;27,66
3849,00;27,62
3848,00;27,61
3847,00;27,64
3846,00;27,67
3845,00;27,69
3844,00;27,71
3843,00;27,72
3842,00;27,72
3841,00;27,70
3840,00;27,67
3839,00;27,64
3838,00;27,62
3837,00;27,62
3836,00;27,62
3835,00;27,62
3834,00;27,61
3833,00;27,60
3832,00;27,60
3831,00;27,62
3830,00;27,66
3829,00;27,69
3828,00;27,70
3827,00;27,69
3826,00;27,69
3825,00;27,71
3824,00;27,71
3823,00;27,70
3822,00;27,66
3821,00;27,65
3820,00;27,65
3819,00;27,66
3818,00;27,64
3817,00;27,60
3816,00;27,58
3815,00;27,63
3814,00;27,69
3813,00;27,72
3812,00;27,70
3811,00;27,70
3810,00;27,71
3809,00;27,73
3808,00;27,73
3807,00;27,73
3806,00;27,75
3805,00;27,77
3804,00;27,76
3803,00;27,70
3802,00;27,66
3801,00;27,65
3800,00;27,69
3799,00;27,71
3798,00;27,68
3797,00;27,63
3796,00;27,62
3795,00;27,64
3794,00;27,68
3793,00;27,71
3792,00;27,72
3791,00;27,74
3790,00;27,76
3789,00;27,78
3788,00;27,79
3787,00;27,79
3786,00;27,79
3785,00;27,78
3784,00;27,77
3783,00;27,77
3782,00;27,76
3781,00;27,75
3780,00;27,74
3779,00;27,73
3778,00;27,73
3777,00;27,74
3776,00;27,74
3775,00;27,74
3774,00;27,76
3773,00;27,77
3772,00;27,78
3771,00;27,77
3770,00;27,75
3769,00;27,75
3768,00;27,75
3767,00;27,73
3766,00;27,71
3765,00;27,70
3764,00;27,71
3763,00;27,73
3762,00;27,74
3761,00;27,74
3760,00;27,73
3759,00;27,74
3758,00;27,73
3757,00;27,72
3756,00;27,71
3755,00;27,70
3754,00;27,70
3753,00;27,71
3752,00;27,73
3751,00;27,73
3750,00;27,70
3749,00;27,67
3748,00;27,65
3747,00;27,62
3746,00;27,56
3745,00;27,51
3744,00;27,54
3743,00;27,64
3742,00;27,72
3741,00;27,72
3740,00;27,69
3739,00;27,68
3738,00;27,70
3737,00;27,72
3736,00;27,72
3735,00;27,68
3734,00;27,63
3733,00;27,58
3732,00;27,57
3731,00;27,61
3730,00;27,68
3729,00;27,72
3728,00;27,74
3727,00;27,74
3726,00;27,75
3725,00;27,76
3724,00;27,76
3723,00;27,73
3722,00;27,72
3721,00;27,71
3720,00;27,72
3719,00;27,73
3718,00;27,73
3717,00;27,74
3716,00;27,76
3715,00;27,77
3714,00;27,78
3713,00;27,79
3712,00;27,79
3711,00;27,77
3710,00;27,74
3709,00;27,70
3708,00;27,69
3707,00;27,71
3706,00;27,73
3705,00;27,76
3704,00;27,77
3703,00;27,77
3702,00;27,77
3701,00;27,77
3700,00;27,77
3699,00;27,78
3698,00;27,78
3697,00;27,79
3696,00;27,79
3695,00;27,80
3694,00;27,81
3693,00;27,80
3692,00;27,79
3691,00;27,77
3690,00;27,75
3689,00;27,71
3688,00;27,69
3687,00;27,70
3686,00;27,72
3685,00;27,73
3684,00;27,72
3683,00;27,73
3682,00;27,75
3681,00;27,77
3680,00;27,78
3679,00;27,78
3678,00;27,77
3677,00;27,74
3676,00;27,68
3675,00;27,64
3674,00;27,63
3673,00;27,63
3672,00;27,61
3671,00;27,58
3670,00;27,57
3669,00;27,59
3668,00;27,62
3667,00;27,64
3666,00;27,64
3665,00;27,66
3664,00;27,68
3663,00;27,71
3662,00;27,73
3661,00;27,74
3660,00;27,75
3659,00;27,74
3658,00;27,72
3657,00;27,69
3656,00;27,68
3655,00;27,68
3654,00;27,68
3653,00;27,66
3652,00;27,63
3651,00;27,61
3650,00;27,60
3649,00;27,57
3648,00;27,51
3647,00;27,45
3646,00;27,43
3645,00;27,45
3644,00;27,48
3643,00;27,52
3642,00;27,54
3641,00;27,57
3640,00;27,59
3639,00;27,60
3638,00;27,61
3637,00;27,61
3636,00;27,61
3635,00;27,60
3634,00;27,58
3633,00;27,57
3632,00;27,56
3631,00;27,52
3630,00;27,47
3629,00;27,43
3628,00;27,41
3627,00;27,42
3626,00;27,42
3625,00;27,41
3624,00;27,41
3623,00;27,41
3622,00;27,43
3621,00;27,42
3620,00;27,40
3619,00;27,38
3618,00;27,36
3617,00;27,35
3616,00;27,33
3615,00;27,31
3614,00;27,28
3613,00;27,27
3612,00;27,26
3611,00;27,26
3610,00;27,26
3609,00;27,26
3608,00;27,25
3607,00;27,25
3606,00;27,25
3605,00;27,25
3604,00;27,26
3603,00;27,27
3602,00;27,28
3601,00;27,28
3600,00;27,28
3599,00;27,26
3598,00;27,25
3597,00;27,23
3596,00;27,20
3595,00;27,18
3594,00;27,16
