Criado como novo conjunto de dados;Amostra 013 por Analyst data segunda-feira, outubro 28 2024
cm-1;%T
4000,00;64,36
3999,00;64,36
3998,00;64,37
3997,00;64,37
3996,00;64,37
3995,00;64,37
3994,00;64,37
3993,00;64,38
3992,00;64,38
3991,00;64,38
3990,00;64,38
3989,00;64,39
3988,00;64,39
3987,00;64,40
3986,00;64,40
3985,00;64,41
3984,00;64,41
3983,00;64,41
3982,00;64,41
3981,00;64,42
3980,00;64,42
3979,00;64,43
3978,00;64,43
3977,00;64,43
3976,00;64,43
3975,00;64,43
3974,00;64,43
3973,00;64,44
3972,00;64,44
3971,00;64,44
3970,00;64,45
3969,00;64,45
3968,00;64,46
3967,00;64,46
3966,00;64,47
3965,00;64,48
3964,00;64,48
3963,00;64,48
3962,00;64,48
3961,00;64,48
3960,00;64,48
3959,00;64,48
3958,00;64,49
3957,00;64,49
3956,00;64,50
3955,00;64,50
3954,00;64,51
3953,00;64,51
3952,00;64,52
3951,00;64,52
3950,00;64,52
3949,00;64,51
3948,00;64,50
3947,00;64,50
3946,00;64,51
3945,00;64,52
3944,00;64,52
3943,00;64,52
3942,00;64,52
3941,00;64,53
3940,00;64,54
3939,00;64,55
3938,00;64,56
3937,00;64,57
3936,00;64,59
3935,00;64,59
3934,00;64,59
3933,00;64,58
3932,00;64,57
3931,00;64,56
3930,00;64,56
3929,00;64,56
3928,00;64,58
3927,00;64,59
3926,00;64,60
3925,00;64,60
3924,00;64,60
3923,00;64,60
3922,00;64,61
3921,00;64,61
3920,00;64,61
3919,00;64,62
3918,00;64,62
3917,00;64,61
3916,00;64,61
3915,00;64,63
3914,00;64,64
3913,00;64,66
3912,00;64,68
3911,00;64,69
3910,00;64,71
3909,00;64,72
3908,00;64,72
3907,00;64,71
3906,00;64,69
3905,00;64,67
3904,00;64,66
3903,00;64,65
3902,00;64,63
3901,00;64,60
3900,00;64,58
3899,00;64,60
3898,00;64,63
3897,00;64,68
3896,00;64,71
3895,00;64,73
3894,00;64,74
3893,00;64,74
3892,00;64,73
3891,00;64,73
3890,00;64,76
3889,00;64,78
3888,00;64,78
3887,00;64,76
3886,00;64,76
3885,00;64,79
3884,00;64,81
3883,00;64,80
3882,00;64,76
3881,00;64,73
3880,00;64,73
3879,00;64,77
3878,00;64,81
3877,00;64,83
3876,00;64,83
3875,00;64,83
3874,00;64,84
3873,00;64,86
3872,00;64,85
3871,00;64,82
3870,00;64,81
3869,00;64,83
3868,00;64,87
3867,00;64,87
3866,00;64,85
3865,00;64,86
3864,00;64,87
3863,00;64,88
3862,00;64,88
3861,00;64,89
3860,00;64,91
3859,00;64,93
3858,00;64,93
3857,00;64,91
3856,00;64,89
3855,00;64,92
3854,00;65,00
3853,00;65,04
3852,00;65,02
3851,00;64,99
3850,00;64,96
3849,00;64,96
3848,00;64,97
3847,00;65,00
3846,00;65,03
3845,00;65,04
3844,00;65,05
3843,00;65,05
3842,00;65,06
3841,00;65,05
3840,00;65,04
3839,00;65,03
3838,00;65,03
3837,00;65,04
3836,00;65,05
3835,00;65,06
3834,00;65,05
3833,00;65,05
3832,00;65,07
3831,00;65,10
3830,00;65,14
3829,00;65,16
3828,00;65,16
3827,00;65,16
3826,00;65,17
3825,00;65,18
3824,00;65,18
3823,00;65,16
3822,00;65,15
3821,00;65,16
3820,00;65,18
3819,00;65,20
3818,00;65,19
3817,00;65,18
3816,00;65,20
3815,00;65,26
3814,00;65,29
3813,00;65,29
3812,00;65,28
3811,00;65,29
3810,00;65,32
3809,00;65,33
3808,00;65,34
3807,00;65,36
3806,00;65,39
3805,00;65,41
3804,00;65,39
3803,00;65,35
3802,00;65,34
3801,00;65,37
3800,00;65,40
3799,00;65,40
3798,00;65,36
3797,00;65,34
3796,00;65,35
3795,00;65,39
3794,00;65,42
3793,00;65,44
3792,00;65,46
3791,00;65,48
3790,00;65,50
3789,00;65,52
3788,00;65,54
3787,00;65,55
3786,00;65,55
3785,00;65,54
3784,00;65,54
3783,00;65,55
3782,00;65,56
3781,00;65,56
3780,00;65,56
3779,00;65,56
3778,00;65,57
3777,00;65,58
3776,00;65,60
3775,00;65,62
3774,00;65,64
3773,00;65,66
3772,00;65,66
3771,00;65,66
3770,00;65,66
3769,00;65,67
3768,00;65,67
3767,00;65,67
3766,00;65,66
3765,00;65,67
3764,00;65,70
3763,00;65,73
3762,00;65,74
3761,00;65,74
3760,00;65,75
3759,00;65,76
3758,00;65,75
3757,00;65,75
3756,00;65,76
3755,00;65,76
3754,00;65,78
3753,00;65,80
3752,00;65,85
3751,00;65,86
3750,00;65,84
3749,00;65,83
3748,00;65,83
3747,00;65,81
3746,00;65,76
3745,00;65,76
3744,00;65,84
3743,00;65,92
3742,00;65,94
3741,00;65,92
3740,00;65,89
3739,00;65,90
3738,00;65,91
3737,00;65,92
3736,00;65,91
3735,00;65,89
3734,00;65,85
3733,00;65,84
3732,00;65,87
3731,00;65,94
3730,00;66,01
3729,00;66,05
3728,00;66,05
3727,00;66,06
3726,00;66,08
3725,00;66,09
3724,00;66,09
3723,00;66,08
3722,00;66,08
3721,00;66,10
3720,00;66,11
3719,00;66,13
3718,00;66,14
3717,00;66,17
3716,00;66,20
3715,00;66,22
3714,00;66,23
3713,00;66,25
3712,00;66,28
3711,00;66,27
3710,00;66,24
3709,00;66,22
3708,00;66,24
3707,00;66,27
3706,00;66,31
3705,00;66,33
3704,00;66,35
3703,00;66,36
3702,00;66,36
3701,00;66,38
3700,00;66,40
3699,00;66,42
3698,00;66,43
3697,00;66,45
3696,00;66,47
3695,00;66,48
3694,00;66,48
3693,00;66,48
3692,00;66,48
3691,00;66,49
3690,00;66,49
3689,00;66,48
3688,00;66,49
3687,00;66,53
3686,00;66,55
3685,00;66,56
3684,00;66,57
3683,00;66,60
3682,00;66,62
3681,00;66,64
3680,00;66,64
3679,00;66,65
3678,00;66,64
3677,00;66,63
3676,00;66,61
3675,00;66,61
3674,00;66,63
3673,00;66,65
3672,00;66,65
3671,00;66,65
3670,00;66,67
3669,00;66,70
3668,00;66,71
3667,00;66,72
3666,00;66,74
3665,00;66,77
3664,00;66,80
3663,00;66,82
3662,00;66,83
3661,00;66,84
3660,00;66,84
3659,00;66,83
3658,00;66,82
3657,00;66,81
3656,00;66,83
3655,00;66,85
3654,00;66,85
3653,00;66,82
3652,00;66,78
3651,00;66,78
3650,00;66,79
3649,00;66,76
3648,00;66,69
3647,00;66,64
3646,00;66,66
3645,00;66,70
3644,00;66,74
3643,00;66,76
3642,00;66,78
3641,00;66,80
3640,00;66,80
3639,00;66,80
3638,00;66,80
3637,00;66,79
3636,00;66,77
3635,00;66,75
3634,00;66,72
3633,00;66,70
3632,00;66,68
3631,00;66,63
3630,00;66,60
3629,00;66,59
3628,00;66,57
3627,00;66,54
3626,00;66,52
3625,00;66,49
3624,00;66,48
3623,00;66,48
3622,00;66,46
3621,00;66,43
3620,00;66,39
3619,00;66,36
3618,00;66,33
3617,00;66,30
3616,00;66,28
3615,00;66,24
3614,00;66,20
3613,00;66,18
3612,00;66,16
3611,00;66,15
3610,00;66,13
3609,00;66,11
3608,00;66,08
3607,00;66,05
3606,00;66,02
3605,00;66,00
3604,00;65,99
3603,00;65,99
3602,00;65,97
3601,00;65,94
3600,00;65,91
3599,00;65,87
3598,00;65,83
3597,00;65,81
3596,00;65,78
3595,00;65,75
3594,00;65,72
3593,00;65,69
3592,00;65,67
3591,00;65,65
3590,00;65,64
3589,00;65,61
3588,00;65,57
3587,00;65,51
3586,00;65,45
3585,00;65,42
3584,00;65,41
3583,00;65,42
3582,00;65,42
3581,00;65,42
3580,00;65,42
3579,00;65,41
3578,00;65,40
3577,00;65,38
3576,00;65,37
3575,00;65,35
3574,00;65,33
3573,00;65,31
3572,00;65,30
3571,00;65,28
3570,00;65,27
3569,00;65,24
3568,00;65,20
3567,00;65,14
3566,00;65,07
3565,00;65,03
3564,00;65,02
3563,00;65,03
3562,00;65,04
3561,00;65,04
3560,00;65,04
3559,00;65,04
3558,00;65,03
3557,00;65,03
3556,00;65,04
3555,00;65,04
3554,00;65,02
3553,00;65,00
3552,00;64,97
3551,00;64,95
3550,00;64,94
3549,00;64,93
3548,00;64,92
3547,00;64,89
3546,00;64,85
3545,00;64,81
3544,00;64,78
3543,00;64,77
3542,00;64,77
3541,00;64,79
3540,00;64,80
3539,00;64,81
3538,00;64,81
3537,00;64,79
3536,00;64,77
3535,00;64,75
3534,00;64,75
3533,00;64,75
3532,00;64,76
3531,00;64,75
3530,00;64,75
3529,00;64,73
3528,00;64,71
3527,00;64,69
3526,00;64,67
3525,00;64,65
3524,00;64,62
3523,00;64,60
3522,00;64,58
3521,00;64,59
3520,00;64,59
3519,00;64,60
3518,00;64,60
3517,00;64,60
3516,00;64,59
3515,00;64,58
3514,00;64,57
3513,00;64,56
3512,00;64,55
3511,00;64,54
3510,00;64,53
3509,00;64,52
3508,00;64,51
3507,00;64,51
3506,00;64,51
3505,00;64,50
3504,00;64,48
3503,00;64,44
3502,00;64,41
3501,00;64,39
3500,00;64,39
3499,00;64,39
3498,00;64,39
3497,00;64,39
3496,00;64,38
3495,00;64,37
3494,00;64,36
3493,00;64,36
3492,00;64,36
3491,00;64,36
3490,00;64,36
3489,00;64,35
3488,00;64,33
3487,00;64,31
3486,00;64,30
3485,00;64,30
3484,00;64,30
3483,00;64,29
3482,00;64,28
3481,00;64,26
3480,00;64,24
3479,00;64,23
3478,00;64,22
3477,00;64,22
3476,00;64,23
3475,00;64,22
3474,00;64,22
3473,00;64,21
3472,00;64,20
3471,00;64,19
3470,00;64,17
3469,00;64,15
3468,00;64,13
3467,00;64,12
3466,00;64,11
3465,00;64,11
3464,00;64,12
3463,00;64,12
3462,00;64,11
3461,00;64,10
3460,00;64,09
3459,00;64,08
3458,00;64,08
3457,00;64,08
3456,00;64,08
3455,00;64,08
3454,00;64,07
3453,00;64,07
3452,00;64,06
3451,00;64,06
3450,00;64,06
3449,00;64,05
3448,00;64,03
3447,00;64,01
3446,00;63,99
3445,00;63,98
3444,00;63,98
3443,00;63,98
3442,00;63,97
3441,00;63,97
3440,00;63,96
3439,00;63,95
3438,00;63,94
3437,00;63,92
3436,00;63,90
3435,00;63,89
3434,00;63,88
3433,00;63,88
3432,00;63,88
3431,00;63,88
