Criado como novo conjunto de dados;Amostra 020 por Analyst data segunda-feira, outubro 28 2024
cm-1;%T
4000,00;45,28
3999,00;45,29
3998,00;45,29
3997,00;45,30
3996,00;45,30
3995,00;45,31
3994,00;45,31
3993,00;45,32
3992,00;45,32
3991,00;45,32
3990,00;45,32
3989,00;45,32
3988,00;45,32
3987,00;45,32
3986,00;45,32
3985,00;45,32
3984,00;45,33
3983,00;45,33
3982,00;45,34
3981,00;45,34
3980,00;45,35
3979,00;45,36
3978,00;45,36
3977,00;45,37
3976,00;45,37
3975,00;45,38
3974,00;45,38
3973,00;45,38
3972,00;45,39
3971,00;45,39
3970,00;45,38
3969,00;45,38
3968,00;45,38
3967,00;45,38
3966,00;45,39
3965,00;45,40
3964,00;45,41
3963,00;45,42
3962,00;45,42
3961,00;45,43
3960,00;45,43
3959,00;45,44
3958,00;45,44
3957,00;45,44
3956,00;45,44
3955,00;45,45
3954,00;45,47
3953,00;45,48
3952,00;45,51
3951,00;45,52
3950,00;45,54
3949,00;45,53
3948,00;45,53
3947,00;45,54
3946,00;45,54
3945,00;45,54
3944,00;45,53
3943,00;45,52
3942,00;45,52
3941,00;45,53
3940,00;45,52
3939,00;45,50
3938,00;45,50
3937,00;45,52
3936,00;45,56
3935,00;45,59
3934,00;45,61
3933,00;45,61
3932,00;45,61
3931,00;45,60
3930,00;45,60
3929,00;45,61
3928,00;45,63
3927,00;45,64
3926,00;45,64
3925,00;45,64
3924,00;45,67
3923,00;45,69
3922,00;45,70
3921,00;45,69
3920,00;45,68
3919,00;45,68
3918,00;45,66
3917,00;45,62
3916,00;45,60
3915,00;45,60
3914,00;45,60
3913,00;45,59
3912,00;45,58
3911,00;45,60
3910,00;45,64
3909,00;45,70
3908,00;45,77
3907,00;45,84
3906,00;45,89
3905,00;45,92
3904,00;45,95
3903,00;45,97
3902,00;45,94
3901,00;45,86
3900,00;45,76
3899,00;45,71
3898,00;45,71
3897,00;45,75
3896,00;45,78
3895,00;45,81
3894,00;45,83
3893,00;45,83
3892,00;45,80
3891,00;45,80
3890,00;45,87
3889,00;45,94
3888,00;45,92
3887,00;45,84
3886,00;45,80
3885,00;45,86
3884,00;45,97
3883,00;46,03
3882,00;45,97
3881,00;45,88
3880,00;45,84
3879,00;45,89
3878,00;45,95
3877,00;45,95
3876,00;45,93
3875,00;45,94
3874,00;46,04
3873,00;46,16
3872,00;46,18
3871,00;46,10
3870,00;46,02
3869,00;46,05
3868,00;46,14
3867,00;46,14
3866,00;46,06
3865,00;46,02
3864,00;46,04
3863,00;46,06
3862,00;46,05
3861,00;46,03
3860,00;46,04
3859,00;46,09
3858,00;46,18
3857,00;46,26
3856,00;46,33
3855,00;46,34
3854,00;46,27
3853,00;46,18
3852,00;46,25
3851,00;46,36
3850,00;46,31
3849,00;46,18
3848,00;46,10
3847,00;46,08
3846,00;46,10
3845,00;46,15
3844,00;46,21
3843,00;46,30
3842,00;46,39
3841,00;46,46
