Criado como novo conjunto de dados;Amostra 018 por Analyst data segunda-feira, outubro 28 2024
cm-1;%T
4000,00;98,28
3999,00;98,28
3998,00;98,28
3997,00;98,28
3996,00;98,28
3995,00;98,28
3994,00;98,28
3993,00;98,28
3992,00;98,28
3991,00;98,28
3990,00;98,28
3989,00;98,29
3988,00;98,29
3987,00;98,29
3986,00;98,29
3985,00;98,29
3984,00;98,30
3983,00;98,30
3982,00;98,30
3981,00;98,30
3980,00;98,30
3979,00;98,30
3978,00;98,30
3977,00;98,30
3976,00;98,31
3975,00;98,31
3974,00;98,31
3973,00;98,31
3972,00;98,31
3971,00;98,31
3970,00;98,31
3969,00;98,32
3968,00;98,32
3967,00;98,33
3966,00;98,33
3965,00;98,33
3964,00;98,33
3963,00;98,33
3962,00;98,33
3961,00;98,33
3960,00;98,33
3959,00;98,33
3958,00;98,33
3957,00;98,33
3956,00;98,33
3955,00;98,34
3954,00;98,33
3953,00;98,33
3952,00;98,32
3951,00;98,32
3950,00;98,32
3949,00;98,32
3948,00;98,33
3947,00;98,33
3946,00;98,33
3945,00;98,32
3944,00;98,32
3943,00;98,33
3942,00;98,34
3941,00;98,35
3940,00;98,35
3939,00;98,35
3938,00;98,36
3937,00;98,36
3936,00;98,35
3935,00;98,34
3934,00;98,33
3933,00;98,33
3932,00;98,34
3931,00;98,34
3930,00;98,35
3929,00;98,35
3928,00;98,34
3927,00;98,34
3926,00;98,34
3925,00;98,34
3924,00;98,35
3923,00;98,35
3922,00;98,35
3921,00;98,34
3920,00;98,33
3919,00;98,33
3918,00;98,34
3917,00;98,35
3916,00;98,37
3915,00;98,38
3914,00;98,39
3913,00;98,40
3912,00;98,41
3911,00;98,42
3910,00;98,42
3909,00;98,41
3908,00;98,39
3907,00;98,35
3906,00;98,32
3905,00;98,29
3904,00;98,27
3903,00;98,25
3902,00;98,24
3901,00;98,24
3900,00;98,25
3899,00;98,28
3898,00;98,32
3897,00;98,34
3896,00;98,35
3895,00;98,36
3894,00;98,36
3893,00;98,37
3892,00;98,38
3891,00;98,39
3890,00;98,39
3889,00;98,36
3888,00;98,33
3887,00;98,32
3886,00;98,33
3885,00;98,35
3884,00;98,35
3883,00;98,33
3882,00;98,32
3881,00;98,34
3880,00;98,38
3879,00;98,40
3878,00;98,40
3877,00;98,39
3876,00;98,38
3875,00;98,38
3874,00;98,38
3873,00;98,37
3872,00;98,33
3871,00;98,31
3870,00;98,31
3869,00;98,33
3868,00;98,32
3867,00;98,31
3866,00;98,30
3865,00;98,31
3864,00;98,35
3863,00;98,38
3862,00;98,40
3861,00;98,41
3860,00;98,41
3859,00;98,41
3858,00;98,39
3857,00;98,35
3856,00;98,28
3855,00;98,21
3854,00;98,18
3853,00;98,20
3852,00;98,22
3851,00;98,22
3850,00;98,25
3849,00;98,33
3848,00;98,40
