Criado como novo conjunto de dados;Amostra 022 por Analyst data segunda-feira, outubro 28 2024
cm-1;%T
4000,00;101,14
3999,00;101,14
3998,00;101,15
3997,00;101,15
3996,00;101,15
3995,00;101,15
3994,00;101,15
3993,00;101,15
3992,00;101,15
3991,00;101,15
3990,00;101,15
3989,00;101,15
3988,00;101,15
3987,00;101,15
3986,00;101,15
3985,00;101,15
3984,00;101,15
3983,00;101,15
3982,00;101,15
3981,00;101,16
3980,00;101,16
3979,00;101,16
3978,00;101,16
3977,00;101,16
3976,00;101,16
3975,00;101,16
3974,00;101,16
3973,00;101,16
3972,00;101,17
3971,00;101,17
3970,00;101,17
3969,00;101,17
3968,00;101,17
3967,00;101,16
3966,00;101,16
3965,00;101,16
3964,00;101,16
3963,00;101,16
3962,00;101,17
3961,00;101,17
3960,00;101,17
3959,00;101,17
3958,00;101,17
3957,00;101,17
3956,00;101,17
3955,00;101,17
3954,00;101,17
3953,00;101,17
3952,00;101,17
3951,00;101,17
3950,00;101,17
3949,00;101,18
3948,00;101,18
3947,00;101,19
3946,00;101,19
3945,00;101,19
3944,00;101,19
3943,00;101,19
3942,00;101,19
3941,00;101,19
3940,00;101,19
3939,00;101,19
3938,00;101,18
3937,00;101,18
3936,00;101,17
3935,00;101,17
3934,00;101,18
3933,00;101,19
3932,00;101,19
3931,00;101,20
3930,00;101,20
3929,00;101,21
3928,00;101,20
3927,00;101,20
3926,00;101,20
3925,00;101,20
3924,00;101,20
3923,00;101,20
3922,00;101,20
3921,00;101,21
3920,00;101,21
3919,00;101,21
3918,00;101,21
3917,00;101,21
3916,00;101,21
3915,00;101,21
3914,00;101,21
3913,00;101,21
3912,00;101,20
3911,00;101,20
3910,00;101,19
3909,00;101,19
3908,00;101,19
3907,00;101,20
3906,00;101,21
3905,00;101,22
3904,00;101,23
3903,00;101,23
3902,00;101,24
3901,00;101,26
3900,00;101,28
3899,00;101,28
3898,00;101,27
3897,00;101,25
3896,00;101,24
3895,00;101,23
3894,00;101,23
3893,00;101,24
3892,00;101,24
3891,00;101,24
3890,00;101,22
3889,00;101,22
3888,00;101,23
3887,00;101,24
3886,00;101,24
3885,00;101,23
3884,00;101,22
3883,00;101,24
3882,00;101,27
3881,00;101,29
3880,00;101,29
3879,00;101,27
3878,00;101,25
3877,00;101,25
3876,00;101,25
3875,00;101,25
3874,00;101,24
3873,00;101,23
3872,00;101,24
3871,00;101,27
3870,00;101,27
3869,00;101,26
3868,00;101,25
3867,00;101,26
3866,00;101,28
3865,00;101,28
3864,00;101,27
3863,00;101,28
3862,00;101,28
3861,00;101,28
3860,00;101,27
3859,00;101,26
3858,00;101,25
3857,00;101,25
3856,00;101,27
3855,00;101,26
3854,00;101,24
3853,00;101,22
3852,00;101,25
3851,00;101,28
3850,00;101,30
3849,00;101,30
3848,00;101,29
3847,00;101,27
3846,00;101,27
3845,00;101,26
3844,00;101,26
3843,00;101,26
3842,00;101,26
3841,00;101,27
3840,00;101,28
3839,00;101,29
3838,00;101,29
3837,00;101,29
3836,00;101,29
3835,00;101,29
3834,00;101,30
3833,00;101,30
3832,00;101,29
3831,00;101,28
3830,00;101,27
3829,00;101,27
3828,00;101,28
3827,00;101,28
3826,00;101,27
3825,00;101,26
3824,00;101,26
3823,00;101,28
3822,00;101,29
3821,00;101,29
3820,00;101,28
3819,00;101,28
3818,00;101,30
3817,00;101,31
3816,00;101,30
3815,00;101,28
3814,00;101,27
3813,00;101,28
3812,00;101,28
3811,00;101,27
3810,00;101,26
3809,00;101,26
3808,00;101,27
3807,00;101,26
3806,00;101,25
3805,00;101,24
3804,00;101,26
3803,00;101,29
3802,00;101,30
3801,00;101,29
3800,00;101,28
3799,00;101,29
3798,00;101,32
3797,00;101,33
3796,00;101,32
3795,00;101,30
3794,00;101,29
3793,00;101,28
3792,00;101,27
3791,00;101,26
3790,00;101,25
3789,00;101,25
3788,00;101,25
3787,00;101,25
3786,00;101,26
3785,00;101,27
3784,00;101,27
3783,00;101,27
3782,00;101,27
3781,00;101,28
3780,00;101,28
3779,00;101,28
3778,00;101,28
3777,00;101,28
3776,00;101,28
3775,00;101,28
3774,00;101,27
3773,00;101,26
3772,00;101,27
3771,00;101,28
3770,00;101,28
3769,00;101,28
3768,00;101,28
3767,00;101,29
3766,00;101,30
3765,00;101,30
3764,00;101,29
3763,00;101,28
3762,00;101,29
3761,00;101,29
3760,00;101,29
3759,00;101,29
3758,00;101,30
3757,00;101,31
3756,00;101,30
3755,00;101,30
3754,00;101,29
3753,00;101,28
3752,00;101,27
3751,00;101,27
3750,00;101,29
3749,00;101,31
3748,00;101,31
3747,00;101,33
3746,00;101,37
3745,00;101,37
3744,00;101,34
3743,00;101,31
3742,00;101,31
3741,00;101,32
3740,00;101,33
3739,00;101,32
3738,00;101,31
3737,00;101,31
3736,00;101,32
3735,00;101,33
3734,00;101,36
3733,00;101,39
3732,00;101,38
3731,00;101,35
3730,00;101,32
3729,00;101,31
3728,00;101,31
3727,00;101,30
3726,00;101,30
3725,00;101,30
3724,00;101,31
3723,00;101,32
3722,00;101,32
3721,00;101,32
3720,00;101,31
3719,00;101,31
3718,00;101,30
3717,00;101,29
3716,00;101,28
3715,00;101,28
3714,00;101,28
3713,00;101,28
3712,00;101,28
3711,00;101,29
3710,00;101,31
3709,00;101,32
3708,00;101,31
3707,00;101,29
3706,00;101,27
3705,00;101,26
3704,00;101,26
3703,00;101,25
3702,00;101,25
3701,00;101,24
3700,00;101,23
3699,00;101,22
3698,00;101,21
3697,00;101,20
3696,00;101,18
3695,00;101,17
3694,00;101,17
3693,00;101,17
3692,00;101,16
3691,00;101,16
3690,00;101,15
3689,00;101,15
3688,00;101,14
3687,00;101,12
3686,00;101,11
3685,00;101,10
3684,00;101,08
3683,00;101,05
3682,00;101,03
3681,00;101,01
3680,00;100,99
3679,00;100,97
3678,00;100,96
3677,00;100,97
3676,00;100,96
3675,00;100,93
3674,00;100,91
3673,00;100,89
3672,00;100,88
3671,00;100,87
3670,00;100,83
3669,00;100,80
3668,00;100,77
3667,00;100,75
3666,00;100,72
3665,00;100,68
3664,00;100,65
3663,00;100,62
3662,00;100,59
3661,00;100,56
3660,00;100,53
3659,00;100,51
3658,00;100,50
3657,00;100,49
3656,00;100,46
3655,00;100,44
3654,00;100,42
3653,00;100,42
3652,00;100,42
3651,00;100,41
3650,00;100,38
3649,00;100,38
3648,00;100,39
3647,00;100,39
3646,00;100,37
3645,00;100,33
3644,00;100,29
3643,00;100,25
3642,00;100,22
3641,00;100,19
3640,00;100,17
3639,00;100,15
3638,00;100,13
3637,00;100,11
3636,00;100,10
3635,00;100,09
3634,00;100,08
3633,00;100,06
3632,00;100,06
3631,00;100,07
3630,00;100,07
3629,00;100,06
3628,00;100,04
3627,00;100,02
3626,00;100,01
3625,00;99,99
3624,00;99,97
3623,00;99,95
3622,00;99,93
3621,00;99,93
3620,00;99,93
3619,00;99,92
3618,00;99,91
3617,00;99,90
3616,00;99,89
3615,00;99,89
3614,00;99,89
3613,00;99,87
3612,00;99,86
3611,00;99,84
3610,00;99,83
3609,00;99,82
3608,00;99,80
3607,00;99,79
3606,00;99,78
3605,00;99,76
3604,00;99,74
3603,00;99,72
3602,00;99,70
3601,00;99,69
3600,00;99,68
3599,00;99,67
3598,00;99,66
3597,00;99,66
3596,00;99,66
3595,00;99,66
3594,00;99,65
3593,00;99,63
3592,00;99,62
3591,00;99,61
3590,00;99,60
3589,00;99,60
3588,00;99,59
3587,00;99,59
3586,00;99,58
3585,00;99,56
3584,00;99,54
3583,00;99,52
3582,00;99,51
3581,00;99,49
3580,00;99,48
3579,00;99,47
3578,00;99,46
3577,00;99,45
3576,00;99,44
3575,00;99,42
3574,00;99,41
3573,00;99,39
3572,00;99,37
3571,00;99,36
3570,00;99,35
3569,00;99,35
3568,00;99,35
3567,00;99,35
3566,00;99,36
3565,00;99,35
3564,00;99,33
3563,00;99,30
3562,00;99,27
3561,00;99,24
3560,00;99,22
3559,00;99,20
3558,00;99,18
3557,00;99,16
3556,00;99,15
3555,00;99,13
3554,00;99,11
3553,00;99,10
3552,00;99,08
3551,00;99,07
3550,00;99,05
3549,00;99,03
3548,00;99,01
3547,00;98,99
3546,00;98,98
3545,00;98,96
3544,00;98,94
3543,00;98,93
3542,00;98,91
3541,00;98,89
3540,00;98,87
3539,00;98,86
3538,00;98,84
3537,00;98,82
3536,00;98,80
3535,00;98,78
3534,00;98,77
3533,00;98,75
3532,00;98,74
3531,00;98,72
3530,00;98,71
3529,00;98,70
3528,00;98,69
3527,00;98,67
3526,00;98,65
3525,00;98,63
3524,00;98,61
3523,00;98,59
3522,00;98,57
3521,00;98,56
3520,00;98,54
3519,00;98,52
3518,00;98,50
3517,00;98,48
3516,00;98,46
3515,00;98,44
3514,00;98,41
3513,00;98,40
3512,00;98,38
3511,00;98,37
3510,00;98,37
3509,00;98,35
3508,00;98,34
3507,00;98,32
3506,00;98,30
3505,00;98,28
3504,00;98,26
3503,00;98,24
3502,00;98,22
3501,00;98,21
3500,00;98,19
3499,00;98,18
3498,00;98,16
3497,00;98,14
3496,00;98,12
3495,00;98,11
3494,00;98,10
3493,00;98,08
3492,00;98,07
3491,00;98,05
3490,00;98,03
3489,00;98,01
3488,00;98,00
3487,00;97,98
3486,00;97,97
3485,00;97,96
3484,00;97,95
3483,00;97,93
3482,00;97,92
3481,00;97,91
3480,00;97,89
3479,00;97,87
3478,00;97,86
3477,00;97,84
3476,00;97,83
3475,00;97,82
3474,00;97,80
3473,00;97,79
3472,00;97,77
