Criado como novo conjunto de dados;Amostra 019 por Analyst data segunda-feira, outubro 28 2024
cm-1;%T
4000,00;101,70
3999,00;101,70
3998,00;101,70
3997,00;101,69
3996,00;101,69
3995,00;101,69
3994,00;101,69
3993,00;101,69
3992,00;101,69
3991,00;101,69
3990,00;101,69
3989,00;101,69
3988,00;101,70
3987,00;101,70
3986,00;101,70
3985,00;101,70
3984,00;101,70
3983,00;101,70
3982,00;101,70
3981,00;101,70
3980,00;101,70
3979,00;101,69
3978,00;101,69
3977,00;101,69
3976,00;101,69
3975,00;101,69
3974,00;101,69
3973,00;101,70
3972,00;101,70
3971,00;101,70
3970,00;101,70
3969,00;101,70
3968,00;101,70
3967,00;101,70
3966,00;101,70
3965,00;101,69
3964,00;101,69
3963,00;101,69
3962,00;101,70
3961,00;101,70
3960,00;101,70
3959,00;101,70
3958,00;101,70
3957,00;101,70
3956,00;101,69
3955,00;101,70
3954,00;101,70
3953,00;101,69
3952,00;101,69
3951,00;101,69
3950,00;101,69
3949,00;101,69
3948,00;101,70
3947,00;101,70
3946,00;101,70
3945,00;101,70
3944,00;101,70
3943,00;101,70
3942,00;101,70
3941,00;101,71
3940,00;101,71
3939,00;101,71
3938,00;101,70
3937,00;101,70
3936,00;101,69
3935,00;101,69
3934,00;101,69
3933,00;101,69
3932,00;101,69
3931,00;101,70
3930,00;101,71
3929,00;101,71
3928,00;101,71
3927,00;101,70
3926,00;101,70
3925,00;101,70
3924,00;101,70
3923,00;101,70
3922,00;101,70
3921,00;101,70
3920,00;101,70
3919,00;101,70
3918,00;101,71
3917,00;101,72
3916,00;101,72
3915,00;101,72
3914,00;101,72
3913,00;101,72
3912,00;101,71
3911,00;101,71
3910,00;101,70
3909,00;101,70
3908,00;101,69
3907,00;101,69
3906,00;101,69
3905,00;101,69
3904,00;101,70
3903,00;101,71
3902,00;101,72
3901,00;101,74
3900,00;101,76
3899,00;101,76
3898,00;101,75
3897,00;101,74
3896,00;101,73
3895,00;101,72
3894,00;101,72
3893,00;101,72
3892,00;101,73
3891,00;101,73
3890,00;101,73
3889,00;101,72
3888,00;101,72
3887,00;101,72
3886,00;101,72
3885,00;101,71
3884,00;101,70
3883,00;101,71
3882,00;101,72
3881,00;101,73
3880,00;101,75
3879,00;101,75
3878,00;101,74
3877,00;101,73
3876,00;101,73
3875,00;101,73
3874,00;101,72
3873,00;101,71
3872,00;101,71
3871,00;101,73
3870,00;101,74
3869,00;101,74
3868,00;101,74
3867,00;101,74
3866,00;101,74
3865,00;101,73
3864,00;101,73
3863,00;101,73
3862,00;101,74
3861,00;101,74
3860,00;101,74
3859,00;101,73
3858,00;101,73
3857,00;101,74
3856,00;101,75
3855,00;101,75
3854,00;101,73
3853,00;101,73
3852,00;101,74
3851,00;101,75
3850,00;101,76
3849,00;101,76
3848,00;101,75
3847,00;101,73
3846,00;101,72
3845,00;101,71
3844,00;101,71
3843,00;101,70
3842,00;101,70
3841,00;101,71
3840,00;101,72
3839,00;101,73
3838,00;101,74
3837,00;101,75
3836,00;101,75
3835,00;101,75
3834,00;101,75
3833,00;101,76
3832,00;101,75
3831,00;101,74
3830,00;101,73
3829,00;101,72
3828,00;101,72
3827,00;101,72
3826,00;101,72
3825,00;101,71
3824,00;101,71
3823,00;101,72
3822,00;101,72
3821,00;101,73
3820,00;101,73
3819,00;101,74
3818,00;101,75
3817,00;101,76
3816,00;101,75
3815,00;101,74
3814,00;101,73
3813,00;101,73
3812,00;101,73
3811,00;101,72
3810,00;101,71
3809,00;101,71
3808,00;101,71
3807,00;101,72
3806,00;101,71
3805,00;101,70
3804,00;101,71
3803,00;101,72
3802,00;101,73
3801,00;101,73
3800,00;101,72
3799,00;101,72
3798,00;101,73
3797,00;101,74
3796,00;101,74
3795,00;101,74
3794,00;101,73
3793,00;101,72
3792,00;101,71
3791,00;101,70
3790,00;101,69
3789,00;101,69
3788,00;101,68
3787,00;101,68
3786,00;101,68
3785,00;101,69
3784,00;101,69
3783,00;101,69
3782,00;101,69
3781,00;101,69
3780,00;101,69
3779,00;101,69
3778,00;101,70
3777,00;101,70
3776,00;101,70
3775,00;101,69
3774,00;101,68
3773,00;101,68
3772,00;101,67
3771,00;101,68
3770,00;101,68
3769,00;101,69
3768,00;101,69
3767,00;101,69
3766,00;101,70
3765,00;101,70
3764,00;101,69
3763,00;101,69
3762,00;101,68
3761,00;101,68
3760,00;101,67
3759,00;101,67
3758,00;101,68
3757,00;101,68
3756,00;101,68
3755,00;101,68
3754,00;101,68
3753,00;101,67
3752,00;101,66
3751,00;101,67
3750,00;101,69
3749,00;101,71
3748,00;101,71
3747,00;101,71
3746,00;101,73
3745,00;101,73
3744,00;101,71
3743,00;101,69
3742,00;101,67
3741,00;101,67
3740,00;101,67
3739,00;101,65
3738,00;101,63
3737,00;101,62
3736,00;101,62
3735,00;101,64
3734,00;101,68
3733,00;101,72
3732,00;101,72
3731,00;101,70
3730,00;101,67
3729,00;101,65
3728,00;101,64
3727,00;101,63
3726,00;101,62
3725,00;101,61
3724,00;101,62
3723,00;101,63
3722,00;101,63
3721,00;101,63
3720,00;101,63
3719,00;101,63
3718,00;101,62
3717,00;101,61
3716,00;101,59
3715,00;101,58
3714,00;101,57
3713,00;101,56
3712,00;101,56
3711,00;101,57
3710,00;101,59
3709,00;101,59
3708,00;101,58
3707,00;101,56
3706,00;101,54
3705,00;101,52
3704,00;101,51
3703,00;101,50
3702,00;101,49
3701,00;101,48
3700,00;101,47
3699,00;101,45
3698,00;101,44
3697,00;101,42
3696,00;101,41
3695,00;101,39
3694,00;101,38
3693,00;101,37
3692,00;101,35
3691,00;101,32
3690,00;101,30
3689,00;101,29
3688,00;101,27
3687,00;101,24
3686,00;101,21
3685,00;101,19
3684,00;101,17
3683,00;101,14
3682,00;101,10
3681,00;101,07
3680,00;101,04
3679,00;101,02
3678,00;100,99
3677,00;100,97
3676,00;100,95
3675,00;100,92
3674,00;100,88
3673,00;100,84
3672,00;100,82
3671,00;100,79
3670,00;100,75
3669,00;100,70
3668,00;100,66
3667,00;100,62
3666,00;100,59
3665,00;100,55
3664,00;100,52
3663,00;100,48
3662,00;100,45
3661,00;100,41
3660,00;100,38
3659,00;100,36
3658,00;100,34
3657,00;100,32
3656,00;100,29
3655,00;100,26
3654,00;100,24
3653,00;100,23
3652,00;100,23
3651,00;100,20
3650,00;100,17
3649,00;100,16
3648,00;100,15
3647,00;100,14
3646,00;100,12
3645,00;100,08
3644,00;100,05
3643,00;100,02
3642,00;100,00
3641,00;99,98
3640,00;99,96
3639,00;99,94
3638,00;99,92
3637,00;99,90
3636,00;99,88
3635,00;99,87
3634,00;99,86
3633,00;99,86
3632,00;99,86
3631,00;99,86
3630,00;99,86
3629,00;99,84
3628,00;99,82
3627,00;99,79
3626,00;99,77
3625,00;99,76
3624,00;99,75
