Criado como novo conjunto de dados;Amostra 017 por Analyst data segunda-feira, outubro 28 2024
cm-1;%T
4000,00;99,96
3999,00;99,96
3998,00;99,96
3997,00;99,96
3996,00;99,96
3995,00;99,97
3994,00;99,97
3993,00;99,97
3992,00;99,97
3991,00;99,97
3990,00;99,97
3989,00;99,97
3988,00;99,97
3987,00;99,97
3986,00;99,97
3985,00;99,97
3984,00;99,97
3983,00;99,97
3982,00;99,97
3981,00;99,97
3980,00;99,97
3979,00;99,97
3978,00;99,97
3977,00;99,97
3976,00;99,98
3975,00;99,98
3974,00;99,98
3973,00;99,98
3972,00;99,98
3971,00;99,98
3970,00;99,98
3969,00;99,98
3968,00;99,98
3967,00;99,98
3966,00;99,98
3965,00;99,98
3964,00;99,98
3963,00;99,98
3962,00;99,98
3961,00;99,98
3960,00;99,98
3959,00;99,98
3958,00;99,98
3957,00;99,98
3956,00;99,99
3955,00;99,99
3954,00;99,99
3953,00;99,99
3952,00;99,99
3951,00;100,00
3950,00;100,00
3949,00;100,00
3948,00;100,00
3947,00;100,00
3946,00;100,00
3945,00;100,00
3944,00;100,01
3943,00;100,01
3942,00;100,01
3941,00;100,01
3940,00;100,01
3939,00;100,01
3938,00;100,01
3937,00;100,00
3936,00;100,00
3935,00;100,00
3934,00;100,00
3933,00;100,00
3932,00;100,01
3931,00;100,02
3930,00;100,03
3929,00;100,03
3928,00;100,03
3927,00;100,02
3926,00;100,02
3925,00;100,02
3924,00;100,02
3923,00;100,02
3922,00;100,02
3921,00;100,02
3920,00;100,02
3919,00;100,02
3918,00;100,03
3917,00;100,03
3916,00;100,04
3915,00;100,04
3914,00;100,04
3913,00;100,04
3912,00;100,04
3911,00;100,03
3910,00;100,03
3909,00;100,03
3908,00;100,03
3907,00;100,03
3906,00;100,04
3905,00;100,05
3904,00;100,05
3903,00;100,05
3902,00;100,06
3901,00;100,08
3900,00;100,09
3899,00;100,09
3898,00;100,08
3897,00;100,07
3896,00;100,06
3895,00;100,05
3894,00;100,05
3893,00;100,05
3892,00;100,06
3891,00;100,06
3890,00;100,05
3889,00;100,05
3888,00;100,06
3887,00;100,07
3886,00;100,07
3885,00;100,06
3884,00;100,05
3883,00;100,06
3882,00;100,08
3881,00;100,09
3880,00;100,09
3879,00;100,09
3878,00;100,08
3877,00;100,08
3876,00;100,08
3875,00;100,08
