Criado como novo conjunto de dados;Amostra 016 por Analyst data segunda-feira, outubro 28 2024
cm-1;%T
4000,00;99,98
3999,00;99,98
3998,00;99,98
3997,00;99,98
3996,00;99,98
3995,00;99,98
3994,00;99,98
3993,00;99,98
3992,00;99,99
3991,00;99,99
3990,00;99,99
3989,00;99,99
3988,00;99,99
3987,00;99,99
3986,00;99,99
3985,00;99,99
3984,00;99,99
3983,00;99,99
3982,00;99,99
3981,00;99,99
3980,00;99,99
3979,00;99,99
3978,00;99,99
3977,00;100,00
3976,00;100,00
3975,00;100,00
3974,00;100,00
3973,00;100,00
3972,00;100,00
3971,00;100,00
3970,00;100,00
3969,00;100,00
3968,00;100,00
3967,00;100,00
3966,00;100,00
3965,00;100,00
3964,00;100,00
3963,00;100,00
3962,00;100,00
3961,00;100,00
3960,00;100,00
3959,00;100,00
3958,00;100,00
3957,00;100,00
3956,00;100,00
3955,00;100,01
3954,00;100,01
3953,00;100,01
3952,00;100,01
3951,00;100,01
3950,00;100,01
3949,00;100,01
3948,00;100,02
3947,00;100,02
3946,00;100,02
3945,00;100,02
3944,00;100,02
3943,00;100,02
3942,00;100,02
3941,00;100,02
3940,00;100,02
3939,00;100,02
3938,00;100,02
3937,00;100,02
3936,00;100,02
3935,00;100,01
3934,00;100,01
3933,00;100,02
3932,00;100,02
3931,00;100,03
3930,00;100,04
3929,00;100,04
3928,00;100,04
3927,00;100,04
3926,00;100,04
3925,00;100,04
3924,00;100,04
3923,00;100,04
3922,00;100,04
3921,00;100,04
3920,00;100,04
3919,00;100,04
3918,00;100,04
3917,00;100,05
3916,00;100,06
3915,00;100,06
3914,00;100,06
3913,00;100,05
3912,00;100,05
3911,00;100,05
3910,00;100,04
3909,00;100,04
3908,00;100,04
3907,00;100,04
3906,00;100,05
3905,00;100,05
3904,00;100,06
3903,00;100,06
3902,00;100,08
3901,00;100,09
3900,00;100,10
3899,00;100,10
3898,00;100,10
3897,00;100,09
3896,00;100,08
3895,00;100,07
3894,00;100,07
3893,00;100,07
3892,00;100,08
3891,00;100,08
3890,00;100,07
3889,00;100,07
3888,00;100,07
3887,00;100,08
3886,00;100,08
3885,00;100,07
3884,00;100,07
3883,00;100,08
3882,00;100,10
3881,00;100,11
3880,00;100,11
3879,00;100,10
3878,00;100,10
3877,00;100,09
3876,00;100,10
3875,00;100,09
3874,00;100,09
3873,00;100,09
3872,00;100,10
3871,00;100,12
3870,00;100,12
3869,00;100,11
3868,00;100,11
3867,00;100,12
3866,00;100,12
3865,00;100,12
3864,00;100,11
3863,00;100,12
3862,00;100,12
3861,00;100,12
3860,00;100,12
3859,00;100,11
3858,00;100,10
3857,00;100,11
3856,00;100,13
3855,00;100,13
3854,00;100,12
3853,00;100,11
3852,00;100,13
3851,00;100,14
3850,00;100,15
3849,00;100,14
3848,00;100,13
3847,00;100,12
3846,00;100,11
3845,00;100,11
3844,00;100,11
3843,00;100,11
3842,00;100,11
3841,00;100,11
3840,00;100,13
3839,00;100,14
3838,00;100,15
3837,00;100,15
3836,00;100,15
3835,00;100,15
3834,00;100,15
3833,00;100,15
3832,00;100,15
3831,00;100,14
3830,00;100,14
3829,00;100,13
3828,00;100,13
3827,00;100,13
3826,00;100,13
3825,00;100,12
3824,00;100,13
3823,00;100,14
3822,00;100,15
3821,00;100,15
3820,00;100,15
3819,00;100,15
3818,00;100,16
3817,00;100,17
3816,00;100,16
3815,00;100,15
3814,00;100,14
3813,00;100,14
3812,00;100,14
3811,00;100,14
3810,00;100,13
3809,00;100,14
3808,00;100,15
3807,00;100,15
3806,00;100,14
3805,00;100,14
3804,00;100,15
3803,00;100,17
3802,00;100,18
3801,00;100,17
3800,00;100,17
3799,00;100,17
3798,00;100,18
3797,00;100,18
3796,00;100,18
3795,00;100,17
3794,00;100,16
3793,00;100,16
3792,00;100,15
3791,00;100,14
3790,00;100,14
3789,00;100,14
3788,00;100,14
3787,00;100,14
3786,00;100,14
3785,00;100,15
3784,00;100,15
3783,00;100,15
3782,00;100,15
3781,00;100,16
3780,00;100,16
3779,00;100,16
3778,00;100,16
3777,00;100,17
3776,00;100,17
3775,00;100,16
3774,00;100,16
3773,00;100,15
