Criado como novo conjunto de dados;Amostra 014 por Analyst data segunda-feira, outubro 28 2024
cm-1;%T
4000,00;101,65
3999,00;101,65
3998,00;101,65
3997,00;101,65
3996,00;101,65
3995,00;101,65
3994,00;101,65
3993,00;101,65
3992,00;101,65
3991,00;101,65
3990,00;101,65
3989,00;101,65
3988,00;101,65
3987,00;101,65
3986,00;101,65
3985,00;101,65
3984,00;101,64
3983,00;101,64
3982,00;101,65
3981,00;101,65
3980,00;101,65
3979,00;101,65
3978,00;101,65
3977,00;101,65
3976,00;101,65
3975,00;101,65
3974,00;101,65
3973,00;101,65
3972,00;101,65
3971,00;101,65
3970,00;101,65
3969,00;101,65
3968,00;101,65
3967,00;101,65
3966,00;101,65
3965,00;101,65
3964,00;101,64
3963,00;101,65
3962,00;101,65
3961,00;101,65
3960,00;101,65
3959,00;101,65
3958,00;101,65
3957,00;101,65
3956,00;101,65
3955,00;101,65
3954,00;101,65
3953,00;101,64
3952,00;101,64
3951,00;101,64
3950,00;101,64
3949,00;101,65
3948,00;101,65
3947,00;101,65
3946,00;101,65
3945,00;101,65
3944,00;101,65
3943,00;101,65
3942,00;101,65
3941,00;101,65
3940,00;101,65
3939,00;101,65
3938,00;101,65
3937,00;101,65
3936,00;101,64
3935,00;101,64
3934,00;101,64
3933,00;101,64
3932,00;101,65
3931,00;101,66
3930,00;101,66
3929,00;101,66
3928,00;101,66
3927,00;101,66
3926,00;101,65
3925,00;101,65
3924,00;101,65
3923,00;101,65
3922,00;101,65
3921,00;101,65
3920,00;101,65
3919,00;101,65
3918,00;101,65
3917,00;101,66
3916,00;101,66
3915,00;101,66
3914,00;101,66
3913,00;101,66
3912,00;101,66
3911,00;101,65
3910,00;101,65
3909,00;101,64
3908,00;101,64
3907,00;101,64
3906,00;101,64
3905,00;101,65
3904,00;101,65
3903,00;101,65
3902,00;101,66
3901,00;101,67
3900,00;101,68
3899,00;101,69
3898,00;101,69
3897,00;101,68
3896,00;101,67
3895,00;101,66
3894,00;101,65
3893,00;101,65
3892,00;101,66
3891,00;101,66
3890,00;101,66
3889,00;101,65
3888,00;101,65
3887,00;101,66
3886,00;101,66
3885,00;101,66
3884,00;101,65
3883,00;101,65
3882,00;101,66
3881,00;101,68
3880,00;101,68
3879,00;101,68
3878,00;101,67
3877,00;101,66
3876,00;101,66
3875,00;101,66
3874,00;101,65
3873,00;101,65
3872,00;101,65
3871,00;101,66
3870,00;101,67
3869,00;101,67
3868,00;101,66
3867,00;101,66
3866,00;101,67
3865,00;101,67
3864,00;101,67
3863,00;101,67
3862,00;101,68
3861,00;101,68
