 ,Area,Mean,Min,Max,Angle,Length
1,1.191E-4,17955.874,13075.148,20633.168,-29.745,0.039
2,1.106E-4,25638.232,12501.333,32347.834,-49.399,0.036
3,1.531E-4,14901.674,9379.482,18786.482,-44.193,0.049
4,1.276E-4,17402.010,14698.714,20566.008,9.689,0.040
5,1.020E-4,16922.271,14384.556,19349.088,24.305,0.033
6,1.276E-4,13428.206,10130.630,17167.186,-27.759,0.042
7,1.361E-4,19051.734,11397.420,26758.934,2.545,0.044
8,1.361E-4,22757.366,16127.527,27029.920,-10.539,0.043
9,1.361E-4,16705.199,13477.527,19365.557,-15.593,0.043
10,1.106E-4,18183.763,12380.917,21565.527,-14.826,0.034
11,1.020E-4,16568.659,11113.000,22144.414,-18.435,0.031
12,1.531E-4,20997.046,16428.084,25368.273,-17.354,0.049
13,2.041E-4,28185.455,19207.990,38696.035,-17.103,0.066
14,1.361E-4,19273.202,8715.556,26932.660,-10.539,0.043
15,1.446E-4,15758.060,10437.117,20588.834,-12.011,0.047
16,1.786E-4,15671.013,11979.500,20220.666,-13.570,0.058
17,1.020E-4,17924.663,13499.874,21741.826,-6.710,0.033
18,1.446E-4,17472.450,14948.243,21725.928,8.297,0.047
19,1.786E-4,19497.601,12442.861,24823.494,2.816,0.059
20,8.504E-5,17483.650,11843.083,20289.473,-18.435,0.028
21,9.354E-5,15488.908,10336.667,19506.033,-19.654,0.029
22,1.020E-4,15549.863,11349.556,19612.398,-12.339,0.032
23,1.276E-4,22956.447,18595.412,27189.666,10.784,0.042
24,8.504E-5,13735.922,12200.865,16078.840,1.548,0.027
25,1.276E-4,17143.551,12389.000,21155.334,4.086,0.041
26,1.276E-4,20364.430,12207.250,24548.994,-20.556,0.042
27,1.191E-4,17068.178,10133.845,22075.229,-33.275,0.037
28,1.361E-4,18555.697,14125.723,22926.613,18.034,0.044
29,7.654E-5,15638.187,12184.708,17492.805,-26.565,0.024
30,1.191E-4,16727.570,9816.861,24511.428,23.385,0.039
31,1.701E-4,13990.637,9336.782,20294.941,15.524,0.054
32,1.191E-4,16682.699,13432.750,19776.164,10.713,0.037
33,1.106E-4,14405.451,10081.527,17365.139,-14.421,0.035
34,1.020E-4,18845.338,12629.083,24142.623,3.468,0.032
35,8.504E-5,13008.288,11132.583,14784.938,-4.086,0.027
36,1.276E-4,17295.794,14560.280,21257.664,8.427,0.040
37,9.354E-5,16499.466,12831.500,19510.775,-2.862,0.029
38,1.191E-4,18085.027,13118.500,22321.979,-9.090,0.037
39,1.531E-4,14291.060,8800.883,19965.617,-5.042,0.050
40,1.786E-4,15397.829,10216.667,21256.826,0.971,0.057
41,1.531E-4,16253.494,11576.027,20471.846,2.291,0.049
42,1.020E-4,13577.818,9866.583,17557.115,-6.710,0.033
43,1.276E-4,17314.152,12569.000,21958.285,-12.095,0.042
44,7.654E-5,15298.647,12711.988,17986.176,-11.310,0.022
45,6.803E-5,14882.493,11394.000,17183.684,-22.620,0.019
46,6.803E-5,13071.921,10352.250,14668.357,-5.440,0.021
47,6.803E-5,13738.132,9470.583,17984.584,-5.440,0.021
48,9.354E-5,13953.567,10734.750,16809.359,-5.528,0.030
49,5.953E-5,14778.068,12569.333,18169.297,-3.180,0.018
50,6.803E-5,13308.610,9146.333,18541.357,-20.854,0.022
