 	Area	Mean	Min	Max	Angle	Length
1	1,19E-01	17.955.874	13.075.148	20.633.168	-29.745	0.039
2	1,11E-01	25.638.232	12.501.333	32.347.834	-49.399	0.036
3	1,53E-01	14.901.674	9.379.482	18.786.482	-44.193	0.049
4	1,28E-01	17.402.010	14.698.714	20.566.008	9.689	0.040
5	1,02E-01	16.922.271	14.384.556	19.349.088	24.305	0.033
6	1,28E-01	13.428.206	10.130.630	17.167.186	-27.759	0.042
7	1,36E-01	19.051.734	11.397.420	26.758.934	2.545	0.044
8	1,36E-01	22.757.366	16.127.527	27.029.920	-10.539	0.043
9	1,36E-01	16.705.199	13.477.527	19.365.557	-15.593	0.043
10	1,11E-01	18.183.763	12.380.917	21.565.527	-14.826	0.034
11	1,02E-01	16.568.659	11.113.000	22.144.414	-18.435	0.031
12	1,53E-01	20.997.046	16.428.084	25.368.273	-17.354	0.049
13	2,04E-01	28.185.455	19.207.990	38.696.035	-17.103	0.066
14	1,36E-01	19.273.202	8.715.556	26.932.660	-10.539	0.043
15	1,45E-01	15.758.060	10.437.117	20.588.834	-12.011	0.047
16	1,79E-01	15.671.013	11.979.500	20.220.666	-13.570	0.058
17	1,02E-01	17.924.663	13.499.874	21.741.826	-6.710	0.033
18	1,45E-01	17.472.450	14.948.243	21.725.928	8.297	0.047
19	1,79E-01	19.497.601	12.442.861	24.823.494	2.816	0.059
20	8,50E-02	17.483.650	11.843.083	20.289.473	-18.435	0.028
21	9,35E-02	15.488.908	10.336.667	19.506.033	-19.654	0.029
22	1,02E-01	15.549.863	11.349.556	19.612.398	-12.339	0.032
23	1,28E-01	22.956.447	18.595.412	27.189.666	10.784	0.042
24	8,50E-02	13.735.922	12.200.865	16.078.840	1.548	0.027
25	1,28E-01	17.143.551	12.389.000	21.155.334	4.086	0.041
26	1,28E-01	20.364.430	12.207.250	24.548.994	-20.556	0.042
27	1,19E-01	17.068.178	10.133.845	22.075.229	-33.275	0.037
28	1,36E-01	18.555.697	14.125.723	22.926.613	18.034	0.044
29	7,65E-02	15.638.187	12.184.708	17.492.805	-26.565	0.024
30	1,19E-01	16.727.570	9.816.861	24.511.428	23.385	0.039
31	1,70E-01	13.990.637	9.336.782	20.294.941	15.524	0.054
32	1,19E-01	16.682.699	13.432.750	19.776.164	10.713	0.037
33	1,11E-01	14.405.451	10.081.527	17.365.139	-14.421	0.035
34	1,02E-01	18.845.338	12.629.083	24.142.623	3.468	0.032
35	8,50E-02	13.008.288	11.132.583	14.784.938	-4.086	0.027
36	1,28E-01	17.295.794	14.560.280	21.257.664	8.427	0.040
37	9,35E-02	16.499.466	12.831.500	19.510.775	-2.862	0.029
38	1,19E-01	18.085.027	13.118.500	22.321.979	-9.090	0.037
39	1,53E-01	14.291.060	8.800.883	19.965.617	-5.042	0.050
40	1,79E-01	15.397.829	10.216.667	21.256.826	0.971	0.057
41	1,53E-01	16.253.494	11.576.027	20.471.846	2.291	0.049
42	1,02E-01	13.577.818	9.866.583	17.557.115	-6.710	0.033
43	1,28E-01	17.314.152	12.569.000	21.958.285	-12.095	0.042
44	7,65E-02	15.298.647	12.711.988	17.986.176	-11.310	0.022
45	6,80E-02	14.882.493	11.394.000	17.183.684	-22.620	0.019
46	6,80E-02	13.071.921	10.352.250	14.668.357	-5.440	0.021
47	6,80E-02	13.738.132	9.470.583	17.984.584	-5.440	0.021
48	9,35E-02	13.953.567	10.734.750	16.809.359	-5.528	0.030
49	5,95E-02	14.778.068	12.569.333	18.169.297	-3.180	0.018
50	6,80E-02	13.308.610	9.146.333	18.541.357	-20.854	0.022
