 ,Area,Mean,Min,Max,Angle,Length
1,1841.964,46887.093,19916,52744.641,-11.459,369.293
2,1602.748,46381.560,18607,52707.938,-15.945,320.461
3,1698.434,47037.627,17968,54204.488,-32.093,340.617
4,1650.591,46592.179,18089,52941.402,-16.294,331.217
5,1602.748,44955.422,21148,51935.512,-13.191,321.505
6,1674.513,46612.632,23755,53166.230,-18.699,335.629
7,1578.826,47092.294,27896,53871.680,-17.879,318.627
8,1626.669,41837.015,7143,50439.328,-4.268,328.606
9,1507.061,46363.514,28444,52545.488,-12.031,305.049
10,1626.669,44920.937,12543,51913.820,-9.462,327.257
11,1554.905,43750.580,24892,50703.406,-11.659,314.623
12,1650.591,45124.738,23860,51954.352,-5.877,334.344
13,1578.826,47882.557,13807,54766.699,-8.005,316.102
14,1578.826,49965.701,35796,54869.863,-8.005,316.102
15,1698.434,43521.440,9667,51962.875,-7.179,343.099
16,1770.199,42844.476,7433,51848.121,-7.125,354.890
17,1554.905,49890.256,33541,55632.250,-2.684,313.366
18,1602.748,48810.455,34636,54911.453,-14.876,323.877
19,1483.140,48629.446,31278,53901.156,-19.026,300.068
20,1650.591,47170.920,21716,54441.902,-11.802,334.773
21,1722.356,46673.755,12707,54714.527,-9.728,347.362
22,1674.513,46636.118,14947,54465.324,-14.237,338.079
23,1698.434,46875.037,26424,54887.754,-12.440,340.582
24,1674.513,46699.907,13748,54239.488,-10.823,338.609
25,1626.669,47661.897,25907,53972.723,-15.479,329.878
26,1626.669,46138.091,19987,53617.922,-12.995,326.269
27,1698.434,46191.562,17123,53133.164,-9.866,342.543
28,1554.905,45414.460,27167.359,51720.438,-2.684,313.366
29,1554.905,49072.938,27124,55495.250,-6.242,314.889
30,1674.513,43249.229,5197,53736.000,0.000,337.477
31,1674.513,49321.227,23742,57271.824,-4.970,338.751
32,1602.748,53051.880,33901,58988.863,-2.603,323.137
33,1722.356,51434.060,23606,58126.730,-0.807,347.293
34,1650.591,51972.632,29748,57250.312,-10.981,333.807
35,1674.513,53947.159,19827,59005.180,-14.237,338.079
36,1698.434,51763.044,14235,58370.066,-40.333,340.054
37,1530.983,55091.321,39504,59976.633,-28.610,306.419
38,1626.669,46771.092,8570,55409.031,-5.117,329.006
39,1483.140,51297.903,40969,56317.270,-48.991,298.149
40,1841.964,44178.123,9074.527,54855.953,-24.649,370.485
41,1746.277,47285.588,7568,56012.141,-45.000,352.761
42,1722.356,49351.032,14778.012,57544.789,-38.112,347.690
43,1650.591,50927.116,19488,57246.840,-26.188,332.478
44,1698.434,52418.545,34422,56934.426,-32.093,340.617
45,1865.885,49900.717,18071,57516.148,-42.374,377.366
46,1674.513,51535.566,12186.265,58513.281,-45.591,335.486
47,1602.748,53096.011,41359,58130.098,-44.384,321.653
48,1650.591,48900.237,18739,56226.168,-49.764,333.161
49,1722.356,46509.086,9717,54817.000,-42.709,346.121
50,1578.826,48454.001,24548.475,55332.508,-49.970,319.377
51,1626.669,48124.549,10204,55441.070,-58.449,327.147
52,1602.748,49197.307,18802,56013.570,-66.915,324.320
53,1626.669,50279.018,16945.381,56785.586,-43.191,328.716
54,1841.964,54658.335,29108,59547.500,-40.192,371.360
55,1602.748,55941.913,44532,59872.754,-45.616,321.653
56,1650.591,51415.104,20834,59437.777,-74.745,334.594
57,1841.964,49053.471,11826,56902.625,-59.844,371.921
58,1770.199,47631.450,14259,55561.055,-71.565,355.732
59,1578.826,51228.670,35746,56940.281,-54.360,318.965
60,1530.983,49227.286,34533.324,55272.113,-52.853,308.096
61,1554.905,51357.726,34986,57477.461,-76.399,311.989
62,1722.356,47780.892,25375,54461.457,-76.945,346.431
63,1674.513,48055.208,13430,56388.391,-86.682,338.044
64,1530.983,51441.245,36311,56447.594,-40.503,308.752
65,1650.591,48411.400,12712.083,56411.648,-71.030,331.000
66,1770.199,48974.468,13064,56573.676,-78.071,354.924
67,1554.905,48860.662,27387,55278.375,-84.644,314.395
68,1698.434,46318.579,12538,55220.090,-55.408,344.597
69,1794.121,49425.274,16201,58187.691,-63.435,360.906
70,1674.513,47938.382,11194,55380.773,-56.768,339.139
71,1554.905,51289.070,36945,56573.711,-73.560,311.067
72,1650.591,49172.052,27340,56371.434,-73.706,331.217
73,1818.042,44975.574,15096.191,53786.047,-60.350,365.811
74,1578.826,47500.867,32000,53845.320,-61.460,317.348
75,1530.983,50352.011,30682,56184.145,-84.560,309.526
76,1674.513,50293.085,29923,56467.754,-79.992,337.725
77,1722.356,46499.556,17526,53976.023,-81.069,346.569
78,1602.748,48266.564,29839,54259.699,-81.629,323.066
79,1602.748,48873.035,28592,54072.137,-80.395,322.433
80,1459.218,50074.359,35992,55263.000,-74.578,294.272
81,1554.905,48668.944,33852,55779.953,-87.316,313.366
82,1626.669,48107.235,19182,56116.000,-90.000,327.695
83,1507.061,49738.510,32926,55317.590,-78.871,304.067
84,1722.356,44313.539,9643,53649.719,-79.479,348.222
85,1818.042,43150.239,8779,53331.422,-80.036,367.474
