 ,Area,Mean,Min,Max
1,6.617,255,255,255
2,2.392E-5,255,255,255
3,2.392E-5,255,255,255
4,2.392E-5,255,255,255
5,2.392E-5,255,255,255
6,2.392E-5,255,255,255
7,2.392E-5,255,255,255
8,2.392E-5,255,255,255
9,2.392E-5,255,255,255
10,2.392E-5,255,255,255
11,2.392E-5,255,255,255
12,2.392E-5,255,255,255
13,2.392E-5,255,255,255
14,2.392E-5,255,255,255
15,2.392E-5,255,255,255
16,2.392E-5,255,255,255
17,2.392E-5,255,255,255
18,2.392E-5,255,255,255
19,2.392E-5,255,255,255
20,2.392E-5,255,255,255
21,2.392E-5,255,255,255
22,2.392E-5,255,255,255
23,2.392E-5,255,255,255
24,2.392E-5,255,255,255
25,2.392E-5,255,255,255
26,2.392E-5,255,255,255
27,2.392E-5,255,255,255
28,2.392E-5,255,255,255
29,2.392E-5,255,255,255
30,2.392E-5,255,255,255
31,2.392E-5,255,255,255
32,2.392E-5,255,255,255
33,2.392E-5,255,255,255
34,2.392E-5,255,255,255
35,7.176E-5,255,255,255
36,2.392E-5,255,255,255
37,2.392E-5,255,255,255
38,2.392E-5,255,255,255
39,2.392E-5,255,255,255
40,2.392E-5,255,255,255
41,2.392E-5,255,255,255
42,2.392E-5,255,255,255
43,2.392E-5,255,255,255
44,2.392E-5,255,255,255
45,2.392E-5,255,255,255
46,4.784E-5,255,255,255
47,2.392E-5,255,255,255
48,2.392E-5,255,255,255
49,2.392E-5,255,255,255
50,2.392E-5,255,255,255
51,7.176E-5,255,255,255
52,2.392E-5,255,255,255
53,2.392E-5,255,255,255
54,2.392E-5,255,255,255
55,2.392E-5,255,255,255
56,2.392E-5,255,255,255
57,2.392E-5,255,255,255
58,2.392E-5,255,255,255
59,2.392E-5,255,255,255
60,2.392E-5,255,255,255
61,2.392E-5,255,255,255
62,2.392E-5,255,255,255
63,2.392E-5,255,255,255
64,2.392E-5,255,255,255
65,2.392E-5,255,255,255
66,2.392E-5,255,255,255
67,2.392E-5,255,255,255
68,2.392E-5,255,255,255
69,2.392E-5,255,255,255
70,2.392E-5,255,255,255
71,2.392E-5,255,255,255
72,2.392E-5,255,255,255
73,2.392E-5,255,255,255
74,2.392E-5,255,255,255
