 	Area	Mean	Min	Max	Angle	Length
1	753.454	40810.692	24404.635	48125.008	-24.520	306.403
2	741.494	39455.352	19098.000	46949.855	-30.324	300.292
3	801.292	40925.137	14378.000	48776.316	-43.781	325.150
4	789.333	43420.799	14261.000	51797.352	-52.431	320.855
5	801.292	45145.354	23464.000	53989.809	-49.865	326.252
6	783.353	41974.971	19586.000	50810.121	-43.755	318.235
7	753.454	37823.138	19277.645	46165.340	-50.194	305.582
8	741.494	44021.799	27501.000	53701.449	-43.025	301.048
9	777.373	36786.915	13468.080	45550.113	-40.601	315.632
10	747.474	38044.792	14957.000	45940.375	-45.000	304.327
11	801.292	37530.352	8953.165	45332.918	-47.437	325.371
12	729.535	38426.673	21357.561	45132.520	-38.956	295.596
13	765.413	38145.144	18913.000	44657.797	-43.727	311.321
14	777.373	36217.661	17738.750	44072.879	-52.553	315.712
15	777.373	40193.402	22830.000	47494.848	-74.667	314.417
16	729.535	35963.492	16033.000	44607.168	-72.759	297.008
17	753.454	36294.635	16782.000	44483.141	-121.908	305.347
18	759.434	45725.621	28498.000	54024.922	-127.235	307.144
19	801.292	42238.420	16123.000	52390.277	-139.865	326.252
20	765.413	36241.169	17786.000	46674.734	33.440	310.628
21	783.353	34943.097	15206.000	42607.000	36.870	317.897
22	765.413	43702.104	23606.000	51886.695	50.774	309.355
