Material,Sobrepotencial (mV)
MoS2/Co9S8,73.0
MoS2/COF-C4N,106.0
CdS@CoMo2S4/MoS2,172.0
Ni-MoS2-RGO,349.0
MoS2,300.0
MoS2-graphene,105.0
MoO2/MoS2/MoP,135.0
MoS2/Ni2P/Ti3C2Tx,120.0
NiO/MoS2/BiVO4,300.0
F-MoS2,103.0
rGO-CNT/MoS2,88.0
MoS2/Cu2S/PANI,98.0
Cu-MoS2,167.7
MoS2,210.0
MoS2/SnS2,288.0
MoS2/reduced,110.0
MoS2,190.0
Mo2C@MoS2,86.0
1T-MoS2,240.0
MoS2,127.0
Defective-MoS2/rGO,154.77
MoS2,145.0
MCNTs@CoSx@MoS2,196.0
NiS/MoS2,201.0
Co-MoS2,56.0
NiS2/MoS2,116.0
MoS2,73.0
Ni3S4@MoS2,94.0
MoS2-based,51.0
MoS2,56.0
MoS2/CNFs,74.8
CoS2-C@MoS2,173.0
MoS2,78.0
MoS2-x/GCD-MoS2-x,247.0
NiMoO4/MoS2@rGO,153.0
PtNLs-MoS2/Reduced,62.0
2@NPC/MoS2,119.0
MoS2,211.0
MoS2@Bi2Se3,134.0
MoS2,150.0
NiSe2/MoS2,143.0
1T-MoS2,118.0
MoS2,68.0
nanosheet/MoS2,260.0
2H-MoS2,74.0
MoS2,85.0
Co3O4/MoS2,56.0
MoS2,87.0
Co-MoS2,174.0
SrTiO3@MoS2,165.0
MoS2,89.0
MoS2/S-doped,115.0
CoS2/MoS2,154.0
MoS2,85.0
CoS2/MoS2/RGO,80.0
MoS2,90.0
CoP@MoS2,201.0
MoS2,90.0
1T/2H-MoS2/Ni3S2,124.0
MoS2,80.0
MoP-MoS2,144.0
NiPS3/MoS2/rGO,152.0
MoS2-WS2,129.0
MoS2/WTe2,140.0
CoFeCr-LDH@MoS2,230.0
MoS2/CoS2,67.0
1T-MoS2/C,260.0
TiO2@MoS2,270.0
Ni3S2@MoS2,225.0
Ni2P/MoS2,75.0
rGO/MoS2,190.0
MoS2/graphene,250.0
Mo2C/MoS2-rGO,200.0
MoS2,200.0
SiQDs-MoS2,200.0
MoS2@transition,52.0
MoS2-Decorated,138.0
1T-MoS2,151.0
MoS2,88.0
85S2@MoS2,79.0
MoS2,183.0
MoS2/Ag2S/Ag,101.0
MoS2@Ni/RGO,165.0
2-MoS2,151.0
MoSe2@MoS2,161.0
MoS2/Black,126.0
MoS2,87.0
1T-MoS2/NiS,69.0
Cu-MoS2/rGO,199.0
MoS2/graphene,143.0
CoS2@MoS2,90.0
MoS2,130.0
1T/2H-MoS2,159.9
MoS2,110.0
Bi2S3/MoS2,124.0
MoS2,66.0
ZnCo/NC@MoS2,130.0
MoS2/MoSe2,110.0
2H-MoS2,179.0
MoS2@NHCF,112.0
MoS2,85.0
MoS2-WS2/Graphene,110.0
MoS2/Graphite,166.0
MoS2,114.0
097/MoS2,341.0
MoS2,93.0
Ru-MoS2@PPy,157.0
MoS2,214.0
MoS2/WS2-reduced,118.0
MoS2/CoS/NF,207.0
MoS2/Carbon,210.0
Cu/MoS2,149.0
MoS2/Ni2V3O8,68.0
MoS2,76.0
