Material,Frequência
MoS2,1268
MoS2-based,139
1T-MoS2,80
2H-MoS2,59
MoS2/Ni3S2,19
MoS2/rGO,16
Co-MoS2,14
CoS2/MoS2,14
Ni-MoS2,13
MoS2/CoS2,13
2D-MoS2,12
T-MoS2,12
CoS2-MoS2,11
MoS2/graphene,11
N-MoS2,10
NiS2/MoS2,10
Ni3S2/MoS2,9
MoS2/C,9
MoS2/RGO,8
MoS2/,8
MoS2/NiS2,8
-MoS2,8
MoS2-Ni3S2,8
MoS2/TiO2,8
P-MoS2,7
MoS2-x,7
1T/2H-MoS2,6
MoS2/CC,6
MoS2/WS2,6
MoO2/MoS2,6
/MoS2,6
Pt-MoS2,6
NiS/MoS2,5
Pd-MoS2,5
MoS2@,5
MoS2-rGO,5
MoS2/MoO2,5
MoS2/MoP,5
MoS2-,5
Co3O4/MoS2,4
MoS2/NiS,4
a-MoS2,4
MoS2-MoP,4
Se-MoS2,4
MoS2/CNT,4
MoS2/CoS2/CC,4
MoS2/GO,4
MoS2@CoS2,4
Co9S8/MoS2,4
MoS2/MoSe2,3
MoS2/Ni3S2/NF,3
H-MoS2,3
Ni3S2-MoS2,3
MoS2/Mo,3
@MoS2,3
MoS2-WS2,3
O-MoS2,3
1T-MoS2-based,3
MoS2/carbon,3
MoS2@graphene,3
MoS2-catalyzed,3
MoP/MoS2,3
MoS2/CNFs,3
MoS2-coated,3
CoS2@MoS2,3
Ru-MoS2,3
MoS2@rGO,3
FL-MoS2,3
C-MoS2,3
MoS2/MXene,3
MoS2-carbon,3
MoS2/NiCo2S4,3
MoS2/reduced,3
MoS2/CuS,3
Ni2P-MoS2,3
MoS2/MWCNT,3
MoS2xSe2,3
DR-MoS2,2
Fe-MoS2,2
MoS2/G,2
0-MoS2,2
RGO-MoS2,2
MoS2@NiO,2
carbon-MoS2,2
MoS2-CoS2,2
MoS2-C,2
MoS2/CNTs,2
MoS2-Pd,2
MoS2-CoFeLDH,2
nanoparticles/MoS2,2
Au/MoS2,2
Co9S8-MoS2,2
