##Temp./oC	Time/min	Mass/%	Gas Flow(purge1)/(ml/min)	Gas Flow(protective)/(ml/min)
25,208	0	100	20	20
25,19709	0,0505	99,99587	20	20
25,18225	0,10101	99,99173	20	20
25,16871	0,15151	99,98759	20	20
25,13637	0,20201	99,9843	20	20
25,13917	0,25252	99,97378	20	20
25,13612	0,30302	99,96781	20	20
25,13604	0,35352	99,95069	20	20
25,15427	0,40403	99,95718	20	20
25,21097	0,45453	99,95814	20	20
25,27029	0,50503	99,96418	20	20
25,33866	0,55554	99,94822	20	20
25,43774	0,60604	99,95641	20	20
25,54514	0,65654	99,94652	20	20
25,67734	0,70705	99,93774	20	20
25,84198	0,75755	99,94273	20	20
25,9856	0,80805	99,93432	20	20
26,16272	0,85856	99,9301	20	20
26,35029	0,90906	99,92522	20	20
26,57446	0,95956	99,93586	20	20
26,79434	1,01007	99,92555	20	20
27,05306	1,06057	99,92593	20	20
27,30916	1,11107	99,92231	20	20
27,58902	1,16158	99,90751	20	20
27,85812	1,21208	99,90713	20	20
28,19508	1,26258	99,89489	20	20
28,49678	1,31309	99,89642	20	20
28,81906	1,36359	99,86903	20	20
29,17218	1,41409	99,86853	20	20
29,5428	1,4646	99,85553	20	20
29,90869	1,5151	99,85047	20	20
30,288	1,5656	99,84751	20	20
30,68101	1,61611	99,84362	20	20
31,09787	1,66661	99,84151	20	20
31,51474	1,71711	99,83868	20	20
31,93663	1,76762	99,83583	20	20
32,40112	1,81812	99,83462	20	20
32,85728	1,86862	99,82606	20	20
33,32522	1,91913	99,8189	20	20
33,79058	1,96963	99,80745	20	20
34,27231	2,02013	99,80751	20	20
34,78584	2,07064	99,79092	20	20
35,28462	2,12114	99,77783	20	20
35,80291	2,17164	99,77941	20	20
36,29788	2,22215	99,77235	20	20
36,84417	2,27265	99,76695	20	20
37,38315	2,32315	99,76389	20	20
37,9016	2,37366	99,75842	20	20
38,48529	2,42416	99,75186	20	20
39,03345	2,47466	99,74007	20	20
39,59097	2,52516	99,73038	20	20
40,1557	2,57567	99,71139	20	20
40,74579	2,62617	99,71435	20	20
41,32924	2,67667	99,70679	20	20
41,92745	2,72718	99,69193	20	20
42,49982	2,77768	99,6813	20	20
43,09341	2,82818	99,67188	20	20
43,71097	2,87869	99,66272	20	20
44,30892	2,92919	99,65049	20	20
44,91765	2,97969	99,62343	20	20
45,54418	3,0302	99,61096	20	20
46,15533	3,0807	99,59433	20	20
46,7593	3,1312	99,57117	20	20
47,37184	3,18171	99,55241	20	20
48,00551	3,23221	99,53485	20	20
48,61736	3,28271	99,50724	20	20
49,2448	3,33322	99,49042	20	20
49,88124	3,38372	99,47291	20	20
50,49271	3,43422	99,45176	20	20
51,12067	3,48473	99,42974	20	20
51,77074	3,53523	99,40391	20	20
52,37859	3,58573	99,38315	20	20
53,0069	3,63624	99,35833	20	20
53,62917	3,68674	99,33544	20	20
54,25878	3,73724	99,30886	20	20
54,87833	3,78775	99,28487	20	20
55,50235	3,83825	99,25824	20	20
56,12712	3,88875	99,22133	20	20
56,73859	3,93926	99,19458	20	20
57,34547	3,98976	99,15667	20	20
57,96628	4,04026	99,13343	20	20
58,58774	4,09077	99,09843	20	20
59,20463	4,14127	99,06993	20	20
59,80866	4,19177	99,03294	20	20
60,40781	4,24228	99,0003	20	20
61,01733	4,29278	98,96454	20	20
61,62408	4,34328	98,92179	20	20
62,21463	4,39379	98,88089	20	20
62,81383	4,44429	98,83856	20	20
63,40472	4,49479	98,78898	20	20
63,98874	4,5453	98,74407	20	20
64,585	4,5958	98,69827	20	20
65,18045	4,6463	98,66153	20	20
65,76137	4,69681	98,62266	20	20
66,34952	4,74731	98,57699	20	20
66,92294	4,79781	98,54225	20	20
67,48996	4,84832	98,49561	20	20
68,07788	4,89882	98,44909	20	20
68,64763	4,94932	98,40946	20	20
69,20808	4,99983	98,36559	20	20
69,76238	5,05033	98,31751	20	20
70,32464	5,10083	98,26332	20	20
70,86866	5,15134	98,20188	20	20
71,43171	5,20184	98,15751	20	20
71,98281	5,25234	98,11062	20	20
72,545	5,30285	98,06497	20	20
73,09043	5,35335	98,02606	20	20
73,60737	5,40385	97,98043	20	20
74,16535	5,45436	97,93832	20	20
74,7119	5,50486	97,89156	20	20
75,24314	5,55536	97,83712	20	20
75,77971	5,60587	97,77879	20	20
76,30389	5,65637	97,72913	20	20
76,82052	5,70687	97,67836	20	20
77,34149	5,75738	97,62262	20	20
77,85941	5,80788	97,57112	20	20
78,39553	5,85838	97,51768	20	20
78,90182	5,90889	97,46408	20	20
79,44446	5,95939	97,411	20	20
79,94983	6,00989	97,35669	20	20
80,45146	6,0604	97,30702	20	20
80,96683	6,1109	97,25824	20	20
81,4845	6,1614	97,19992	20	20
81,99206	6,21191	97,15148	20	20
82,50309	6,26241	97,10198	20	20
82,99189	6,31291	97,05605	20	20
83,49926	6,36342	97,00491	20	20
84,00373	6,41392	96,96239	20	20
84,49877	6,46442	96,90786	20	20
85,01567	6,51493	96,85918	20	20
85,52491	6,56543	96,80489	20	20
86,03163	6,61593	96,75713	20	20
86,5201	6,66644	96,69689	20	20
87,01896	6,71694	96,64726	20	20
87,50042	6,76744	96,59826	20	20
88,01735	6,81795	96,54937	20	20
88,53041	6,86845	96,4974	20	20
89,01837	6,91895	96,43963	20	20
89,50495	6,96946	96,39544	20	20
90,00363	7,01996	96,34689	20	20
90,50964	7,07046	96,29836	20	20
91,01157	7,12097	96,25453	20	20
91,49792	7,17147	96,20613	20	20
92,01394	7,22197	96,15962	20	20
92,4943	7,27248	96,11668	20	20
93,00357	7,32298	96,06789	20	20
93,50384	7,37348	96,02291	20	20
93,99581	7,42399	95,98273	20	20
94,48766	7,47449	95,93308	20	20
94,99491	7,52499	95,8872	20	20
95,4784	7,57549	95,83852	20	20
95,98857	7,626	95,79567	20	20
96,49647	7,6765	95,74378	20	20
96,97206	7,727	95,69404	20	20
97,49226	7,77751	95,6524	20	20
97,97786	7,82801	95,60713	20	20
98,47256	7,87851	95,55223	20	20
98,98458	7,92902	95,50914	20	20
99,47829	7,97952	95,45943	20	20
99,95824	8,03002	95,40595	20	20
100,44292	8,08053	95,35559	20	20
100,95911	8,13103	95,31085	20	20
101,45795	8,18153	95,28139	20	20
101,96448	8,23204	95,24594	20	20
102,46393	8,28254	95,20135	20	20
102,96465	8,33304	95,17503	20	20
103,44912	8,38355	95,1357	20	20
103,95097	8,43405	95,10877	20	20
104,45104	8,48455	95,07146	20	20
104,95183	8,53506	95,0399	20	20
105,43666	8,58556	95,0055	20	20
105,92749	8,63606	94,96961	20	20
106,44162	8,68657	94,93402	20	20
106,93845	8,73707	94,89657	20	20
107,43411	8,78757	94,86424	20	20
107,93606	8,83808	94,83268	20	20
108,44155	8,88858	94,79576	20	20
108,92357	8,93908	94,75862	20	20
109,4322	8,98959	94,73404	20	20
109,93894	9,04009	94,69919	20	20
110,42307	9,09059	94,66955	20	20
110,92108	9,1411	94,63368	20	20
111,4253	9,1916	94,60167	20	20
111,92642	9,2421	94,57123	20	20
112,428	9,29261	94,5394	20	20
112,93292	9,34311	94,50433	20	20
113,43598	9,39361	94,48209	20	20
113,9358	9,44412	94,45759	20	20
114,43246	9,49462	94,43001	20	20
114,93462	9,54512	94,40207	20	20
115,45442	9,59563	94,36511	20	20
115,94962	9,64613	94,34234	20	20
116,44607	9,69663	94,30937	20	20
116,93194	9,74714	94,28948	20	20
117,43359	9,79764	94,25826	20	20
117,93564	9,84814	94,2416	20	20
118,43651	9,89865	94,22002	20	20
118,94878	9,94915	94,19919	20	20
119,45466	9,99965	94,17025	20	20
119,95961	10,05016	94,15133	20	20
120,45946	10,10066	94,12914	20	20
120,96871	10,15116	94,1096	20	20
121,46845	10,20167	94,08971	20	20
121,96194	10,25217	94,0745	20	20
122,47635	10,30267	94,0586	20	20
122,97238	10,35318	94,03248	20	20
123,48211	10,40368	94,02598	20	20
123,98471	10,45418	94,00965	20	20
124,49003	10,50469	93,99436	20	20
124,99489	10,55519	93,97499	20	20
125,4942	10,60569	93,95564	20	20
126,00518	10,6562	93,93976	20	20
126,5196	10,7067	93,9193	20	20
127,02288	10,7572	93,91122	20	20
127,52252	10,80771	93,8922	20	20
128,02992	10,85821	93,88238	20	20
128,54435	10,90871	93,86949	20	20
129,05004	10,95922	93,85506	20	20
129,56402	11,00972	93,83795	20	20
