#EXPORTTYPE:                 ;DATA ALL                   
#FILE:                       ;MoS2 NS - Sõdio.ngb-ds3    
#FORMAT:                     ;NETZSCH5                   
#FTYPE:                      ;ASCII                      
#IDENTITY:                   ;MoS2 NS - Sõdio            
#DECIMAL:                    ;COMMA                      
#SEPARATOR:                  ;SEMICOLON                  
#MTYPE:                      ;TG                         
#INSTRUMENT:                 ;NETZSCH STA 449F3          
#PROJECT:                    ;-                          
#DATE/TIME:                  ;21/11/2024 13:23:36 (UTC-3)
#CORR. FILE:                 ;Correction.ngb-bs3         
#TEMPCAL:                    ;Cal_08_2024_Ar_5C.ngb-ts3  
#SENSITIVITY:                ;---                        
#LABORATORY:                 ;Proc de Nanocerümicas      
#OPERATOR:                   ;Danilo Janes               
#REMARK:                     ;                           
#SAMPLE:                     ;MoS2 NS - Sõdio            
#SAMPLE MASS /mg:            ;12,6370                    
#MATERIAL:                   ;                           
#REFERENCE:                  ;                           
#REFERENCE MASS /mg:         ;                           
#TYPE OF CRUCIBLE:           ;DTA/TG crucible Al2O3      
#SAMPLE CRUCIBLE MASS /mg:   ;0                          
#REFERENCE CRUCIBLE MASS /mg:;                           
#TG RANGE /mg:               ;35000                      
#TAU-R:                      ;---                        
#CORR. CODE:                 ;020                        
#EXO:                        ;-1                         
#RANGE:                      ;20oC/10,0(K/min)/1000oC    
#SEGMENT:                    ;S1/1                       
#SEG. 1:                     ;20oC/10,0(K/min)/1000oC    

##Temp./oC;Time/min;Mass/%;Gas Flow(purge1)/(ml/min);Gas Flow(protective)/(ml/min)
 25,80900; 0,00000;100,00000;20,00000;20,00000
 27,80900; 1,07149; 99,96838;20,00000;20,00000
 29,80900; 1,42744; 99,94233;20,00000;20,00000
 31,80900; 1,70953; 99,93429;20,00000;20,00000
 33,80900; 1,95044; 99,94693;20,00000;20,00000
 35,80900; 2,16816; 99,98033;20,00000;20,00000
 37,80900; 2,36886; 99,97531;20,00000;20,00000
 39,80900; 2,55744; 99,97106;20,00000;20,00000
 41,80900; 2,73683; 99,97187;20,00000;20,00000
 43,80900; 2,91032; 99,98491;20,00000;20,00000
 45,80900; 3,07914; 99,96302;20,00000;20,00000
 47,80900; 3,24501; 99,93274;20,00000;20,00000
 49,80900; 3,40848; 99,91539;20,00000;20,00000
 51,80900; 3,57114; 99,91221;20,00000;20,00000
 53,80900; 3,73304; 99,91560;20,00000;20,00000
 55,80900; 3,89442; 99,86237;20,00000;20,00000
 57,80900; 4,05665; 99,82760;20,00000;20,00000
 59,80900; 4,21942; 99,75171;20,00000;20,00000
 61,80900; 4,38453; 99,71286;20,00000;20,00000
 63,80900; 4,55081; 99,66567;20,00000;20,00000
 65,80900; 4,71952; 99,61479;20,00000;20,00000
 67,80900; 4,89139; 99,54656;20,00000;20,00000
 69,80900; 5,06642; 99,45561;20,00000;20,00000
 71,80900; 5,24478; 99,37437;20,00000;20,00000
 73,80900; 5,42649; 99,29256;20,00000;20,00000
 75,80900; 5,61235; 99,21985;20,00000;20,00000
 77,80900; 5,80133; 99,11721;20,00000;20,00000
 79,80900; 5,99418; 99,02223;20,00000;20,00000
 81,80900; 6,18944; 98,94322;20,00000;20,00000
 83,80900; 6,38676; 98,85386;20,00000;20,00000
 85,80900; 6,58568; 98,77487;20,00000;20,00000
 87,80900; 6,78685; 98,68610;20,00000;20,00000
 89,80900; 6,98874; 98,61855;20,00000;20,00000
 91,80900; 7,19120; 98,55548;20,00000;20,00000
 93,80900; 7,39494; 98,49042;20,00000;20,00000
 95,80900; 7,60076; 98,43136;20,00000;20,00000
 97,80900; 7,80474; 98,35939;20,00000;20,00000
 99,80900; 8,00907; 98,27128;20,00000;20,00000
101,80900; 8,21362; 98,21383;20,00000;20,00000
103,80900; 8,41715; 98,17158;20,00000;20,00000
105,80900; 8,62122; 98,13376;20,00000;20,00000
107,80900; 8,82514; 98,09732;20,00000;20,00000
109,80900; 9,02934; 98,06847;20,00000;20,00000
111,80900; 9,23259; 98,03703;20,00000;20,00000
113,80900; 9,43493; 98,00943;20,00000;20,00000
115,80900; 9,63725; 97,96409;20,00000;20,00000
117,80900; 9,83968; 97,96706;20,00000;20,00000
119,80900;10,04080; 97,96132;20,00000;20,00000
121,80900;10,24162; 97,93225;20,00000;20,00000
123,80900;10,44166; 97,92471;20,00000;20,00000
125,80900;10,64175; 97,91834;20,00000;20,00000
127,80900;10,84070; 97,91727;20,00000;20,00000
129,80900;11,03879; 97,93368;20,00000;20,00000
131,80900;11,23634; 97,94036;20,00000;20,00000
133,80900;11,43237; 97,93463;20,00000;20,00000
135,80900;11,62873; 97,93768;20,00000;20,00000
137,80900;11,82489; 97,93655;20,00000;20,00000
139,80900;12,02060; 97,92578;20,00000;20,00000
141,80900;12,21831; 97,91252;20,00000;20,00000
143,80900;12,41496; 97,90615;20,00000;20,00000
145,80900;12,61225; 97,90364;20,00000;20,00000
147,80900;12,81031; 97,89506;20,00000;20,00000
