##Temp./oC	Time/min	Mass/%	Gas Flow(purge1)/(ml/min)	Gas Flow(protective)/(ml/min)
25,809	0	100	20	20
27,809	1,07149	99,96838	20	20
29,809	1,42744	99,94233	20	20
31,809	1,70953	99,93429	20	20
33,809	1,95044	99,94693	20	20
35,809	2,16816	99,98033	20	20
37,809	2,36886	99,97531	20	20
39,809	2,55744	99,97106	20	20
41,809	2,73683	99,97187	20	20
43,809	2,91032	99,98491	20	20
45,809	3,07914	99,96302	20	20
47,809	3,24501	99,93274	20	20
49,809	3,40848	99,91539	20	20
51,809	3,57114	99,91221	20	20
53,809	3,73304	99,9156	20	20
55,809	3,89442	99,86237	20	20
57,809	4,05665	99,8276	20	20
59,809	4,21942	99,75171	20	20
61,809	4,38453	99,71286	20	20
63,809	4,55081	99,66567	20	20
65,809	4,71952	99,61479	20	20
67,809	4,89139	99,54656	20	20
69,809	5,06642	99,45561	20	20
71,809	5,24478	99,37437	20	20
73,809	5,42649	99,29256	20	20
75,809	5,61235	99,21985	20	20
77,809	5,80133	99,11721	20	20
79,809	5,99418	99,02223	20	20
81,809	6,18944	98,94322	20	20
83,809	6,38676	98,85386	20	20
85,809	6,58568	98,77487	20	20
87,809	6,78685	98,6861	20	20
89,809	6,98874	98,61855	20	20
91,809	7,1912	98,55548	20	20
93,809	7,39494	98,49042	20	20
95,809	7,60076	98,43136	20	20
97,809	7,80474	98,35939	20	20
99,809	8,00907	98,27128	20	20
101,809	8,21362	98,21383	20	20
103,809	8,41715	98,17158	20	20
105,809	8,62122	98,13376	20	20
107,809	8,82514	98,09732	20	20
109,809	9,02934	98,06847	20	20
111,809	9,23259	98,03703	20	20
113,809	9,43493	98,00943	20	20
115,809	9,63725	97,96409	20	20
117,809	9,83968	97,96706	20	20
119,809	10,0408	97,96132	20	20
121,809	10,24162	97,93225	20	20
123,809	10,44166	97,92471	20	20
125,809	10,64175	97,91834	20	20
127,809	10,8407	97,91727	20	20
129,809	11,03879	97,93368	20	20
131,809	11,23634	97,94036	20	20
133,809	11,43237	97,93463	20	20
135,809	11,62873	97,93768	20	20
137,809	11,82489	97,93655	20	20
139,809	12,0206	97,92578	20	20
141,809	12,21831	97,91252	20	20
143,809	12,41496	97,90615	20	20
145,809	12,61225	97,90364	20	20
147,809	12,81031	97,89506	20	20
149,809	13,00858	97,88962	20	20
151,809	13,20708	97,87318	20	20
153,809	13,4063	97,8752	20	20
155,809	13,60544	97,86444	20	20
157,809	13,80593	97,84681	20	20
159,809	14,00515	97,84434	20	20
161,809	14,2062	97,8468	20	20
163,809	14,40706	97,84315	20	20
165,809	14,60788	97,82003	20	20
167,809	14,80815	97,79626	20	20
169,809	15,00915	97,78354	20	20
171,809	15,21012	97,77716	20	20
173,809	15,41061	97,77395	20	20
175,809	15,61083	97,73896	20	20
177,809	15,81044	97,69717	20	20
179,809	16,01024	97,67746	20	20
181,809	16,21018	97,63393	20	20
183,809	16,40886	97,59936	20	20
185,809	16,60729	97,56985	20	20
187,809	16,80541	97,54	20	20
189,809	17,00442	97,48542	20	20
191,809	17,20327	97,4356	20	20
193,809	17,40222	97,39584	20	20
195,809	17,60162	97,33915	20	20
197,809	17,80057	97,28876	20	20
199,809	17,99936	97,24106	20	20
201,809	18,19883	97,16296	20	20
203,809	18,39862	97,09692	20	20
205,809	18,59862	97,03998	20	20
207,809	18,79894	96,94859	20	20
209,809	18,99867	96,87464	20	20
211,809	19,19843	96,79582	20	20
213,809	19,39872	96,70706	20	20
215,809	19,59963	96,6087	20	20
217,809	19,79929	96,53582	20	20
219,809	19,99931	96,43704	20	20
221,809	20,19962	96,3538	20	20
223,809	20,39992	96,24362	20	20
225,809	20,60011	96,14619	20	20
227,809	20,80005	96,01802	20	20
229,809	21,00076	95,88603	20	20
231,809	21,20125	95,73496	20	20
233,809	21,40072	95,59412	20	20
235,809	21,6004	95,47643	20	20
237,809	21,79971	95,32568	20	20
239,809	21,99947	95,18694	20	20
241,809	22,19941	95,0277	20	20
243,809	22,39929	94,86069	20	20
245,809	22,59879	94,70704	20	20
247,809	22,799	94,54508	20	20
249,809	22,99902	94,40734	20	20
251,809	23,19908	94,20829	20	20
253,809	23,39996	94,00812	20	20
255,809	23,60008	93,82914	20	20
257,809	23,80006	93,66772	20	20
259,809	23,99945	93,4581	20	20
261,809	24,19836	93,2192	20	20
263,809	24,39818	93,04085	20	20
265,809	24,59728	92,85176	20	20
267,809	24,79748	92,64124	20	20
269,809	24,99669	92,41334	20	20
271,809	25,19667	92,19668	20	20
273,809	25,39753	91,98553	20	20
275,809	25,59901	91,76356	20	20
277,809	25,79988	91,55357	20	20
279,809	26,00098	91,31612	20	20
281,809	26,20203	91,10303	20	20
283,809	26,40366	90,82252	20	20
285,809	26,60648	90,61333	20	20
