#EXPORTTYPE:                 ;DATA ALL                   
#FILE:                       ;SiO2@PIPSECAGEM60C.ngb-ds3
#FORMAT:                     ;NETZSCH5                   
#FTYPE:                      ;ASCII                      
#IDENTITY:                   ;SiO2@PIPSECAGEM60C        
#DECIMAL:                    ;COMMA                      
#SEPARATOR:                  ;SEMICOLON                  
#MTYPE:                      ;TG                         
#INSTRUMENT:                 ;NETZSCH STA 449F3          
#PROJECT:                    ;-                          
#DATE/TIME:                  ;19/11/2024 13:25:15 (UTC-3)
#CORR. FILE:                 ;Correction.ngb-bs3         
#TEMPCAL:                    ;Cal_08_2024_Ar_5C.ngb-ts3  
#SENSITIVITY:                ;---                        
#LABORATORY:                 ;Proc de Nanocerümicas      
#OPERATOR:                   ;Danilo Janes               
#REMARK:                     ;                           
#SAMPLE:                     ;SiO2@PIPSECAGEM60C        
#SAMPLE MASS /mg:            ;11,9130                    
#MATERIAL:                   ;                           
#REFERENCE:                  ;                           
#REFERENCE MASS /mg:         ;                           
#TYPE OF CRUCIBLE:           ;DTA/TG crucible Al2O3      
#SAMPLE CRUCIBLE MASS /mg:   ;0                          
#REFERENCE CRUCIBLE MASS /mg:;                           
#TG RANGE /mg:               ;35000                      
#TAU-R:                      ;---                        
#CORR. CODE:                 ;020                        
#EXO:                        ;-1                         
#RANGE:                      ;20oC/10,0(K/min)/1000oC    
#SEGMENT:                    ;S1/1                       
#SEG. 1:                     ;20oC/10,0(K/min)/1000oC    

##Temp./oC;Time/min;Mass/%;Gas Flow(purge1)/(ml/min);Gas Flow(protective)/(ml/min)
 26,58200; 0,00000;100,00000;20,00000;20,00000
 26,59226; 0,05050; 99,99491;20,00000;20,00000
 26,55439; 0,10101; 99,99152;20,00000;20,00000
 26,53763; 0,15151; 99,98459;20,00000;20,00000
 26,53272; 0,20201; 99,97803;20,00000;20,00000
 26,51989; 0,25252; 99,96645;20,00000;20,00000
 26,53563; 0,30302; 99,95397;20,00000;20,00000
 26,54590; 0,35352; 99,93909;20,00000;20,00000
 26,56815; 0,40403; 99,94661;20,00000;20,00000
 26,60813; 0,45453; 99,94555;20,00000;20,00000
 26,66940; 0,50503; 99,94274;20,00000;20,00000
 26,73822; 0,55554; 99,92075;20,00000;20,00000
 26,81710; 0,60604; 99,90912;20,00000;20,00000
 26,91314; 0,65654; 99,88070;20,00000;20,00000
 27,02048; 0,70705; 99,83947;20,00000;20,00000
 27,17053; 0,75755; 99,81080;20,00000;20,00000
 27,29783; 0,80805; 99,77268;20,00000;20,00000
 27,46626; 0,85856; 99,74331;20,00000;20,00000
 27,63209; 0,90906; 99,73281;20,00000;20,00000
 27,80016; 0,95956; 99,71449;20,00000;20,00000
 28,01037; 1,01007; 99,69871;20,00000;20,00000
 28,23291; 1,06057; 99,69744;20,00000;20,00000
 28,45471; 1,11107; 99,68693;20,00000;20,00000
 28,69316; 1,16158; 99,66683;20,00000;20,00000
 28,95026; 1,21208; 99,66324;20,00000;20,00000
 29,21287; 1,26258; 99,65754;20,00000;20,00000
 29,45930; 1,31309; 99,64033;20,00000;20,00000
 29,75400; 1,36359; 99,63430;20,00000;20,00000
