##Temp./oC	Time/min	Mass/%	Gas Flow(purge1)/(ml/min)	Gas Flow(protective)/(ml/min)
26,582	0	100	20	20
26,59226	0,0505	99,99491	20	20
26,55439	0,10101	99,99152	20	20
26,53763	0,15151	99,98459	20	20
26,53272	0,20201	99,97803	20	20
26,51989	0,25252	99,96645	20	20
26,53563	0,30302	99,95397	20	20
26,5459	0,35352	99,93909	20	20
26,56815	0,40403	99,94661	20	20
26,60813	0,45453	99,94555	20	20
26,6694	0,50503	99,94274	20	20
26,73822	0,55554	99,92075	20	20
26,8171	0,60604	99,90912	20	20
26,91314	0,65654	99,8807	20	20
27,02048	0,70705	99,83947	20	20
27,17053	0,75755	99,8108	20	20
27,29783	0,80805	99,77268	20	20
27,46626	0,85856	99,74331	20	20
27,63209	0,90906	99,73281	20	20
27,80016	0,95956	99,71449	20	20
28,01037	1,01007	99,69871	20	20
28,23291	1,06057	99,69744	20	20
28,45471	1,11107	99,68693	20	20
28,69316	1,16158	99,66683	20	20
28,95026	1,21208	99,66324	20	20
29,21287	1,26258	99,65754	20	20
29,4593	1,31309	99,64033	20	20
29,754	1,36359	99,6343	20	20
30,05046	1,41409	99,62372	20	20
30,36614	1,4646	99,60539	20	20
30,67252	1,5151	99,59888	20	20
31,01461	1,5656	99,58537	20	20
31,3631	1,61611	99,58555	20	20
31,71713	1,66661	99,57727	20	20
32,07695	1,71711	99,5727	20	20
32,47415	1,76762	99,5592	20	20
32,87167	1,81812	99,55524	20	20
33,25492	1,86862	99,54529	20	20
33,68277	1,91913	99,54174	20	20
34,1065	1,96963	99,53141	20	20
34,55032	2,02013	99,52981	20	20
34,99153	2,07064	99,5171	20	20
35,42977	2,12114	99,5069	20	20
35,90605	2,17164	99,50937	20	20
36,37337	2,22215	99,50765	20	20
36,84834	2,27265	99,50106	20	20
37,35182	2,32315	99,48962	20	20
37,84958	2,37366	99,48528	20	20
38,36516	2,42416	99,48121	20	20
38,88217	2,47466	99,46809	20	20
39,40559	2,52516	99,45935	20	20
39,94328	2,57567	99,43796	20	20
40,49291	2,62617	99,44025	20	20
41,03362	2,67667	99,4337	20	20
41,60854	2,72718	99,42307	20	20
42,15655	2,77768	99,41213	20	20
42,72744	2,82818	99,39942	20	20
43,29611	2,87869	99,38818	20	20
43,88404	2,92919	99,37726	20	20
44,47258	2,97969	99,35792	20	20
45,06937	3,0302	99,35278	20	20
45,6704	3,0807	99,34585	20	20
46,27727	3,1312	99,3306	20	20
46,88626	3,18171	99,3225	20	20
47,49565	3,23221	99,3142	20	20
48,0989	3,28271	99,29414	20	20
48,7224	3,33322	99,28408	20	20
49,33086	3,38372	99,26261	20	20
49,94954	3,43422	99,24319	20	20
50,58541	3,48473	99,22531	20	20
51,2058	3,53523	99,20618	20	20
51,82921	3,58573	99,18734	20	20
52,45291	3,63624	99,16282	20	20
53,068	3,68674	99,13675	20	20
53,70076	3,73724	99,11189	20	20
54,33919	3,78775	99,07746	20	20
54,95329	3,83825	99,05095	20	20
55,58335	3,88875	99,01719	20	20
56,20423	3,93926	98,99557	20	20
56,82893	3,98976	98,96268	20	20
57,45638	4,04026	98,93032	20	20
58,0768	4,09077	98,90039	20	20
58,71098	4,14127	98,85928	20	20
59,3283	4,19177	98,82247	20	20
59,92344	4,24228	98,77529	20	20
60,54953	4,29278	98,73929	20	20
61,1644	4,34328	98,69679	20	20
61,7711	4,39379	98,65041	20	20
62,38854	4,44429	98,59969	20	20
63,00434	4,49479	98,5478	20	20
63,62359	4,5453	98,48881	20	20
64,21597	4,5958	98,43146	20	20
64,83146	4,6463	98,38193	20	20
65,41154	4,69681	98,3319	20	20
65,98376	4,74731	98,27043	20	20
66,59404	4,79781	98,22165	20	20
67,19949	4,84832	98,15054	20	20
67,77278	4,89882	98,07886	20	20
68,34188	4,94932	98,0151	20	20
68,93426	4,99983	97,94105	20	20
69,5175	5,05033	97,85905	20	20
70,08291	5,10083	97,79153	20	20
70,65445	5,15134	97,72055	20	20
71,21675	5,20184	97,64353	20	20
71,78125	5,25234	97,57047	20	20
72,3402	5,30285	97,49914	20	20
72,89825	5,35335	97,42877	20	20
73,45099	5,40385	97,35239	20	20
74,00356	5,45436	97,27999	20	20
74,55891	5,50486	97,19807	20	20
75,09662	5,55536	97,12147	20	20
75,63528	5,60587	97,04107	20	20
76,18279	5,65637	96,95872	20	20
76,71014	5,70687	96,8697	20	20
77,25268	5,75738	96,78966	20	20
77,78591	5,80788	96,70588	20	20
78,31925	5,85838	96,62521	20	20
78,83915	5,90889	96,54054	20	20
79,36802	5,95939	96,45728	20	20
79,89377	6,00989	96,37055	20	20
80,40225	6,0604	96,28983	20	20
80,91816	6,1109	96,2062	20	20
81,44665	6,1614	96,12853	20	20
81,96813	6,21191	96,036	20	20
82,48768	6,26241	95,94999	20	20
82,9886	6,31291	95,86325	20	20
